window_ms,metric,parameter,coefficient_per_log_factor,pearson_r,abs_pearson_r,rank_by_abs_pearson_r
5-20,rmse_5_20_ms,membrane_cp,0.04461950594028913,0.5146474856725305,0.5146474856725305,2
5-20,rmse_5_20_ms,pb_cp,-0.02931840244188247,-0.39630320563749527,0.39630320563749527,3
5-20,rmse_5_20_ms,pb_k,-0.020762328959463512,-0.26486543581417193,0.26486543581417193,5
5-20,rmse_5_20_ms,stycast_k,0.03204872980657097,0.7357019926043493,0.7357019926043493,1
5-20,rmse_5_20_ms,tes_cp,0.03344798605318799,0.35593378228481454,0.35593378228481454,4
20-40,rmse_20_40_ms,membrane_cp,0.14139986259565013,0.5669962981437602,0.5669962981437602,3
20-40,rmse_20_40_ms,pb_cp,-0.14299147389393602,-0.6719602203809021,0.6719602203809021,2
20-40,rmse_20_40_ms,pb_k,0.005156683936549903,0.022869984554246124,0.022869984554246124,5
20-40,rmse_20_40_ms,stycast_k,0.10569262072589893,0.8434938395370557,0.8434938395370557,1
20-40,rmse_20_40_ms,tes_cp,-0.01053883536915506,-0.03898863172463257,0.03898863172463257,4
40-70,rmse_40_70_ms,membrane_cp,0.2159736096676812,0.5711770689171864,0.5711770689171864,3
40-70,rmse_40_70_ms,pb_cp,-0.22583584933106815,-0.6999469814509438,0.6999469814509438,2
40-70,rmse_40_70_ms,pb_k,0.025882010833249047,0.07570633341032085,0.07570633341032085,5
40-70,rmse_40_70_ms,stycast_k,0.16111697714513068,0.8480420633751653,0.8480420633751653,1
40-70,rmse_40_70_ms,tes_cp,-0.04286373058270829,-0.10458615117592977,0.10458615117592977,4
