time_s,time_step,nonlinear_iter,tes_temperature_K,previous_current_A,raw_current_A,tes_resistance_ohm,raw_power_W,residual_W,omega,omega_cap,relaxed_power_W
  2.0001476340246967E-02,1,1,  1.6856315951917011E-01,  1.4377524421770033E-04,  1.4377524421770033E-04,  1.5494854901291169E-02,  3.2030030492578141E-10,  0.0000000000000000E+00,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2030030492578141E-10
  2.0001476340246967E-02,1,2,  1.6856315415782303E-01,  1.4377524421770033E-04,  1.4377541607080510E-04,  1.5494821760401609E-02,  3.2029919782009725E-10, -1.1071056841615363E-15,  2.0000000000000000E-02,  2.5000000000000000E-01,  3.2030028278366772E-10
  2.0002552680493932E-02,2,1,  1.6856370889290934E-01,  1.4377541607080510E-04,  1.4375815310234454E-04,  1.5498532982965468E-02,  3.2029898407215517E-10, -1.2987115125479622E-15,  2.0000000000000000E-02,  5.0000000000000000E-01,  3.2030025680943745E-10
  2.0002552680493932E-02,2,2,  1.6856370665060103E-01,  1.4377541607080510E-04,  1.4375822293212067E-04,  1.5498518009332343E-02,  3.2029898578787542E-10, -1.2710215620300132E-15,  6.5000000000000002E-01,  6.5000000000000002E-01,  3.2029943064542211E-10
  2.0004705360987866E-02,3,1,  1.6856468995731799E-01,  1.4375822293212067E-04,  1.4372400776981563E-04,  1.5503129248150907E-02,  3.2024179094332208E-10, -5.7639702100032622E-14,  1.0000000000000001E-01,  2.5000000000000000E-01,  3.2029366667521210E-10
  2.0004705360987866E-02,3,2,  1.6856469069401595E-01,  1.4375822293212067E-04,  1.4372398356152284E-04,  1.5503133478747100E-02,  3.2024177045252053E-10, -5.1896222691572416E-14,  3.2500000000000001E-01,  3.2500000000000001E-01,  3.2027680040283734E-10
  2.0009010721975730E-02,4,1,  1.6856514710294412E-01,  1.4372398356152284E-04,  1.4370661207949040E-04,  1.5504462942190989E-02,  3.2019181736206757E-10, -8.4983040769769881E-14,  1.0000000000000001E-01,  2.5000000000000000E-01,  3.2026830209876034E-10
  2.0009010721975730E-02,4,2,  1.6856513880457760E-01,  1.4372398356152284E-04,  1.4370689251178356E-04,  1.5504419500948372E-02,  3.2019216988796920E-10, -7.6132210791137816E-14,  3.2500000000000001E-01,  3.2500000000000001E-01,  3.2024355913025320E-10
  2.0017621443951462E-02,5,1,  1.6856540154730615E-01,  1.4370689251178356E-04,  1.4369739240722868E-04,  1.5505457007442089E-02,  3.2017126048431608E-10, -7.2298645937121509E-14,  1.0000000000000001E-01,  2.5000000000000000E-01,  3.2023632926565946E-10
  2.0017621443951462E-02,5,2,  1.6856540084905269E-01,  1.4370689251178356E-04,  1.4369741634358662E-04,  1.5505453537039429E-02,  3.2017129548906136E-10, -6.5033776598106011E-14,  3.2500000000000001E-01,  3.2500000000000001E-01,  3.2021519328826507E-10
  2.0034842887902925E-02,6,1,  1.6856571840569148E-01,  1.4369741634358662E-04,  1.4368631378062409E-04,  1.5506913966730276E-02,  3.2015197397730582E-10, -6.3219310959243039E-14,  1.0000000000000001E-01,  2.5000000000000000E-01,  3.2020887135716914E-10
  2.0034842887902925E-02,6,2,  1.6856571783324495E-01,  1.4369741634358662E-04,  1.4368633354624457E-04,  1.5506911198848297E-02,  3.2015200491307362E-10, -5.6866444095523304E-14,  3.2500000000000001E-01,  3.2500000000000001E-01,  3.2019038976283810E-10
  2.0034842887902925E-02,6,3,  1.6875156626772411E-01,  1.4369741634358662E-04,  1.3732952625793249E-04,  1.6438292773972574E-02,  3.1001631872336850E-10, -1.0174071039469601E-11,  2.0000000000000000E-02,  1.6250000000000001E-01,  3.1998690834204869E-10
  2.0069285775805853E-02,7,1,  1.6875192733066616E-01,  1.3732952625793249E-04,  1.3726957064924859E-04,  1.6414199263048962E-02,  3.0929169022120832E-10, -1.0695218120840378E-11,  1.0000000000000001E-01,  2.5000000000000000E-01,  3.1891738652996464E-10
  2.0069285775805853E-02,7,2,  1.6875192880683593E-01,  1.3732952625793249E-04,  1.3726952045391800E-04,  1.6414206821925431E-02,  3.0929160645532910E-10, -9.6257800746355408E-12,  3.2500000000000001E-01,  3.2500000000000001E-01,  3.1578900800570811E-10
