time_s,time_step,nonlinear_iter,tes_temperature_K,previous_current_A,raw_current_A,tes_resistance_ohm,raw_power_W,residual_W,omega,omega_cap,relaxed_power_W
  2.0001476340246967E-02,1,1,  1.6856315951917011E-01,  1.4377524421770033E-04,  1.4377524421770033E-04,  1.5494854901291169E-02,  3.2030030492578141E-10,  0.0000000000000000E+00,  5.0000000000000000E-01,  5.0000000000000000E-01,  3.2030030492578141E-10
  2.0001476340246967E-02,1,2,  1.6856315415782303E-01,  1.4377524421770033E-04,  1.4377541607080510E-04,  1.5494821760401609E-02,  3.2029919782009725E-10, -1.1071056841615363E-15,  2.0000000000000000E-02,  2.5000000000000000E-01,  3.2030028278366772E-10
  2.0002552680493932E-02,2,1,  1.6856314879073897E-01,  1.4377541607080510E-04,  1.4377559635270047E-04,  1.5494793070220919E-02,  3.2029940800856451E-10, -8.7477510320865908E-16,  2.0000000000000000E-02,  5.0000000000000000E-01,  3.2030026528816565E-10
  2.0004705360987866E-02,3,1,  1.6856314848481094E-01,  1.4377559635270047E-04,  1.4377562634358427E-04,  1.5494802161905671E-02,  3.2029972957247920E-10, -5.3571568644215838E-16,  1.0000000000000001E-01,  2.5000000000000000E-01,  3.2030021171659698E-10
  2.0009010721975730E-02,4,1,  1.6856314636672320E-01,  1.4377562634358427E-04,  1.4377569964142274E-04,  1.5494792009704675E-02,  3.2029984629399627E-10, -3.6542260070458517E-16,  1.0000000000000001E-01,  2.5000000000000000E-01,  3.2030017517433692E-10
  2.0017621443951462E-02,5,1,  1.6856314132831351E-01,  1.4377569964142274E-04,  1.4377587451224475E-04,  1.5494768139407158E-02,  3.2030013200510290E-10, -4.3169234024330925E-17,  1.0000000000000001E-01,  2.5000000000000000E-01,  3.2030017517433692E-10
  2.0017621443951462E-02,5,2,  1.6856313055306757E-01,  1.4377569964142274E-04,  1.4377624397369571E-04,  1.5494714630031867E-02,  3.2030067203548025E-10,  4.9686114333216557E-16,  1.0000000000000001E-01,  2.5000000000000000E-01,  3.2030022486045126E-10
  2.0034842887902925E-02,6,1,  1.6856305796712420E-01,  1.4377624397369571E-04,  1.4377875879224611E-04,  1.5494368314730708E-02,  3.2030471787282586E-10,  4.4930123745983653E-15,  1.0000000000000001E-01,  2.5000000000000000E-01,  3.2030067416168872E-10
  2.0034842887902925E-02,6,2,  1.6856307351758704E-01,  1.4377624397369571E-04,  1.4377822172204405E-04,  1.5494443428517690E-02,  3.2030387771464921E-10,  3.2035529604885566E-15,  3.2500000000000001E-01,  3.2500000000000001E-01,  3.2030171531640088E-10
  2.0034842887902925E-02,6,3,  1.6857113525094145E-01,  1.4377624397369571E-04,  1.4349990222400162E-04,  1.5533444393995538E-02,  3.1986813442736739E-10, -4.3358088903349911E-13,  2.0000000000000000E-02,  1.6250000000000001E-01,  3.2029304369862022E-10
  2.0069285775805853E-02,7,1,  1.6857106819957129E-01,  1.4349990222400162E-04,  1.4350020796396879E-04,  1.5532026826863346E-02,  3.1984030646540595E-10, -4.5273723321427341E-13,  1.0000000000000001E-01,  2.5000000000000000E-01,  3.2024776997529878E-10
  2.0069285775805853E-02,7,2,  1.6857102666903770E-01,  1.4349990222400162E-04,  1.4350164642923003E-04,  1.5531828459870542E-02,  3.1984263382505054E-10, -4.0513615024824489E-13,  3.2500000000000001E-01,  3.2500000000000001E-01,  3.2011610072646809E-10
  2.0069285775805853E-02,7,3,  1.6862697021341105E-01,  1.4349990222400162E-04,  1.4156929647472124E-04,  1.5801937593080261E-02,  3.1670031110899504E-10, -3.4157896174730520E-12,  2.0000000000000000E-02,  1.6250000000000001E-01,  3.2004778493411863E-10
  2.0069285775805853E-02,7,4,  1.6862529918867927E-01,  1.4349990222400162E-04,  1.4162685971420421E-04,  1.5793784733302368E-02,  3.1679437794179852E-10, -3.2534069923201166E-12,  2.1125000000000002E-01,  2.1125000000000002E-01,  3.1936050270699103E-10
  2.0069285775805853E-02,7,5,  1.6862480484568418E-01,  1.4349990222400162E-04,  1.4164389062891903E-04,  1.5791373862447042E-02,  3.1682220356287444E-10, -2.5382991441165815E-12,  2.7462500000000006E-01,  2.7462500000000006E-01,  3.1866342230453801E-10
