time_from_pulse_us,comsol_current_drop_uA,amgx_current_drop_uA,amgx_minus_comsol_uA
0.000000000000000000e+00,-1.053404105277877534e-06,2.642092215408609778e-05,2.747432625936397532e-05
5.000000000000000278e-02,-1.057006567795757385e-06,2.111977497708320266e-04,2.122547563386277861e-04
1.000000000000000056e-01,-1.060607375471430824e-06,1.314090087390420644e-02,1.314196148127967818e-02
1.500000000000000222e-01,-1.064208128351695872e-06,3.411041803264279471e-02,3.411148224077114460e-02
2.000000000000000111e-01,-1.067809251751631375e-06,5.494994943081971811e-02,5.495101724007146748e-02
2.500000000000000000e-01,-1.071410826392058638e-06,8.152853508911922509e-02,8.152960649994561715e-02
3.000000000000000444e-01,-1.075012726282878807e-06,1.082242443060307951e-01,1.082253193187570767e-01
3.500000000000000333e-01,-1.078614959358006612e-06,1.420980243046112701e-01,1.420991029195706190e-01
4.000000000000000222e-01,-1.082217353500839721e-06,1.761182955464006550e-01,1.761193777637541646e-01
4.500000000000000111e-01,-1.085820107351105568e-06,1.965834710910456529e-01,1.965845569111530078e-01
5.000000000000000000e-01,-1.089422985490416141e-06,2.167720120245694715e-01,2.167731014475549611e-01
5.500000000000000444e-01,-1.093025998037537353e-06,2.272488286928200929e-01,2.272499217188181375e-01
6.000000000000000888e-01,-1.096629043701091516e-06,2.375274469031743441e-01,2.375285435322180561e-01
6.500000000000000222e-01,-1.100232214861516189e-06,2.409087233890156443e-01,2.409098236212305066e-01
7.000000000000000666e-01,-1.103835419833457943e-06,2.441492377964439020e-01,2.441503416318637487e-01
7.500000000000000000e-01,-1.107438689901407411e-06,2.438811528431840681e-01,2.438822602818739582e-01
8.000000000000000444e-01,-1.111041987804255437e-06,2.435414638201600090e-01,2.435425748621478093e-01
8.500000000000000888e-01,-1.114645293564019087e-06,2.420417845350887609e-01,2.420428991803823260e-01
9.000000000000000222e-01,-1.118248647807873251e-06,2.405184319789881175e-01,2.405195502276359365e-01
9.500000000000000666e-01,-1.121852028076816202e-06,2.383859062727182454e-01,2.383870281247463252e-01
1.000000000000000000e+00,-1.125455365935597907e-06,2.362409484611532884e-01,2.362420739165192185e-01
1.050000000000000044e+00,-1.129058730264263399e-06,2.357408625847404182e-01,2.357419916434706775e-01
1.100000000000000089e+00,-1.132662137589624454e-06,2.352743455238222314e-01,2.352754781859598132e-01
1.150000000000000133e+00,-1.136265520170745217e-06,2.348078284629040446e-01,2.348089647284242187e-01
1.200000000000000178e+00,-1.139868879096572091e-06,2.343413114019858579e-01,2.343424512708649488e-01
1.250000000000000000e+00,-1.143472236070461090e-06,2.338747943410676988e-01,2.338759378133037636e-01
1.300000000000000044e+00,-1.147075584031345666e-06,2.334082772801495120e-01,2.334094243557335302e-01
1.350000000000000089e+00,-1.150678928201675216e-06,2.329417602192313252e-01,2.329429108981595220e-01
1.400000000000000133e+00,-1.154282272372004767e-06,2.324752431583131385e-01,2.324763974405855138e-01
