time_from_pulse_us,comsol_current_drop_uA,amgx_current_drop_uA,amgx_minus_comsol_uA
0.000000000000000000e+00,-1.053404105277877534e-06,2.698535021748448522e-05,2.803875432276236275e-05
5.000000000000000278e-02,-1.057006567795757385e-06,1.569510988573781572e-04,1.580081054251739167e-04
1.000000000000000056e-01,-1.060607375471430824e-06,9.657822540777961191e-04,9.668428614532675359e-04
1.500000000000000222e-01,-1.064208128351695872e-06,1.846441278531446486e-03,1.847505486659798118e-03
2.000000000000000111e-01,-1.067809251751631375e-06,2.715763738740711343e-03,2.716831547992462886e-03
2.500000000000000000e-01,-1.071410826392058638e-06,1.206320239006439775e-02,1.206427380089078981e-02
3.000000000000000444e-01,-1.075012726282878807e-06,2.158366382417122031e-02,2.158473883689750183e-02
3.500000000000000333e-01,-1.078614959358006612e-06,3.443743655077095844e-02,3.443851516573031429e-02
4.000000000000000222e-01,-1.082217353500839721e-06,4.735923603972675561e-02,4.736031825708025833e-02
4.500000000000000111e-01,-1.085820107351105568e-06,5.966780501682020232e-02,5.966889083692755030e-02
5.000000000000000000e-01,-1.089422985490416141e-06,7.196385908527952457e-02,7.196494850826501422e-02
5.500000000000000444e-01,-1.093025998037537353e-06,8.200644106216867235e-02,8.200753408816670309e-02
6.000000000000000888e-01,-1.096629043701091516e-06,9.200303381188640328e-02,9.200413044093010140e-02
6.500000000000000222e-01,-1.100232214861516189e-06,1.004853000790743994e-01,1.004864003112892618e-01
7.000000000000000666e-01,-1.103835419833457943e-06,1.089366617236424695e-01,1.089377655590623023e-01
7.500000000000000000e-01,-1.107438689901407411e-06,1.148749556794365911e-01,1.148760631181264952e-01
8.000000000000000444e-01,-1.111041987804255437e-06,1.207619625386971707e-01,1.207630735806849709e-01
8.500000000000000888e-01,-1.114645293564019087e-06,1.246649741652909454e-01,1.246660888105845105e-01
9.000000000000000222e-01,-1.118248647807873251e-06,1.285274960926168497e-01,1.285286143412646687e-01
9.500000000000000666e-01,-1.121852028076816202e-06,1.309488355535894655e-01,1.309499574056175453e-01
1.000000000000000000e+00,-1.125455365935597907e-06,1.333407631270450699e-01,1.333418885824110001e-01
1.050000000000000044e+00,-1.129058730264263399e-06,1.335636353992994130e-01,1.335647644580296722e-01
1.100000000000000089e+00,-1.132662137589624454e-06,1.337422412361871094e-01,1.337433738983246911e-01
1.150000000000000133e+00,-1.136265520170745217e-06,1.339208470730748057e-01,1.339219833385949798e-01
1.200000000000000178e+00,-1.139868879096572091e-06,1.340994529099624744e-01,1.341005927788415653e-01
1.250000000000000000e+00,-1.143472236070461090e-06,1.342780587468501707e-01,1.342792022190862355e-01
1.300000000000000044e+00,-1.147075584031345666e-06,1.344566645837378671e-01,1.344578116593218853e-01
1.350000000000000089e+00,-1.150678928201675216e-06,1.346352704206255635e-01,1.346364210995537602e-01
1.400000000000000133e+00,-1.154282272372004767e-06,1.348138762575132599e-01,1.348150305397856352e-01
1.450000000000000178e+00,-1.157885616542334529e-06,1.349924820944009285e-01,1.349936399800174824e-01
1.500000000000000000e+00,-1.161488960712664080e-06,1.351710879312886249e-01,1.351722494202493297e-01
1.550000000000000044e+00,-1.165092304882993631e-06,1.353496937681763213e-01,1.353508588604812046e-01
1.600000000000000089e+00,-1.168695647914856055e-06,1.355282996050640176e-01,1.355294683007119416e-01
1.650000000000000133e+00,-1.172298966478066709e-06,1.357069054419516863e-01,1.357080777409181704e-01
1.700000000000000178e+00,-1.175902285041277151e-06,1.358855112788393826e-01,1.358866871811244270e-01
1.750000000000000000e+00,-1.179505624720892973e-06,1.360641171157270790e-01,1.360652966213518056e-01
1.800000000000000044e+00,-1.183108968891222523e-06,1.362427229526147754e-01,1.362439060615836528e-01
1.850000000000000089e+00,-1.186712274343490555e-06,1.364213287895024440e-01,1.364225155017767810e-01
1.900000000000000133e+00,-1.190315554496022440e-06,1.365999346263901404e-01,1.366011249419446238e-01
1.950000000000000178e+00,-1.193918810003444629e-06,1.367785404632778368e-01,1.367797343820878475e-01
2.000000000000000000e+00,-1.197522026138178850e-06,1.369571463001655331e-01,1.369583438221916583e-01
2.050000000000000266e+00,-1.201125242272913071e-06,1.358108942153420651e-01,1.358120953405843323e-01
2.100000000000000089e+00,-1.204728458407647292e-06,1.346376042133254625e-01,1.346388089417838718e-01
2.149999999999999911e+00,-1.208331674542381512e-06,1.334643142113088599e-01,1.334655225429834113e-01
2.200000000000000178e+00,-1.211934866470314246e-06,1.322910242092922573e-01,1.322922361441587202e-01
2.250000000000000000e+00,-1.215538056997929570e-06,1.311177342072756546e-01,1.311189497453326414e-01
2.300000000000000266e+00,-1.219141247525544683e-06,1.299444442052590520e-01,1.299456633465065902e-01
2.350000000000000089e+00,-1.222744438053159795e-06,1.287711542032424494e-01,1.287723769476805113e-01
2.400000000000000355e+00,-1.226347560601464711e-06,1.275978642012258191e-01,1.275990905487864313e-01
2.450000000000000178e+00,-1.229950616691704558e-06,1.264245741992092165e-01,1.264258041498259044e-01
2.500000000000000000e+00,-1.233553672781944617e-06,1.252512841971926139e-01,1.252525177508654053e-01
2.550000000000000266e+00,-1.237156728872184887e-06,1.240779941951760112e-01,1.240792313519048784e-01
2.600000000000000089e+00,-1.240759782849826519e-06,1.229047041931594086e-01,1.229059449529422560e-01
2.650000000000000355e+00,-1.244362806931167745e-06,1.217314141911428060e-01,1.217326585539497408e-01
2.700000000000000178e+00,-1.247965831012508971e-06,1.205581241891262034e-01,1.205593721549572117e-01
2.750000000000000000e+00,-1.251568855093850197e-06,1.193848341871096008e-01,1.193860857559646965e-01
2.800000000000000266e+00,-1.255171879175191423e-06,1.182115441850929843e-01,1.182127993569721536e-01
2.850000000000000089e+00,-1.258774839101187633e-06,1.170382541830763817e-01,1.170395129579154814e-01
2.900000000000000355e+00,-1.262377760754052638e-06,1.158649641810597652e-01,1.158662265588205204e-01
2.950000000000000178e+00,-1.265980682406917642e-06,1.146916741790431626e-01,1.146929401597255732e-01
3.000000000000000000e+00,-1.269583604059782647e-06,1.135183841770265600e-01,1.135196537606306261e-01
3.050000000000000266e+00,-1.273186028543274093e-06,1.131481194010753449e-01,1.131493925871038947e-01
3.100000000000000089e+00,-1.276786287055784019e-06,1.127942428953172815e-01,1.127955196816043393e-01
3.150000000000000355e+00,-1.280386545568294157e-06,1.124403663895592181e-01,1.124416467761047839e-01
3.200000000000000178e+00,-1.283986804080804083e-06,1.120864898838011409e-01,1.120877738706052285e-01
3.250000000000000000e+00,-1.287587062593314009e-06,1.117326133780430775e-01,1.117339009651056730e-01
3.300000000000000266e+00,-1.291187321105824147e-06,1.113787368722850141e-01,1.113800280596061176e-01
3.350000000000000089e+00,-1.294787579618334073e-06,1.110248603665269507e-01,1.110261551541065622e-01
3.400000000000000355e+00,-1.298387838130844211e-06,1.106709838607688734e-01,1.106722822486070068e-01
3.450000000000000178e+00,-1.301988096643354137e-06,1.103171073550108100e-01,1.103184093431074514e-01
3.500000000000000000e+00,-1.305586555104399223e-06,1.099632308492527466e-01,1.099645364358078498e-01
3.550000000000000266e+00,-1.309180957323191514e-06,1.096093543434946693e-01,1.096106635244519928e-01
3.600000000000000089e+00,-1.312775359541983805e-06,1.092554778377366059e-01,1.092567906130961497e-01
3.650000000000000355e+00,-1.316369761760776096e-06,1.089016013319785425e-01,1.089029177017403066e-01
3.700000000000000178e+00,-1.319964163979568387e-06,1.085477248262204653e-01,1.085490447903844496e-01
3.750000000000000000e+00,-1.323556507503890381e-06,1.081938483204624019e-01,1.081951718769699061e-01
3.800000000000000266e+00,-1.327137514195135525e-06,1.078399718147043385e-01,1.078412989522185284e-01
3.850000000000000089e+00,-1.330718520886380459e-06,1.074860953089462751e-01,1.074874260274671645e-01
3.900000000000000355e+00,-1.334299527577625603e-06,1.071322188031881978e-01,1.071335531027157728e-01
3.950000000000000178e+00,-1.337880534268870748e-06,1.067783422974301344e-01,1.067796801779644089e-01
4.000000000000000000e+00,-1.341461540960115681e-06,1.064244657916720710e-01,1.064258072532130311e-01
4.049999999999999822e+00,-1.344863227365761684e-06,1.063795427308266983e-01,1.063808875940540632e-01
4.100000000000000533e+00,-1.348264913771405569e-06,1.063409248424381226e-01,1.063422731073518923e-01
4.150000000000000355e+00,-1.351666600177049455e-06,1.063023069540495469e-01,1.063036586206497214e-01
4.200000000000000178e+00,-1.355068286582693552e-06,1.062636890656609712e-01,1.062650441339475504e-01
4.250000000000000000e+00,-1.358469972988337437e-06,1.062250711772723955e-01,1.062264296472453795e-01
4.299999999999999822e+00,-1.361871659393981322e-06,1.061864532888838197e-01,1.061878151605432086e-01
4.350000000000000533e+00,-1.365273345799625420e-06,1.061478354004952440e-01,1.061492006738410376e-01
4.400000000000000355e+00,-1.368675032205269305e-06,1.061092175121066683e-01,1.061105861871388667e-01
4.450000000000000178e+00,-1.372076718610913190e-06,1.060705996237180926e-01,1.060719717004367096e-01
4.500000000000000000e+00,-1.375478405016557287e-06,1.060319817353295169e-01,1.060333572137345387e-01
4.549999999999999822e+00,-1.378486712096343951e-06,1.059933638469409412e-01,1.059947423336530387e-01
4.600000000000000533e+00,-1.381320447987382247e-06,1.059547459585523654e-01,1.059561272790003478e-01
4.650000000000000355e+00,-1.384154183878420332e-06,1.059161280701637897e-01,1.059175122243476708e-01
4.700000000000000178e+00,-1.386987919769458628e-06,1.058775101817752140e-01,1.058788971696949799e-01
4.750000000000000000e+00,-1.389821655660496925e-06,1.058388922933866383e-01,1.058402821150423029e-01
4.800000000000000711e+00,-1.388562269889634853e-06,1.058002744049980626e-01,1.058016629672679509e-01
4.850000000000000533e+00,-1.383801304174293819e-06,1.057616565166094869e-01,1.057630403179136563e-01
4.900000000000000355e+00,-1.379040338458952998e-06,1.057230386282208973e-01,1.057244176685593617e-01
4.950000000000000178e+00,-1.374279372743611965e-06,1.056844207398323215e-01,1.056857950192050671e-01
5.000000000000000000e+00,-1.369518407028270931e-06,1.056458028514437458e-01,1.056471723698507725e-01
5.050000000000000711e+00,-1.364757441312929686e-06,1.055433420201367378e-01,1.055447067775780456e-01
5.100000000000000533e+00,-1.359996475597588653e-06,1.054395782716028990e-01,1.054409382680785018e-01
5.150000000000000355e+00,-1.355235509882247831e-06,1.053358145230690740e-01,1.053371697585789579e-01
5.200000000000000178e+00,-1.350474544166906798e-06,1.052320507745352351e-01,1.052334012490794002e-01
5.250000000000000000e+00,-1.345713578451565765e-06,1.051282870260014102e-01,1.051296327395798563e-01
5.300000000000000711e+00,-1.339439927256048460e-06,1.050245232774675713e-01,1.050258627173948217e-01
5.350000000000000533e+00,-1.328146769575891107e-06,1.049207595289337464e-01,1.049220876757033238e-01
5.400000000000000355e+00,-1.316853611895733542e-06,1.048169957803999075e-01,1.048183126340117982e-01
5.450000000000000178e+00,-1.305560454215575978e-06,1.047132320318660825e-01,1.047145375923203003e-01
5.500000000000000000e+00,-1.294267296535418413e-06,1.046094682833322437e-01,1.046107625506287747e-01
5.550000000000000711e+00,-1.279542621434563385e-06,1.045057045347984187e-01,1.045069840774198594e-01
5.600000000000000533e+00,-1.224192806216634202e-06,1.044019407862645799e-01,1.044031649790708033e-01
5.650000000000000355e+00,-1.168842990998705019e-06,1.042981770377307549e-01,1.042993458807217472e-01
5.700000000000000178e+00,-1.113493175780775836e-06,1.041944132891969160e-01,1.041955267823726911e-01
5.750000000000000000e+00,-1.058143360562846654e-06,1.040906495406630911e-01,1.040917076840236488e-01
5.800000000000000711e+00,-1.002793545344916624e-06,1.039868857921292522e-01,1.039878885856745927e-01
5.850000000000000533e+00,-9.474437301269874410e-07,1.038831220435954134e-01,1.038840694873255366e-01
5.900000000000000355e+00,-8.920939149090582582e-07,1.037793582950615884e-01,1.037802503889764943e-01
