time_from_pulse_us,comsol_current_drop_uA,amgx_current_drop_uA,amgx_minus_comsol_uA
0.000000000000000000e+00,-1.053404105277877534e-06,5.056747597609065288e-05,5.162088008136853041e-05
5.000000000000000278e-02,-1.057006567795757385e-06,5.056747672610011632e-05,5.162448329389587582e-05
1.000000000000000056e-01,-1.060607375471430824e-06,5.056747747610957299e-05,5.162808485158100339e-05
1.500000000000000222e-01,-1.064208128351695872e-06,5.056747822611902966e-05,5.163168635447072256e-05
2.000000000000000111e-01,-1.067809251751631375e-06,5.056747897612848632e-05,5.163528822788011706e-05
2.500000000000000000e-01,-1.071410826392058638e-06,5.056747972613794977e-05,5.163889055253001052e-05
3.000000000000000444e-01,-1.075012726282878807e-06,5.056748047614740643e-05,5.164249320243028291e-05
3.500000000000000333e-01,-1.078614959358006612e-06,5.056748122615686310e-05,5.164609618551486823e-05
4.000000000000000222e-01,-1.082217353500839721e-06,5.056748197616631977e-05,5.164969932966715949e-05
4.500000000000000111e-01,-1.085820107351105568e-06,5.056748272617578321e-05,5.165330283352688603e-05
5.000000000000000000e-01,-1.089422985490416141e-06,5.056748347618523988e-05,5.165690646167565327e-05
5.500000000000000444e-01,-1.093025998037537353e-06,5.056748422619469655e-05,5.166051022423223199e-05
6.000000000000000888e-01,-1.096629043701091516e-06,5.056748497620415321e-05,5.166411401990524431e-05
6.500000000000000222e-01,-1.100232214861516189e-06,5.056748572621361666e-05,5.166771794107513242e-05
7.000000000000000666e-01,-1.103835419833457943e-06,5.056748647622307332e-05,5.167132189605652936e-05
7.500000000000000000e-01,-1.107438689901407411e-06,5.056748722623252999e-05,5.167492591613393973e-05
8.000000000000000444e-01,-1.111041987804255437e-06,5.056748797624198666e-05,5.167852996404624188e-05
8.500000000000000888e-01,-1.114645293564019087e-06,5.056748872625145010e-05,5.168213401981546580e-05
9.000000000000000222e-01,-1.118248647807873251e-06,5.056748947626090677e-05,5.168573812406878108e-05
9.500000000000000666e-01,-1.121852028076816202e-06,5.056749022627036344e-05,5.168934225434717688e-05
1.000000000000000000e+00,-1.125455365935597907e-06,5.056749097627982010e-05,5.169294634221541907e-05
1.050000000000000044e+00,-1.129058730264263399e-06,5.056749172628928355e-05,5.169655045655354927e-05
1.100000000000000089e+00,-1.132662137589624454e-06,5.056749247629874021e-05,5.170015461388836615e-05
1.150000000000000133e+00,-1.136265520170745217e-06,5.056749322630819688e-05,5.170375874647894506e-05
1.200000000000000178e+00,-1.139868879096572091e-06,5.056749397631765355e-05,5.170736285541422479e-05
1.250000000000000000e+00,-1.143472236070461090e-06,5.056749472632711699e-05,5.171096696239758147e-05
1.300000000000000044e+00,-1.147075584031345666e-06,5.056749547633657366e-05,5.171457106036791805e-05
1.350000000000000089e+00,-1.150678928201675216e-06,5.056749622634603032e-05,5.171817515454770766e-05
1.400000000000000133e+00,-1.154282272372004767e-06,5.056749697635548699e-05,5.172177924872749049e-05
1.450000000000000178e+00,-1.157885616542334529e-06,5.056749772636495043e-05,5.172538334290728687e-05
