time_from_pulse_us,comsol_current_drop_uA,amgx_current_drop_uA,amgx_minus_comsol_uA
0.000000000000000000e+00,-1.053404105277877534e-06,7.714843538020431249e-04,7.725377579073210025e-04
5.000000000000000278e-02,-1.057006567795757385e-06,5.264152282622057075e-04,5.274722348300014399e-04
1.000000000000000056e-01,-1.060607375471430824e-06,1.394410581904234440e-03,1.395471189279705966e-03
1.500000000000000222e-01,-1.064208128351695872e-06,3.599400401309705514e-03,3.600464609438057146e-03
2.000000000000000111e-01,-1.067809251751631375e-06,5.824030006474934310e-03,5.825097815726686286e-03
2.500000000000000000e-01,-1.071410826392058638e-06,8.818819259728586171e-03,8.819890670554978232e-03
3.000000000000000444e-01,-1.075012726282878807e-06,1.182932605712715135e-02,1.183040106985343461e-02
3.500000000000000333e-01,-1.078614959358006612e-06,1.483683922444543717e-02,1.483791783940479475e-02
4.000000000000000222e-01,-1.082217353500839721e-06,1.784429129727113650e-02,1.784537351462463575e-02
4.500000000000000111e-01,-1.085820107351105568e-06,2.080104584920389535e-02,2.080213166931124680e-02
5.000000000000000000e-01,-1.089422985490416141e-06,2.375676575783421118e-02,2.375785518081970082e-02
5.500000000000000444e-01,-1.093025998037537353e-06,2.664268000394068650e-02,2.664377302993872418e-02
6.000000000000000888e-01,-1.096629043701091516e-06,2.952716964466435209e-02,2.952826627370805368e-02
6.500000000000000222e-01,-1.100232214861516189e-06,3.235362851207649465e-02,3.235472874429135698e-02
7.000000000000000666e-01,-1.103835419833457943e-06,3.517890307797227195e-02,3.518000691339210478e-02
7.500000000000000000e-01,-1.107438689901407411e-06,3.791777828871593231e-02,3.791888572740583635e-02
8.000000000000000444e-01,-1.111041987804255437e-06,4.065489024728460854e-02,4.065600128927241569e-02
8.500000000000000888e-01,-1.114645293564019087e-06,4.331962555663049219e-02,4.332074020192405728e-02
9.000000000000000222e-01,-1.118248647807873251e-06,4.598288379147901644e-02,4.598400204012682152e-02
9.500000000000000666e-01,-1.121852028076816202e-06,4.857042762448722517e-02,4.857154947651530497e-02
1.000000000000000000e+00,-1.125455365935597907e-06,5.115642626559756267e-02,5.115755172096349973e-02
1.050000000000000044e+00,-1.129058730264263399e-06,5.211477509025480570e-02,5.211590414898507190e-02
1.100000000000000089e+00,-1.132662137589624454e-06,5.303990657123267005e-02,5.304103923337025878e-02
1.150000000000000133e+00,-1.136265520170745217e-06,5.396503805221053440e-02,5.396617431773070850e-02
1.200000000000000178e+00,-1.139868879096572091e-06,5.489016953318840569e-02,5.489130940206750353e-02
1.250000000000000000e+00,-1.143472236070461090e-06,5.581530101416626310e-02,5.581644448640233486e-02
1.300000000000000044e+00,-1.147075584031345666e-06,5.674043249514413439e-02,5.674157957072816644e-02
1.350000000000000089e+00,-1.150678928201675216e-06,5.766556397612199875e-02,5.766671465505020244e-02
1.400000000000000133e+00,-1.154282272372004767e-06,5.859069545709987004e-02,5.859184973937224539e-02
1.450000000000000178e+00,-1.157885616542334529e-06,5.951582693807773439e-02,5.951698482369427445e-02
1.500000000000000000e+00,-1.161488960712664080e-06,6.044095841905559874e-02,6.044211990801631046e-02
1.550000000000000044e+00,-1.165092304882993631e-06,6.136608990003346309e-02,6.136725499233834646e-02
1.600000000000000089e+00,-1.168695647914856055e-06,6.229122138101133438e-02,6.229239007665925143e-02
1.650000000000000133e+00,-1.172298966478066709e-06,6.321635286198920567e-02,6.321752516095568986e-02
1.700000000000000178e+00,-1.175902285041277151e-06,6.414148434296707002e-02,6.414266024525211440e-02
1.750000000000000000e+00,-1.179505624720892973e-06,6.506661582394493437e-02,6.506779532956966094e-02
1.800000000000000044e+00,-1.183108968891222523e-06,6.599174730492279872e-02,6.599293041389169001e-02
1.850000000000000089e+00,-1.186712274343490555e-06,6.691687878590066307e-02,6.691806549817500005e-02
1.900000000000000133e+00,-1.190315554496022440e-06,6.784201026687852742e-02,6.784320058243302476e-02
1.950000000000000178e+00,-1.193918810003444629e-06,6.876714174785639178e-02,6.876833566666638864e-02
2.000000000000000000e+00,-1.197522026138178850e-06,6.969227322883425613e-02,6.969347075086039511e-02
2.050000000000000266e+00,-1.201125242272913071e-06,7.072486444907025160e-02,7.072606557431251884e-02
2.100000000000000089e+00,-1.204728458407647292e-06,7.175964872524381866e-02,7.176085345370222801e-02
2.149999999999999911e+00,-1.208331674542381512e-06,7.279443300141738571e-02,7.279564133309192331e-02
2.200000000000000178e+00,-1.211934866470314246e-06,7.382921727759096664e-02,7.383042921245744350e-02
2.250000000000000000e+00,-1.215538056997929570e-06,7.486400155376453369e-02,7.486521709182153428e-02
2.300000000000000266e+00,-1.219141247525544683e-06,7.589878582993810074e-02,7.590000497118562506e-02
2.350000000000000089e+00,-1.222744438053159795e-06,7.693357010611166780e-02,7.693479285054971584e-02
2.400000000000000355e+00,-1.226347560601464711e-06,7.796835438228524873e-02,7.796958072984584709e-02
2.450000000000000178e+00,-1.229950616691704558e-06,7.900313865845881578e-02,7.900436860907550374e-02
2.500000000000000000e+00,-1.233553672781944617e-06,8.003792293463238283e-02,8.003915648830516039e-02
2.550000000000000266e+00,-1.237156728872184887e-06,8.107270721080594988e-02,8.107394436753481703e-02
2.600000000000000089e+00,-1.240759782849826519e-06,8.210749148697951694e-02,8.210873224676236426e-02
2.650000000000000355e+00,-1.244362806931167745e-06,8.314227576315309787e-02,8.314352012596003261e-02
2.700000000000000178e+00,-1.247965831012508971e-06,8.417706003932666492e-02,8.417830800515767320e-02
2.750000000000000000e+00,-1.251568855093850197e-06,8.521184431550023197e-02,8.521309588435532767e-02
2.800000000000000266e+00,-1.255171879175191423e-06,8.624662859167381290e-02,8.624788376355298214e-02
2.850000000000000089e+00,-1.258774839101187633e-06,8.728141286784737995e-02,8.728267164268647960e-02
2.900000000000000355e+00,-1.262377760754052638e-06,8.831619714402094701e-02,8.831745952178170211e-02
2.950000000000000178e+00,-1.265980682406917642e-06,8.935098142019451406e-02,8.935224740087692463e-02
3.000000000000000000e+00,-1.269583604059782647e-06,9.038576569636808111e-02,9.038703527997214715e-02
3.050000000000000266e+00,-1.273186028543274093e-06,9.139712661518900605e-02,9.139839980121755580e-02
3.100000000000000089e+00,-1.276786287055784019e-06,9.240800950630088939e-02,9.240928629258794713e-02
3.150000000000000355e+00,-1.280386545568294157e-06,9.341889239741275885e-02,9.342017278395832458e-02
3.200000000000000178e+00,-1.283986804080804083e-06,9.442977528852462832e-02,9.443105927532871591e-02
3.250000000000000000e+00,-1.287587062593314009e-06,9.544065817963651166e-02,9.544194576669910723e-02
3.300000000000000266e+00,-1.291187321105824147e-06,9.645154107074838112e-02,9.645283225806948468e-02
3.350000000000000089e+00,-1.294787579618334073e-06,9.746242396186025059e-02,9.746371874943986213e-02
3.400000000000000355e+00,-1.298387838130844211e-06,9.847330685297213393e-02,9.847460524081026734e-02
3.450000000000000178e+00,-1.301988096643354137e-06,9.948418974408400339e-02,9.948549173218064479e-02
3.500000000000000000e+00,-1.305586555104399223e-06,1.004950726351958729e-01,1.004963782217509760e-01
3.550000000000000266e+00,-1.309180957323191514e-06,1.015059555263077562e-01,1.015072647072650797e-01
3.600000000000000089e+00,-1.312775359541983805e-06,1.025168384174196257e-01,1.025181511927791694e-01
3.650000000000000355e+00,-1.316369761760776096e-06,1.035277213085315090e-01,1.035290376782932731e-01
3.700000000000000178e+00,-1.319964163979568387e-06,1.045386041996433785e-01,1.045399241638073629e-01
3.750000000000000000e+00,-1.323556507503890381e-06,1.055494870907552479e-01,1.055508106472627522e-01
3.800000000000000266e+00,-1.327137514195135525e-06,1.065603699818671313e-01,1.065616971193813212e-01
3.850000000000000089e+00,-1.330718520886380459e-06,1.075712528729790007e-01,1.075725835914998901e-01
3.900000000000000355e+00,-1.334299527577625603e-06,1.085821357640908702e-01,1.085834700636184452e-01
3.950000000000000178e+00,-1.337880534268870748e-06,1.095930186552027535e-01,1.095943565357370281e-01
4.000000000000000000e+00,-1.341461540960115681e-06,1.106039015463146230e-01,1.106052430078555832e-01
4.049999999999999822e+00,-1.344863227365761684e-06,1.114000896006321628e-01,1.114014344638595277e-01
4.100000000000000533e+00,-1.348264913771405569e-06,1.121918961275906318e-01,1.121932443925044015e-01
4.150000000000000355e+00,-1.351666600177049455e-06,1.129837026545490869e-01,1.129850543211492614e-01
4.200000000000000178e+00,-1.355068286582693552e-06,1.137755091815075420e-01,1.137768642497941213e-01
4.250000000000000000e+00,-1.358469972988337437e-06,1.145673157084659971e-01,1.145686741784389812e-01
4.299999999999999822e+00,-1.361871659393981322e-06,1.153591222354244522e-01,1.153604841070838410e-01
4.350000000000000533e+00,-1.365273345799625420e-06,1.161509287623829212e-01,1.161522940357287148e-01
4.400000000000000355e+00,-1.368675032205269305e-06,1.169427352893413763e-01,1.169441039643735747e-01
4.450000000000000178e+00,-1.372076718610913190e-06,1.177345418162998314e-01,1.177359138930184485e-01
4.500000000000000000e+00,-1.375478405016557287e-06,1.185263483432582865e-01,1.185277238216633083e-01
4.549999999999999822e+00,-1.378486712096343951e-06,1.193181548702167416e-01,1.193195333569288391e-01
4.600000000000000533e+00,-1.381320447987382247e-06,1.201099613971752106e-01,1.201113427176231929e-01
4.650000000000000355e+00,-1.384154183878420332e-06,1.209017679241336657e-01,1.209031520783175467e-01
4.700000000000000178e+00,-1.386987919769458628e-06,1.216935744510921208e-01,1.216949614390118867e-01
4.750000000000000000e+00,-1.389821655660496925e-06,1.224853809780505759e-01,1.224867707997062405e-01
