time_from_pulse_us,comsol_current_drop_uA,amgx_current_drop_uA,amgx_minus_comsol_uA
0.000000000000000000e+00,-1.053404105277877534e-06,1.021078581684119326e-04,1.031612622736898102e-04
5.000000000000000278e-02,-1.057006567795757385e-06,1.202711756102997810e-04,1.213281821780955405e-04
1.000000000000000056e-01,-1.060607375471430824e-06,2.382065562604451521e-04,2.392671636359165960e-04
1.500000000000000222e-01,-1.064208128351695872e-06,4.061830129279227946e-04,4.072472210562744807e-04
2.000000000000000111e-01,-1.067809251751631375e-06,5.732315542574552541e-04,5.742993635092069052e-04
2.500000000000000000e-01,-1.071410826392058638e-06,2.197696705050659633e-03,2.198768115877051694e-03
3.000000000000000444e-01,-1.075012726282878807e-06,3.851905052535135616e-03,3.852980065261418438e-03
3.500000000000000333e-01,-1.078614959358006612e-06,7.137427064823054050e-03,7.138505679782411635e-03
4.000000000000000222e-01,-1.082217353500839721e-06,1.045624119334797285e-02,1.045732341070147384e-02
4.500000000000000111e-01,-1.085820107351105568e-06,1.524365127371926816e-02,1.524473709382661961e-02
5.000000000000000000e-01,-1.089422985490416141e-06,2.006103270059449856e-02,2.006212212357998820e-02
5.500000000000000444e-01,-1.093025998037537353e-06,2.603388572232945633e-02,2.603497874832749401e-02
6.000000000000000888e-01,-1.096629043701091516e-06,3.203031979743752033e-02,3.203141642648121845e-02
6.500000000000000222e-01,-1.100232214861516189e-06,3.884327991100974126e-02,3.884438014322460359e-02
7.000000000000000666e-01,-1.103835419833457943e-06,4.567290382156975054e-02,4.567400765698958337e-02
7.500000000000000000e-01,-1.107438689901407411e-06,5.301886133018400560e-02,5.301996876887390964e-02
8.000000000000000444e-01,-1.111041987804255437e-06,6.037535625934020017e-02,6.037646730132800732e-02
8.500000000000000888e-01,-1.114645293564019087e-06,6.800964404258062757e-02,6.801075868787419265e-02
9.000000000000000222e-01,-1.118248647807873251e-06,7.564960106783102933e-02,7.565071931647883441e-02
9.500000000000000666e-01,-1.121852028076816202e-06,8.339174449534712819e-02,8.339286634737520798e-02
1.000000000000000000e+00,-1.125455365935597907e-06,9.113597335967593693e-02,9.113709881504186705e-02
1.050000000000000044e+00,-1.129058730264263399e-06,9.277972346879817533e-02,9.278085252752843459e-02
1.100000000000000089e+00,-1.132662137589624454e-06,9.429897400966440191e-02,9.430010667180199757e-02
1.150000000000000133e+00,-1.136265520170745217e-06,9.581822455053062848e-02,9.581936081605080258e-02
1.200000000000000178e+00,-1.139868879096572091e-06,9.733747509139685505e-02,9.733861496027594595e-02
1.250000000000000000e+00,-1.143472236070461090e-06,9.885672563226308163e-02,9.885786910449914644e-02
1.300000000000000044e+00,-1.147075584031345666e-06,1.003759761731292943e-01,1.003771232487133264e-01
1.350000000000000089e+00,-1.150678928201675216e-06,1.018952267139955348e-01,1.018963773929237315e-01
1.400000000000000133e+00,-1.154282272372004767e-06,1.034144772548617475e-01,1.034156315371341228e-01
1.450000000000000178e+00,-1.157885616542334529e-06,1.049337277957279879e-01,1.049348856813445280e-01
1.500000000000000000e+00,-1.161488960712664080e-06,1.064529783365942006e-01,1.064541398255549193e-01
1.550000000000000044e+00,-1.165092304882993631e-06,1.079722288774604272e-01,1.079733939697653106e-01
1.600000000000000089e+00,-1.168695647914856055e-06,1.094914794183266538e-01,1.094926481139745639e-01
1.650000000000000133e+00,-1.172298966478066709e-06,1.110107299591928803e-01,1.110119022581593645e-01
1.700000000000000178e+00,-1.175902285041277151e-06,1.125299805000591069e-01,1.125311564023441513e-01
1.750000000000000000e+00,-1.179505624720892973e-06,1.140492310409253335e-01,1.140504105465500601e-01
1.800000000000000044e+00,-1.183108968891222523e-06,1.155684815817915601e-01,1.155696646907604513e-01
1.850000000000000089e+00,-1.186712274343490555e-06,1.170877321226577866e-01,1.170889188349321236e-01
1.900000000000000133e+00,-1.190315554496022440e-06,1.186069826635240132e-01,1.186081729790785105e-01
1.950000000000000178e+00,-1.193918810003444629e-06,1.201262332043902398e-01,1.201274271232002366e-01
2.000000000000000000e+00,-1.197522026138178850e-06,1.216454837452564525e-01,1.216466812672825915e-01
2.050000000000000266e+00,-1.201125242272913071e-06,1.275263675438519928e-01,1.275275686690942600e-01
2.100000000000000089e+00,-1.204728458407647292e-06,1.334962642674689670e-01,1.334974689959273764e-01
2.149999999999999911e+00,-1.208331674542381512e-06,1.394661609910859690e-01,1.394673693227605205e-01
2.200000000000000178e+00,-1.211934866470314246e-06,1.454360577147030265e-01,1.454372696495694894e-01
2.250000000000000000e+00,-1.215538056997929570e-06,1.514059544383200007e-01,1.514071699763769874e-01
2.300000000000000266e+00,-1.219141247525544683e-06,1.573758511619370304e-01,1.573770703031845686e-01
2.350000000000000089e+00,-1.222744438053159795e-06,1.633457478855540324e-01,1.633469706299920943e-01
2.400000000000000355e+00,-1.226347560601464711e-06,1.693156446091710898e-01,1.693168709567317021e-01
2.450000000000000178e+00,-1.229950616691704558e-06,1.752855413327880640e-01,1.752867712834047520e-01
2.500000000000000000e+00,-1.233553672781944617e-06,1.812554380564050382e-01,1.812566716100778297e-01
2.550000000000000266e+00,-1.237156728872184887e-06,1.872253347800220957e-01,1.872265719367509629e-01
2.600000000000000089e+00,-1.240759782849826519e-06,1.931952315036390977e-01,1.931964722634219589e-01
2.650000000000000355e+00,-1.244362806931167745e-06,1.991651282272561274e-01,1.991663725900630622e-01
2.700000000000000178e+00,-1.247965831012508971e-06,2.051350249508731016e-01,2.051362729167041099e-01
2.750000000000000000e+00,-1.251568855093850197e-06,2.111049216744901036e-01,2.111061732433451854e-01
2.800000000000000266e+00,-1.255171879175191423e-06,2.170748183981071611e-01,2.170760735699863442e-01
2.850000000000000089e+00,-1.258774839101187633e-06,2.230447151217241353e-01,2.230459738965632488e-01
2.900000000000000355e+00,-1.262377760754052638e-06,2.290146118453411650e-01,2.290158742231019062e-01
2.950000000000000178e+00,-1.265980682406917642e-06,2.349845085689581670e-01,2.349857745496405637e-01
3.000000000000000000e+00,-1.269583604059782647e-06,2.409544052925751689e-01,2.409556748761792211e-01
3.050000000000000266e+00,-1.273186028543274093e-06,2.468762173207416644e-01,2.468774905067702141e-01
3.100000000000000089e+00,-1.276786287055784019e-06,2.527970480285764432e-01,2.527983248148634732e-01
3.150000000000000355e+00,-1.280386545568294157e-06,2.587178787364112220e-01,2.587191591229567877e-01
3.200000000000000178e+00,-1.283986804080804083e-06,2.646387094442460008e-01,2.646399934310501023e-01
3.250000000000000000e+00,-1.287587062593314009e-06,2.705595401520807797e-01,2.705608277391433614e-01
3.300000000000000266e+00,-1.291187321105824147e-06,2.764803708599156140e-01,2.764816620472367314e-01
3.350000000000000089e+00,-1.294787579618334073e-06,2.824012015677503373e-01,2.824024963553299350e-01
3.400000000000000355e+00,-1.298387838130844211e-06,2.883220322755851717e-01,2.883233306634233051e-01
3.450000000000000178e+00,-1.301988096643354137e-06,2.942428629834199505e-01,2.942441649715166196e-01
3.500000000000000000e+00,-1.305586555104399223e-06,3.001636936912547293e-01,3.001649992778098186e-01
3.550000000000000266e+00,-1.309180957323191514e-06,3.060845243990895082e-01,3.060858335800468177e-01
3.600000000000000089e+00,-1.312775359541983805e-06,3.120053551069242870e-01,3.120066678822838169e-01
3.650000000000000355e+00,-1.316369761760776096e-06,3.179261858147590658e-01,3.179275021845208160e-01
3.700000000000000178e+00,-1.319964163979568387e-06,3.238470165225938446e-01,3.238483364867578151e-01
3.750000000000000000e+00,-1.323556507503890381e-06,3.297678472304286235e-01,3.297691707869361277e-01
3.800000000000000266e+00,-1.327137514195135525e-06,3.356886779382634578e-01,3.356900050757776754e-01
3.850000000000000089e+00,-1.330718520886380459e-06,3.416095086460981811e-01,3.416108393646190566e-01
3.900000000000000355e+00,-1.334299527577625603e-06,3.475303393539330155e-01,3.475316736534606044e-01
3.950000000000000178e+00,-1.337880534268870748e-06,3.534511700617677943e-01,3.534525079423020411e-01
4.000000000000000000e+00,-1.341461540960115681e-06,3.593720007696025731e-01,3.593733422311435333e-01
4.049999999999999822e+00,-1.344863227365761684e-06,3.650317643691950442e-01,3.650331092324224369e-01
4.100000000000000533e+00,-1.348264913771405569e-06,3.706862000685251513e-01,3.706875483334389210e-01
4.150000000000000355e+00,-1.351666600177049455e-06,3.763406357678550918e-01,3.763419874344552940e-01
4.200000000000000178e+00,-1.355068286582693552e-06,3.819950714671850323e-01,3.819964265354716115e-01
4.250000000000000000e+00,-1.358469972988337437e-06,3.876495071665150283e-01,3.876508656364880401e-01
4.299999999999999822e+00,-1.361871659393981322e-06,3.933039428658449688e-01,3.933053047375043576e-01
4.350000000000000533e+00,-1.365273345799625420e-06,3.989583785651750203e-01,3.989597438385208417e-01
4.400000000000000355e+00,-1.368675032205269305e-06,4.046128142645050163e-01,4.046141829395372147e-01
4.450000000000000178e+00,-1.372076718610913190e-06,4.102672499638349568e-01,4.102686220405535877e-01
4.500000000000000000e+00,-1.375478405016557287e-06,4.159216856631648973e-01,4.159230611415699053e-01
4.549999999999999822e+00,-1.378486712096343951e-06,4.215761213624948933e-01,4.215774998492070047e-01
4.600000000000000533e+00,-1.381320447987382247e-06,4.272305570618249448e-01,4.272319383822729133e-01
4.650000000000000355e+00,-1.384154183878420332e-06,4.328849927611548853e-01,4.328863769153387664e-01
4.700000000000000178e+00,-1.386987919769458628e-06,4.385394284604848814e-01,4.385408154484046750e-01
4.750000000000000000e+00,-1.389821655660496925e-06,4.441938641598148219e-01,4.441952539814704726e-01
4.800000000000000711e+00,-1.388562269889634853e-06,4.498482998591448734e-01,4.498496884214147618e-01
4.850000000000000533e+00,-1.383801304174293819e-06,4.555027355584748694e-01,4.555041193597790250e-01
4.900000000000000355e+00,-1.379040338458952998e-06,4.611571712578048099e-01,4.611585502981432882e-01
4.950000000000000178e+00,-1.374279372743611965e-06,4.668116069571347504e-01,4.668129812365074960e-01
5.000000000000000000e+00,-1.369518407028270931e-06,4.724660426564647464e-01,4.724674121748717592e-01
5.050000000000000711e+00,-1.364757441312929686e-06,4.779507338938868699e-01,4.779520986513282055e-01
5.100000000000000533e+00,-1.359996475597588653e-06,4.834319609585520650e-01,4.834333209550276678e-01
5.150000000000000355e+00,-1.355235509882247831e-06,4.889131880232172600e-01,4.889145432587271300e-01
5.200000000000000178e+00,-1.350474544166906798e-06,4.943944150878824551e-01,4.943957655624266478e-01
5.250000000000000000e+00,-1.345713578451565765e-06,4.998756421525476501e-01,4.998769878661261101e-01
5.300000000000000711e+00,-1.339439927256048460e-06,5.053568692172129007e-01,5.053582086571402066e-01
5.350000000000000533e+00,-1.328146769575891107e-06,5.108380962818781512e-01,5.108394244286477148e-01
5.400000000000000355e+00,-1.316853611895733542e-06,5.163193233465432908e-01,5.163206402001552231e-01
5.450000000000000178e+00,-1.305560454215575978e-06,5.218005504112085413e-01,5.218018559716627314e-01
5.500000000000000000e+00,-1.294267296535418413e-06,5.272817774758736808e-01,5.272830717431702396e-01
5.550000000000000711e+00,-1.279542621434563385e-06,5.327630045405389314e-01,5.327642840831603444e-01
5.600000000000000533e+00,-1.224192806216634202e-06,5.382442316052041820e-01,5.382454557980104193e-01
5.650000000000000355e+00,-1.168842990998705019e-06,5.437254586698693215e-01,5.437266275128602722e-01
5.700000000000000178e+00,-1.113493175780775836e-06,5.492066857345345721e-01,5.492077992277103471e-01
5.750000000000000000e+00,-1.058143360562846654e-06,5.546879127991997116e-01,5.546889709425603110e-01
5.800000000000000711e+00,-1.002793545344916624e-06,5.601691398638650732e-01,5.601701426574103859e-01
5.850000000000000533e+00,-9.474437301269874410e-07,5.656503669285302127e-01,5.656513143722603498e-01
5.900000000000000355e+00,-8.920939149090582582e-07,5.711315939931953523e-01,5.711324860871103137e-01
