time_from_pulse_us,comsol_current_drop_uA,amgx_current_drop_uA,amgx_minus_comsol_uA
0.000000000000000000e+00,-1.053404105277877534e-06,-4.466454061575467942e-04,-4.455920020522689167e-04
5.000000000000000278e-02,-1.057006567795757385e-06,-4.348334859456907259e-04,-4.337764793778949935e-04
1.000000000000000056e-01,-1.060607375471430824e-06,-4.219427102379305541e-04,-4.208821028624591372e-04
1.500000000000000222e-01,-1.064208128351695872e-06,-4.080723425383208877e-04,-4.070081344099692015e-04
2.000000000000000111e-01,-1.067809251751631375e-06,-3.941885522927659515e-04,-3.931207430410143004e-04
2.500000000000000000e-01,-1.071410826392058638e-06,-3.802760356414346034e-04,-3.792046248150425427e-04
3.000000000000000444e-01,-1.075012726282878807e-06,-3.663629327369126768e-04,-3.652879200106298003e-04
3.500000000000000333e-01,-1.078614959358006612e-06,-3.524612431993492077e-04,-3.513826282399911891e-04
4.000000000000000222e-01,-1.082217353500839721e-06,-3.385597865876464126e-04,-3.374775692341455864e-04
4.500000000000000111e-01,-1.085820107351105568e-06,-3.249727072195703189e-04,-3.238868871122191958e-04
5.000000000000000000e-01,-1.089422985490416141e-06,-3.113920437137262858e-04,-3.103026207282358860e-04
5.500000000000000444e-01,-1.093025998037537353e-06,-2.982059783240607149e-04,-2.971129523260231998e-04
6.000000000000000888e-01,-1.096629043701091516e-06,-2.850279659573166100e-04,-2.839313369136155121e-04
6.500000000000000222e-01,-1.100232214861516189e-06,-2.722086498934056043e-04,-2.711084176785440885e-04
7.000000000000000666e-01,-1.103835419833457943e-06,-2.593966541623303783e-04,-2.582928187424968951e-04
7.500000000000000000e-01,-1.107438689901407411e-06,-2.468578833520416451e-04,-2.457504446621402625e-04
8.000000000000000444e-01,-1.111041987804255437e-06,-2.343246885606362171e-04,-2.332136465728319686e-04
8.500000000000000888e-01,-1.114645293564019087e-06,-2.221127876078117644e-04,-2.209981423142477351e-04
9.000000000000000222e-01,-1.118248647807873251e-06,-2.099074436722052383e-04,-2.087891950243973707e-04
9.500000000000000666e-01,-1.121852028076816202e-06,-1.980078030107576233e-04,-1.968859509826808099e-04
1.000000000000000000e+00,-1.125455365935597907e-06,-1.861144011917349717e-04,-1.849889458257993795e-04
1.050000000000000044e+00,-1.129058730264263399e-06,-1.762275343299896969e-04,-1.750984755997254244e-04
1.100000000000000089e+00,-1.132662137589624454e-06,-1.663816171618497878e-04,-1.652489550242601686e-04
1.150000000000000133e+00,-1.136265520170745217e-06,-1.565356999937098786e-04,-1.553994344735391440e-04
1.200000000000000178e+00,-1.139868879096572091e-06,-1.466897828255699695e-04,-1.455499139464734050e-04
1.250000000000000000e+00,-1.143472236070461090e-06,-1.368438656574300874e-04,-1.357003934213596365e-04
1.300000000000000044e+00,-1.147075584031345666e-06,-1.269979484892901783e-04,-1.258508729052588407e-04
1.350000000000000089e+00,-1.150678928201675216e-06,-1.171520313211502556e-04,-1.160013523929485783e-04
1.400000000000000133e+00,-1.154282272372004767e-06,-1.073061141530103464e-04,-1.061518318806383429e-04
1.450000000000000178e+00,-1.157885616542334529e-06,-9.746019698487043729e-05,-9.630231136832810763e-05
1.500000000000000000e+00,-1.161488960712664080e-06,-8.761427981673055524e-05,-8.645279085601788587e-05
1.550000000000000044e+00,-1.165092304882993631e-06,-7.776836264859064609e-05,-7.660327034370765056e-05
1.600000000000000089e+00,-1.168695647914856055e-06,-6.792244548045072339e-05,-6.675374983253586818e-05
1.650000000000000133e+00,-1.172298966478066709e-06,-5.807652831231081424e-05,-5.690422934583274668e-05
1.700000000000000178e+00,-1.175902285041277151e-06,-4.823061114417090509e-05,-4.705470885912962518e-05
1.750000000000000000e+00,-1.179505624720892973e-06,-3.838469397603102304e-05,-3.720518835131012816e-05
1.800000000000000044e+00,-1.183108968891222523e-06,-2.853877680789111389e-05,-2.735566783899989285e-05
1.850000000000000089e+00,-1.186712274343490555e-06,-1.869285963975120474e-05,-1.750614736540771313e-05
1.900000000000000133e+00,-1.190315554496022440e-06,-8.846942471611268484e-06,-7.656626917115245409e-06
1.950000000000000178e+00,-1.193918810003444629e-06,9.989746965286406665e-07,2.192893506532085507e-06
2.000000000000000000e+00,-1.197522026138178850e-06,1.084489186466849561e-05,1.204241389080667382e-05
2.050000000000000266e+00,-1.201125242272913071e-06,1.923215019711021671e-05,2.043327543938312999e-05
2.100000000000000089e+00,-1.204728458407647292e-06,2.758963998141821845e-05,2.879436843982586511e-05
2.149999999999999911e+00,-1.208331674542381512e-06,3.594712976572621342e-05,3.715546144026859684e-05
2.200000000000000178e+00,-1.211934866470314246e-06,4.430461955003428971e-05,4.551655441650460417e-05
2.250000000000000000e+00,-1.215538056997929570e-06,5.266210933434228468e-05,5.387764739134021531e-05
2.300000000000000266e+00,-1.219141247525544683e-06,6.101959911865035419e-05,6.223874036617590099e-05
