time_from_pulse_us,comsol_current_drop_uA,amgx_current_drop_uA,amgx_minus_comsol_uA
0.000000000000000000e+00,-1.053404105277877534e-06,6.690553959738629996e-06,7.743958065016508376e-06
5.000000000000000278e-02,-1.057006567795757385e-06,4.572382198240978329e-02,4.572487898897757697e-02
1.000000000000000056e-01,-1.060607375471430824e-06,1.830403826470048401e-01,1.830414432543803205e-01
1.500000000000000222e-01,-1.064208128351695872e-06,4.676609695767808828e-01,4.676620337849092257e-01
2.000000000000000111e-01,-1.067809251751631375e-06,7.547630047292668287e-01,7.547640725385186267e-01
2.500000000000000000e-01,-1.071410826392058638e-06,1.044251674854927980e+00,1.044252746265754261e+00
3.000000000000000444e-01,-1.075012726282878807e-06,1.333789051817726445e+00,1.333790126830452838e+00
3.500000000000000333e-01,-1.078614959358006612e-06,1.525916421189730920e+00,1.525917499804690269e+00
4.000000000000000222e-01,-1.082217353500839721e-06,1.716055831185602454e+00,1.716056913402955963e+00
4.500000000000000111e-01,-1.085820107351105568e-06,1.822543038802347581e+00,1.822544124622454964e+00
5.000000000000000000e-01,-1.089422985490416141e-06,1.927323058584228921e+00,1.927324148007214522e+00
5.500000000000000444e-01,-1.093025998037537353e-06,1.936355615968975208e+00,1.936356708994973141e+00
6.000000000000000888e-01,-1.096629043701091516e-06,1.943434143474345399e+00,1.943435240103389194e+00
6.500000000000000222e-01,-1.100232214861516189e-06,1.949046108572173086e+00,1.949047208804387976e+00
7.000000000000000666e-01,-1.103835419833457943e-06,1.954628143824437947e+00,1.954629247659857683e+00
7.500000000000000000e-01,-1.107438689901407411e-06,1.924799513134397566e+00,1.924800620573087429e+00
8.000000000000000444e-01,-1.111041987804255437e-06,1.894248215780576672e+00,1.894249326822564417e+00
8.500000000000000888e-01,-1.114645293564019087e-06,1.832576321849934464e+00,1.832577436495228085e+00
9.000000000000000222e-01,-1.118248647807873251e-06,1.770269313693368263e+00,1.770270431942016165e+00
9.500000000000000666e-01,-1.121852028076816202e-06,1.716322568367359525e+00,1.716323690219387688e+00
1.000000000000000000e+00,-1.125455365935597907e-06,1.662546440652739710e+00,1.662547566108105723e+00
1.050000000000000044e+00,-1.129058730264263399e-06,1.619184974612345895e+00,1.619186103671076182e+00
1.100000000000000089e+00,-1.132662137589624454e-06,1.576036052690865219e+00,1.576037185353002856e+00
1.150000000000000133e+00,-1.136265520170745217e-06,1.532887130769384765e+00,1.532888267034904883e+00
1.200000000000000178e+00,-1.139868879096572091e-06,1.489738208847904088e+00,1.489739348716783152e+00
1.250000000000000000e+00,-1.143472236070461090e-06,1.446589286926423856e+00,1.446590430398659866e+00
1.300000000000000044e+00,-1.147075584031345666e-06,1.403440365004943180e+00,1.403441512080527254e+00
1.350000000000000089e+00,-1.150678928201675216e-06,1.360291443083462504e+00,1.360292593762390645e+00
1.400000000000000133e+00,-1.154282272372004767e-06,1.317142521161982049e+00,1.317143675444254480e+00
1.450000000000000178e+00,-1.157885616542334529e-06,1.273993599240501373e+00,1.273994757126117872e+00
1.500000000000000000e+00,-1.161488960712664080e-06,1.230844677319020919e+00,1.230845838807981707e+00
1.550000000000000044e+00,-1.165092304882993631e-06,1.187695755397540243e+00,1.187696920489845098e+00
1.600000000000000089e+00,-1.168695647914856055e-06,1.144546833476059788e+00,1.144548002171707601e+00
