time_from_pulse_us,comsol_current_drop_uA,amgx_current_drop_uA,amgx_minus_comsol_uA
0.000000000000000000e+00,-1.053404105277877534e-06,5.702765824911350647e-04,5.713299865964129422e-04
5.000000000000000278e-02,-1.057006567795757385e-06,4.601835139731509650e-03,4.602892146299305057e-03
1.000000000000000056e-01,-1.060607375471430824e-06,2.721899585575473374e-02,2.722005646313020374e-02
1.500000000000000222e-01,-1.064208128351695872e-06,4.225598302368915871e-01,4.225608944450199300e-01
2.000000000000000111e-01,-1.067809251751631375e-06,8.252269807266717772e-01,8.252280485359235751e-01
2.500000000000000000e-01,-1.071410826392058638e-06,1.477127429910959133e+00,1.477128501321785414e+00
3.000000000000000444e-01,-1.075012726282878807e-06,2.134114273045301324e+00,2.134115348058027717e+00
3.500000000000000333e-01,-1.078614959358006612e-06,2.872257036374409545e+00,2.872258114989369115e+00
4.000000000000000222e-01,-1.082217353500839721e-06,3.612056043004078454e+00,3.612057125221431964e+00
4.500000000000000111e-01,-1.085820107351105568e-06,4.323842910131644679e+00,4.323843995951752284e+00
5.000000000000000000e-01,-1.089422985490416141e-06,5.035058100932390701e+00,5.035059190355376302e+00
5.500000000000000444e-01,-1.093025998037537353e-06,5.665576262532008300e+00,5.665577355558006012e+00
6.000000000000000888e-01,-1.096629043701091516e-06,6.294447545955555334e+00,6.294448642584598907e+00
6.500000000000000222e-01,-1.100232214861516189e-06,6.825770000677482408e+00,6.825771100909697076e+00
7.000000000000000666e-01,-1.103835419833457943e-06,7.355101662942948870e+00,7.355102766778368384e+00
7.500000000000000000e-01,-1.107438689901407411e-06,7.785386365492359850e+00,7.785387472931049935e+00
8.000000000000000444e-01,-1.111041987804255437e-06,8.213649701483676679e+00,8.213650812525663980e+00
8.500000000000000888e-01,-1.114645293564019087e-06,8.556531262740689314e+00,8.556532377385982713e+00
9.000000000000000222e-01,-1.118248647807873251e-06,8.897670338771410670e+00,8.897671457020058128e+00
9.500000000000000666e-01,-1.121852028076816202e-06,9.170513470349890284e+00,9.170514592201918447e+00
1.000000000000000000e+00,-1.125455365935597907e-06,9.441962807122372681e+00,9.441963932577738916e+00
1.050000000000000044e+00,-1.129058730264263399e-06,9.512912124098924949e+00,9.512913253157655902e+00
1.100000000000000089e+00,-1.132662137589624454e-06,9.579769603876862050e+00,9.579770736539000353e+00
1.150000000000000133e+00,-1.136265520170745217e-06,9.646627083654799151e+00,9.646628219920319935e+00
1.200000000000000178e+00,-1.139868879096572091e-06,9.713484563432736252e+00,9.713485703301614649e+00
1.250000000000000000e+00,-1.143472236070461090e-06,9.780342043210673353e+00,9.780343186682909362e+00
1.300000000000000044e+00,-1.147075584031345666e-06,9.847199522988610454e+00,9.847200670064195194e+00
1.350000000000000089e+00,-1.150678928201675216e-06,9.914057002766547555e+00,9.914058153445475696e+00
1.400000000000000133e+00,-1.154282272372004767e-06,9.980914482544484656e+00,9.980915636826756199e+00
1.450000000000000178e+00,-1.157885616542334529e-06,1.004777196232242176e+01,1.004777312020803848e+01
1.500000000000000000e+00,-1.161488960712664080e-06,1.011462944210035708e+01,1.011463060358931720e+01
1.550000000000000044e+00,-1.165092304882993631e-06,1.018148692187829418e+01,1.018148808697059948e+01
1.600000000000000089e+00,-1.168695647914856055e-06,1.024834440165623128e+01,1.024834557035187999e+01
1.650000000000000133e+00,-1.172298966478066709e-06,1.031520188143416838e+01,1.031520305373313562e+01
1.700000000000000178e+00,-1.175902285041277151e-06,1.038205936121210549e+01,1.038206053711439125e+01
1.750000000000000000e+00,-1.179505624720892973e-06,1.044891684099004259e+01,1.044891802049566643e+01
