time_from_pulse_us,comsol_current_drop_uA,amgx_current_drop_uA,amgx_minus_comsol_uA
0.000000000000000000e+00,-1.053404105277877534e-06,-1.835630375249740448e-04,-1.825096334196961672e-04
5.000000000000000278e-02,-1.057006567795757385e-06,-1.737030523178090952e-02,-1.736924822521311237e-02
1.000000000000000056e-01,-1.060607375471430824e-06,-8.568318311900618989e-02,-8.568212251163072335e-02
1.500000000000000222e-01,-1.064208128351695872e-06,-1.405271255902527106e-01,-1.405260613821243676e-01
2.000000000000000111e-01,-1.067809251751631375e-06,-1.948796911085205752e-01,-1.948786232992688328e-01
2.500000000000000000e-01,-1.071410826392058638e-06,-2.418064684039025192e-01,-2.418053969930761271e-01
3.000000000000000444e-01,-1.075012726282878807e-06,-2.885816989979042568e-01,-2.885806239851779753e-01
3.500000000000000333e-01,-1.078614959358006612e-06,-3.217921811780600772e-01,-3.217911025631007282e-01
4.000000000000000222e-01,-1.082217353500839721e-06,-3.547258317527049454e-01,-3.547247495353514357e-01
4.500000000000000111e-01,-1.085820107351105568e-06,-3.820455969116798856e-01,-3.820445110915725584e-01
5.000000000000000000e-01,-1.089422985490416141e-06,-4.092507929784447995e-01,-4.092497035554593099e-01
5.500000000000000444e-01,-1.093025998037537353e-06,-4.304068746017356006e-01,-4.304057815757375560e-01
6.000000000000000888e-01,-1.096629043701091516e-06,-4.514395049076715960e-01,-4.514384082786279118e-01
6.500000000000000222e-01,-1.100232214861516189e-06,-4.683309390380163695e-01,-4.683298388058015349e-01
7.000000000000000666e-01,-1.103835419833457943e-06,-4.851378589592535429e-01,-4.851367551238336961e-01
7.500000000000000000e-01,-1.107438689901407411e-06,-4.987318165453597518e-01,-4.987307091066698339e-01
8.000000000000000444e-01,-1.111041987804255437e-06,-5.122602034704858420e-01,-5.122590924284979863e-01
8.500000000000000888e-01,-1.114645293564019087e-06,-5.233353397918814043e-01,-5.233342251465878947e-01
9.000000000000000222e-01,-1.118248647807873251e-06,-5.343604097736313063e-01,-5.343592915249835151e-01
9.500000000000000666e-01,-1.121852028076816202e-06,-5.438789179182729194e-01,-5.438777960662448674e-01
1.000000000000000000e+00,-1.125455365935597907e-06,-5.533666799025045435e-01,-5.533655544471386412e-01
1.050000000000000044e+00,-1.129058730264263399e-06,-5.630802225577880016e-01,-5.630790934990577146e-01
1.100000000000000089e+00,-1.132662137589624454e-06,-5.727983729819358105e-01,-5.727972403197981732e-01
1.150000000000000133e+00,-1.136265520170745217e-06,-5.825165234060836195e-01,-5.825153871405635009e-01
1.200000000000000178e+00,-1.139868879096572091e-06,-5.922346738302315394e-01,-5.922335339613524763e-01
1.250000000000000000e+00,-1.143472236070461090e-06,-6.019528242543793484e-01,-6.019516807821432280e-01
1.300000000000000044e+00,-1.147075584031345666e-06,-6.116709746785271573e-01,-6.116698276029430836e-01
1.350000000000000089e+00,-1.150678928201675216e-06,-6.213891251026749663e-01,-6.213879744237467140e-01
1.400000000000000133e+00,-1.154282272372004767e-06,-6.311072755268228862e-01,-6.311061212445505664e-01
1.450000000000000178e+00,-1.157885616542334529e-06,-6.408254259509706952e-01,-6.408242680653541967e-01
1.500000000000000000e+00,-1.161488960712664080e-06,-6.505435763751185041e-01,-6.505424148861578271e-01
1.550000000000000044e+00,-1.165092304882993631e-06,-6.602617267992663130e-01,-6.602605617069614574e-01
1.600000000000000089e+00,-1.168695647914856055e-06,-6.699798772234142330e-01,-6.699787085277663090e-01
1.650000000000000133e+00,-1.172298966478066709e-06,-6.796980276475620419e-01,-6.796968553485955855e-01
1.700000000000000178e+00,-1.175902285041277151e-06,-6.894161780717098509e-01,-6.894150021694248620e-01
1.750000000000000000e+00,-1.179505624720892973e-06,-6.991343284958576598e-01,-6.991331489902329333e-01
1.800000000000000044e+00,-1.183108968891222523e-06,-7.088524789200055798e-01,-7.088512958110366746e-01
1.850000000000000089e+00,-1.186712274343490555e-06,-7.185706293441533887e-01,-7.185694426318790518e-01
1.900000000000000133e+00,-1.190315554496022440e-06,-7.282887797683011977e-01,-7.282875894527467420e-01
1.950000000000000178e+00,-1.193918810003444629e-06,-7.380069301924491176e-01,-7.380057362736390791e-01
2.000000000000000000e+00,-1.197522026138178850e-06,-7.477250806165969266e-01,-7.477238830945708292e-01
2.050000000000000266e+00,-1.201125242272913071e-06,-7.542146269278419135e-01,-7.542134258025996463e-01
2.100000000000000089e+00,-1.204728458407647292e-06,-7.606382833581996072e-01,-7.606370786297411701e-01
2.149999999999999911e+00,-1.208331674542381512e-06,-7.670619397885573010e-01,-7.670607314568828050e-01
2.200000000000000178e+00,-1.211934866470314246e-06,-7.734855962189151057e-01,-7.734843842840486428e-01
2.250000000000000000e+00,-1.215538056997929570e-06,-7.799092526492726885e-01,-7.799080371112157017e-01
2.300000000000000266e+00,-1.219141247525544683e-06,-7.863329090796304932e-01,-7.863316899383829828e-01
2.350000000000000089e+00,-1.222744438053159795e-06,-7.927565655099881869e-01,-7.927553427655501528e-01
2.400000000000000355e+00,-1.226347560601464711e-06,-7.991802219403458807e-01,-7.991789955927852684e-01
2.450000000000000178e+00,-1.229950616691704558e-06,-8.056038783707035744e-01,-8.056026484200868865e-01
2.500000000000000000e+00,-1.233553672781944617e-06,-8.120275348010612682e-01,-8.120263012473885045e-01
2.550000000000000266e+00,-1.237156728872184887e-06,-8.184511912314190729e-01,-8.184499540746902335e-01
2.600000000000000089e+00,-1.240759782849826519e-06,-8.248748476617766556e-01,-8.248736069019938499e-01
2.650000000000000355e+00,-1.244362806931167745e-06,-8.312985040921344604e-01,-8.312972597293275534e-01
2.700000000000000178e+00,-1.247965831012508971e-06,-8.377221605224921541e-01,-8.377209125566611458e-01
2.750000000000000000e+00,-1.251568855093850197e-06,-8.441458169528498479e-01,-8.441445653839947383e-01
2.800000000000000266e+00,-1.255171879175191423e-06,-8.505694733832075416e-01,-8.505682182113283307e-01
2.850000000000000089e+00,-1.258774839101187633e-06,-8.569931298135652353e-01,-8.569918710387260941e-01
2.900000000000000355e+00,-1.262377760754052638e-06,-8.634167862439230401e-01,-8.634155238661622711e-01
2.950000000000000178e+00,-1.265980682406917642e-06,-8.698404426742807338e-01,-8.698391766935983371e-01
3.000000000000000000e+00,-1.269583604059782647e-06,-8.762640991046384276e-01,-8.762628295210344032e-01
3.050000000000000266e+00,-1.273186028543274093e-06,-8.799421780637395329e-01,-8.799409048777110387e-01
3.100000000000000089e+00,-1.276786287055784019e-06,-8.835642248286148526e-01,-8.835629480423278226e-01
3.150000000000000355e+00,-1.280386545568294157e-06,-8.871862715934901722e-01,-8.871849912069446065e-01
3.200000000000000178e+00,-1.283986804080804083e-06,-8.908083183583653808e-01,-8.908070343715612793e-01
3.250000000000000000e+00,-1.287587062593314009e-06,-8.944303651232407004e-01,-8.944290775361780632e-01
3.300000000000000266e+00,-1.291187321105824147e-06,-8.980524118881160200e-01,-8.980511207007949581e-01
3.350000000000000089e+00,-1.294787579618334073e-06,-9.016744586529913397e-01,-9.016731638654117420e-01
3.400000000000000355e+00,-1.298387838130844211e-06,-9.052965054178666593e-01,-9.052952070300285259e-01
3.450000000000000178e+00,-1.301988096643354137e-06,-9.089185521827418679e-01,-9.089172501946451987e-01
3.500000000000000000e+00,-1.305586555104399223e-06,-9.125405989476171875e-01,-9.125392933610620982e-01
3.550000000000000266e+00,-1.309180957323191514e-06,-9.161626457124925071e-01,-9.161613365315351976e-01
3.600000000000000089e+00,-1.312775359541983805e-06,-9.197846924773678268e-01,-9.197833797020082969e-01
3.650000000000000355e+00,-1.316369761760776096e-06,-9.234067392422431464e-01,-9.234054228724813962e-01
3.700000000000000178e+00,-1.319964163979568387e-06,-9.270287860071183550e-01,-9.270274660429543845e-01
3.750000000000000000e+00,-1.323556507503890381e-06,-9.306508327719936746e-01,-9.306495092154861704e-01
3.800000000000000266e+00,-1.327137514195135525e-06,-9.342728795368689942e-01,-9.342715523993547766e-01
3.850000000000000089e+00,-1.330718520886380459e-06,-9.378949263017442028e-01,-9.378935955832232718e-01
3.900000000000000355e+00,-1.334299527577625603e-06,-9.415169730666195225e-01,-9.415156387670919891e-01
3.950000000000000178e+00,-1.337880534268870748e-06,-9.451390198314948421e-01,-9.451376819509605953e-01
4.000000000000000000e+00,-1.341461540960115681e-06,-9.487610665963701617e-01,-9.487597251348292016e-01
4.049999999999999822e+00,-1.344863227365761684e-06,-9.510123204585341217e-01,-9.510109755953067845e-01
4.100000000000000533e+00,-1.348264913771405569e-06,-9.532355989548413344e-01,-9.532342506899275092e-01
4.150000000000000355e+00,-1.351666600177049455e-06,-9.554588774511485472e-01,-9.554575257845483449e-01
4.200000000000000178e+00,-1.355068286582693552e-06,-9.576821559474557599e-01,-9.576808008791691806e-01
4.250000000000000000e+00,-1.358469972988337437e-06,-9.599054344437629727e-01,-9.599040759737900164e-01
4.299999999999999822e+00,-1.361871659393981322e-06,-9.621287129400701854e-01,-9.621273510684107411e-01
4.350000000000000533e+00,-1.365273345799625420e-06,-9.643519914363773982e-01,-9.643506261630315768e-01
4.400000000000000355e+00,-1.368675032205269305e-06,-9.665752699326846109e-01,-9.665739012576524125e-01
4.450000000000000178e+00,-1.372076718610913190e-06,-9.687985484289918237e-01,-9.687971763522732482e-01
4.500000000000000000e+00,-1.375478405016557287e-06,-9.710218269252990364e-01,-9.710204514468939729e-01
4.549999999999999822e+00,-1.378486712096343951e-06,-9.732451054216062492e-01,-9.732437269348941378e-01
4.600000000000000533e+00,-1.381320447987382247e-06,-9.754683839179134619e-01,-9.754670025974654379e-01
4.650000000000000355e+00,-1.384154183878420332e-06,-9.776916624142206746e-01,-9.776902782600368491e-01
4.700000000000000178e+00,-1.386987919769458628e-06,-9.799149409105278874e-01,-9.799135539226081493e-01
