time_from_pulse_us,comsol_current_drop_uA,mpi_current_drop_uA,mpi_minus_comsol_uA
-20.0,nan,nan,nan
-19.75,3.7125738652666476e-07,-3.480155685255663e-05,-3.517281423908329e-05
-19.5,3.532082125699655e-07,-6.536652218749135e-06,-6.889860431319101e-06
-19.25,3.351594114986417e-07,2.005936664235797e-05,1.9724207230859327e-05
-19.0,3.171109833242546e-07,4.494493863097414e-05,4.462782764764989e-05
-18.75,2.9906292805836556e-07,6.807850264730885e-05,6.777943971925048e-05
-18.5,2.810152457125357e-07,8.94184975915715e-05,8.913748234585897e-05
-18.25,2.6296793629832634e-07,0.00010892336236397162,0.0001086603944276733
-18.0,2.4492099982729864e-07,0.00012655153586471865,0.00012630661486489136
-17.75,2.2687443631101392e-07,0.000142261456994022,0.00014203458255771098
-17.5,2.0882824576103336e-07,0.00015601156465209118,0.00015580273640633014
-17.25,1.907824281889183e-07,0.0001677602977391356,0.00016756951531094667
-17.0,1.7273698360622986e-07,0.00017746609515536485,0.00017729335817175863
-16.75,1.5469191202452938e-07,0.0001850873958009882,0.00018493270388896365
-16.5,1.3664721345537804e-07,0.00019058263857621522,0.00019044599136275984
-16.25,1.1860288791033711e-07,0.00019391026238125533,0.000193791659493345
-16.0,1.0055893540096784e-07,0.00019502870611631806,0.00019492814718091709
-15.75,8.251535172598658e-08,0.0001928182068050647,0.0001927356914533387
-15.5,6.447213377464951e-08,0.00018656474021070752,0.00018650026807693286
-15.25,4.6429283194327946e-08,0.00017683535334323444,0.00017678892406004012
-15.0,2.8386801632393138e-08,0.0001641970932126334,0.000164168706411001
-14.75,1.0344690736216338e-08,0.00014921700682889231,0.0001492066621381561
-14.5,-7.697047846831207e-09,0.00013246214120199917,0.000132469838249846
-14.25,-2.5738412469378246e-08,0.00011449954334194189,0.00011452528175441127
-14.0,-4.377940148405352e-08,9.58962602587084e-05,9.594003966019245e-05
-13.75,-6.182001324348578e-08,7.721933896228663e-05,7.728115897553012e-05
-13.5,-7.986024610030378e-08,5.903582646266452e-05,5.911568670876482e-05
-13.25,-9.790009840713627e-08,4.191276976983003e-05,4.2010669868237166e-05
-13.0,-1.1593956851661198e-07,2.6417215893771137e-05,2.653315546228775e-05
-12.75,-1.3397865478135968e-07,1.311621184447572e-05,1.3250190499257079e-05
-12.5,-1.5201735555400814e-07,2.576804631931678e-06,2.728821987485686e-06
-12.25,-1.7005566918718604e-07,-4.633958733872979e-06,-4.463903064685793e-06
-12.0,-1.8809359403352218e-07,-7.949031242950326e-06,-7.760937648916805e-06
-11.75,-2.0613122336070572e-07,-9.082082618669607e-06,-8.875951395308901e-06
-11.5,-2.2416862748589195e-07,-1.0127516314970148e-05,-9.903347687484257e-06
-11.25,-2.4220577033590887e-07,-1.1089385916998282e-05,-1.0847180146662373e-05
-11.0,-2.6024261583758447e-07,-1.1971745009900225e-05,-1.1711502394062641e-05
-10.75,-2.7827912791774663e-07,-1.2778647178822194e-05,-1.2500368050904448e-05
-10.5,-2.963152705032234e-07,-1.351414600891041e-05,-1.3217830738407187e-05
-10.25,-3.1435100752084263e-07,-1.418229508531109e-05,-1.3867944077790247e-05
-10.0,-3.323863028974323e-07,-1.4787147993170444e-05,-1.4454761690273011e-05
-9.75,-3.5042112055982056e-07,-1.5332758317634704e-05,-1.4982337197074883e-05
-9.5,-3.6845542443483514e-07,-1.582317964385007e-05,-1.5454724219415234e-05
-9.25,-3.864891784493042e-07,-1.6262465556962777e-05,-1.5875976378513474e-05
-9.0,-4.045223465300555e-07,-1.665466964211903e-05,-1.6250147295588977e-05
-8.75,-4.2255489260391717e-07,-1.7003845484465056e-05,-1.6581290591861137e-05
-8.5,-4.405867805977171e-07,-1.7314046669147063e-05,-1.6873459888549347e-05
-8.25,-4.5861797443828324e-07,-1.758932678131128e-05,-1.7130708806872998e-05
-8.0,-4.766484380524436e-07,-1.7833739406103914e-05,-1.735709096805147e-05
-7.75,-4.946780246072127e-07,-1.804668467577316e-05,-1.7552006651165947e-05
-7.5,-5.127066681485744e-07,-1.822801665050209e-05,-1.7715309982353516e-05
-7.25,-5.307344539218096e-07,-1.838246980734058e-05,-1.785173535341877e-05
-7.0,-5.487614671721995e-07,-1.8514778623338506e-05,-1.7966017156166306e-05
-6.75,-5.667877931450252e-07,-1.8629677575545738e-05,-1.806288978240071e-05
-6.5,-5.84813517085568e-07,-1.8731901141012153e-05,-1.8147087623926585e-05
-6.25,-6.028387242391088e-07,-1.8826183796787623e-05,-1.8223345072548516e-05
-6.0,-6.20863499850929e-07,-1.8917260019922025e-05,-1.8296396520071096e-05
-5.75,-6.388879291663097e-07,-1.9009864287465232e-05,-1.8370976358298923e-05
-5.5,-6.569120974305321e-07,-1.9108731076467113e-05,-1.8451818979036582e-05
-5.25,-6.749360898888772e-07,-1.921859486397755e-05,-1.8543658774088674e-05
-5.0,-6.929599917866263e-07,-1.9344190127046414e-05,-1.865123013525979e-05
-4.75,-7.109838883690604e-07,-1.9490251342723572e-05,-1.8779267454354512e-05
-4.5,-7.290078648814607e-07,-1.9661512988058906e-05,-1.8932505123177445e-05
-4.25,-7.470320065691085e-07,-1.9862709540102285e-05,-1.9115677533533176e-05
-4.0,-7.650563986772849e-07,-2.0098575475903594e-05,-1.933351907722631e-05
-3.75,-7.830808487946544e-07,-2.0498247602521158e-05,-1.9715166753726502e-05
-3.5,-8.011050236741901e-07,-2.109154583145038e-05,-2.029044080777619e-05
-3.25,-8.191287973076363e-07,-2.173422929636335e-05,-2.091510049905571e-05
-3.0,-8.371520436867367e-07,-2.2282057130932138e-05,-2.1444905087245402e-05
-2.75,-8.55174691754992e-07,-2.276427361761999e-05,-2.1909098925864997e-05
-2.5,-8.731968407370053e-07,-2.3272488582987067e-05,-2.2399291742250062e-05
-2.25,-8.912186200461749e-07,-2.3756009476810877e-05,-2.2864790856764703e-05
-2.0,-9.092401590958988e-07,-2.416414374886893e-05,-2.325490358977303e-05
-1.75,-9.272615872995754e-07,-2.4446198848938742e-05,-2.3518937261639167e-05
-1.5,-9.452830340706028e-07,-2.4551482226797813e-05,-2.360619919272721e-05
-1.25,-9.633044652464808e-07,-2.3446172672785977e-05,-2.2482868207539498e-05
-1.0,-9.813251761906462e-07,-2.081104929828978e-05,-1.9829724122099132e-05
-0.75,-9.993451436720898e-07,-1.7667320035051464e-05,-1.6667974891379373e-05
-0.5,-1.017365004794117e-06,-1.5036192814813293e-05,-1.4018827810019175e-05
-0.25,-1.0353846930869474e-06,-1.3632696197502726e-05,-1.259731150441578e-05
0.0,-1.0534041052778775e-06,-1.2815365845633093e-05,-1.1761961740355216e-05
0.05,-1.057006566526649e-06,-1.2670979264768583e-05,-1.1613972698241935e-05
0.1,-1.0606073754714516e-06,-1.2523046393929455e-05,-1.1462439018458004e-05
0.15000000000000002,-1.0642081273392524e-06,-1.2367321753196676e-05,-1.1303113625857423e-05
0.2,-1.0678092527478823e-06,-1.21995598626512e-05,-1.1131750609903318e-05
0.25,-1.0714108253090163e-06,-1.2015515242373999e-05,-1.0944104417064983e-05
0.30000000000000004,-1.0750127219045183e-06,-1.1810942412446031e-05,-1.0735929690541512e-05
0.35000000000000003,-1.0786149615624653e-06,-1.158159589294826e-05,-1.0502980931385793e-05
0.4,-1.0822173450765228e-06,-1.1323230203961647e-05,-1.0241012858885124e-05
0.45,-1.0858201024088174e-06,-1.1031599865567155e-05,-9.945779763158337e-06
0.5,-1.0894229798098397e-06,-1.0702459397845743e-05,-9.613036418035904e-06
0.55,-1.0930260041617753e-06,-1.0331563320878381e-05,-9.238537316716606e-06
0.6000000000000001,-1.0966290446868373e-06,-9.69183650259542e-06,-8.595207457908582e-06
0.65,-1.10023221685164e-06,0.0004248887154004299,0.00042598894761728155
0.7000000000000001,-1.1038354168134973e-06,0.0016521967717762788,0.0016533006071930924
0.75,-1.1074386860986333e-06,0.0036172297383609392,0.0036183371770470377
0.8,-1.1110419865530292e-06,0.0062649850208904125,0.006266096062876965
0.8500000000000001,-1.1146452861156658e-06,0.009540460025100691,0.009541574670386807
0.9,-1.1182486442808037e-06,0.013388652156727757,0.013389770405372037
0.9500000000000001,-1.1218520333665024e-06,0.017754558821507616,0.017755680673540983
1.0,-1.1254553628590779e-06,0.022583177425176248,0.022584302880539107
1.05,-1.1290587276840043e-06,0.027819505373469666,0.02782063443219735
1.1,-1.1326621380064093e-06,0.03340854007212385,0.033409672734261854
1.1500000000000001,-1.1362655209856494e-06,0.039295278926874795,0.03929641519239578
1.2000000000000002,-1.1398688850133636e-06,0.0454247193434585,0.04542585921234352
1.25,-1.143472237980847e-06,0.05174185872761093,0.05174300219984891
1.3,-1.1470755861329625e-06,0.05819169448506811,0.05819284156065425
1.35,-1.1506789287908391e-06,0.06471922402156605,0.06472037470049484
1.4000000000000001,-1.1542822723720202e-06,0.0712694447428407,0.07127059902511308
1.4500000000000002,-1.157885616542425e-06,0.07778735405462806,0.0777885119402446
1.5,-1.1614889610676846e-06,0.08421794936266414,0.0842191108516252
1.55,-1.165092308851605e-06,0.09050622807268494,0.09050739316499379
1.6,-1.1686956484503244e-06,0.09659718759042639,0.09659835628607484
1.6500000000000001,-1.1722989668956745e-06,0.10243582532162461,0.10243699762059151
1.7000000000000002,-1.1759022833001569e-06,0.10796713867201545,0.10796831457429874
1.75,-1.179505626713071e-06,0.11330595180589599,0.1133071313115227
1.8,-1.1831089766974854e-06,0.11874419714188937,0.11874538025086606
1.85,-1.1867122880016167e-06,0.12427931029481905,0.12428049700710705
1.9000000000000001,-1.190315567584948e-06,0.12990127684738462,0.1299024671629522
1.9500000000000002,-1.193918821813984e-06,0.13560008238228566,0.13560127630110747
2.0,-1.1975220532628521e-06,0.14136571248222177,0.14136691000427504
2.0500000000000003,-1.2011252680324977e-06,0.14718815272989264,0.14718935385516066
2.1,-1.2047284730516706e-06,0.15305738870799773,0.1530585934364708
2.15,-1.2083316752491217e-06,0.1589634059992367,0.15896461433091194
2.2,-1.2119348846174634e-06,0.1648961901863092,0.1648974021211938
2.25,-1.2155380970510245e-06,0.1708457268519147,0.17084694239001175
2.3000000000000003,-1.2191412960071144e-06,0.17680200157875292,0.17680322072004892
2.35,-1.2227444649210794e-06,0.1827549999495234,0.18275622269398833
2.4000000000000004,-1.2263475881057858e-06,0.1886947075469258,0.18869593389451392
2.45,-1.229950666293242e-06,0.19461110995365957,0.19461233990432586
2.5,-1.2335537146020113e-06,0.20049419275242442,0.200495426306139
2.5500000000000003,-1.2371567486215797e-06,0.20633394152592,0.20633517868266862
2.6,-1.2407597839244718e-06,0.21212034185684575,0.21212158261662967
2.6500000000000004,-1.2443628267438535e-06,0.2178433793279014,0.21784462369072816
2.7,-1.2479658667896452e-06,0.22349303952178645,0.22349428748765324
2.75,-1.2515688933435548e-06,0.22905930802120059,0.22906055959009394
2.8000000000000003,-1.25517189568729e-06,0.23453217040884342,0.2345334255807391
2.85,-1.2587749526366455e-06,0.23991590554868705,0.2399171643236397
2.9000000000000004,-1.2623782412260262e-06,0.24525889095891018,0.2452601533371514
2.95,-1.2659814562375962e-06,0.25056706467311807,0.2505683306545743
3.0,-1.2695842528133438e-06,0.2558415366769372,0.25584280626119005
3.0500000000000003,-1.273186305425441e-06,0.261083416955994,0.26108469014229946
3.1,-1.2767880426750232e-06,0.26629381549591474,0.2662950922839574
