time_from_pulse_us,comsol_current_drop_uA,mpi_current_drop_uA,mpi_minus_comsol_uA
-20.0,nan,nan,nan
-19.75,3.7125738652666476e-07,-1.3684212667324037e-06,-1.7396786532590684e-06
-19.5,3.532082125699655e-07,4.313071173831072e-06,3.959862961261107e-06
-19.25,3.351594114986417e-07,9.701683781814428e-06,9.366524370315786e-06
-19.0,3.171109833242546e-07,1.4782751464868903e-05,1.4465640481544648e-05
-18.75,2.9906292805836556e-07,1.9541609130645746e-05,1.924254620258738e-05
-18.5,2.810152457125357e-07,2.39635916867962e-05,2.3682576441083663e-05
-18.25,2.6296793629832634e-07,2.803403404097151e-05,2.7771066104673183e-05
-18.0,2.4492099982729864e-07,3.173827110082292e-05,3.1493350100995623e-05
-17.75,2.2687443631101392e-07,3.506163777400169e-05,3.483476333769068e-05
-17.5,2.0882824576103336e-07,3.798946896815904e-05,3.7780640722398004e-05
-17.25,1.907824281889183e-07,4.050709959094623e-05,4.031631716275731e-05
-17.0,1.7273698360622986e-07,4.2599864550014495e-05,4.242712756640827e-05
-16.75,1.5469191202452938e-07,4.425309875301511e-05,4.409840684099058e-05
-16.5,1.3664721345537804e-07,4.5452137107599265e-05,4.531548989414389e-05
-16.25,1.1860288791033711e-07,4.618231452141827e-05,4.606371163350793e-05
-16.0,1.0055893540096784e-07,4.642896590212331e-05,4.632840696672234e-05
-15.75,8.251535172598658e-08,4.6077987056113906e-05,4.599547170438792e-05
-15.5,6.447213377464951e-08,4.5083504923888726e-05,4.501903279011408e-05
-15.25,4.6429283194327946e-08,4.3533201114292474e-05,4.348677183109815e-05
-15.0,2.8386801632393138e-08,4.1514757236169835e-05,4.1486370434537444e-05
-14.75,1.0344690736216338e-08,3.9115854898365526e-05,3.910551020762931e-05
-14.5,-7.697047846831207e-09,3.642417570972424e-05,3.643187275757107e-05
-14.25,-2.5738412469378246e-08,3.352740127909067e-05,3.355313969156005e-05
-14.0,-4.377940148405352e-08,3.051321321530952e-05,3.0556992616793573e-05
-13.75,-6.182001324348578e-08,2.7469293127225493e-05,2.753111314046898e-05
-13.5,-7.986024610030378e-08,2.4483322623683285e-05,2.4563182869783588e-05
-13.25,-9.790009840713627e-08,2.1642983313527595e-05,2.1740883411934732e-05
-13.0,-1.1593956851661198e-07,1.9035956805603124e-05,1.9151896374119736e-05
-12.75,-1.3397865478135968e-07,1.6749924708754567e-05,1.6883903363535927e-05
-12.5,-1.5201735555400814e-07,1.4872568631826632e-05,1.502458598738064e-05
-12.25,-1.7005566918718604e-07,1.3491570183664007e-05,1.3661625852851193e-05
-12.0,-1.8809359403352218e-07,1.2694610973111402e-05,1.2882704567144924e-05
-11.75,-2.0613122336070572e-07,1.2247633679147522e-05,1.2453764902508227e-05
-11.5,-2.2416862748589195e-07,1.1853924059995214e-05,1.2078092687481105e-05
-11.25,-2.4220577033590887e-07,1.1507178343466377e-05,1.1749384113802286e-05
