time_from_pulse_us,comsol_current_drop_uA,mpi_current_drop_uA,mpi_minus_comsol_uA
-20.0,nan,nan,nan
-19.75,3.7125738652666476e-07,-2.3541656249460837e-05,-2.39129136359875e-05
-19.5,3.532082125699655e-07,-2.484196794953527e-05,-2.5195176162105237e-05
-19.25,3.351594114986417e-07,-2.5969179518380245e-05,-2.6304338929878887e-05
-19.0,3.171109833242546e-07,-2.6935655251083524e-05,-2.7252766234407777e-05
-18.75,2.9906292805836556e-07,-2.775375944273287e-05,-2.8052822370791234e-05
-18.5,2.810152457125357e-07,-2.843585638841604e-05,-2.8716871634128577e-05
-18.25,2.6296793629832634e-07,-2.89943103832208e-05,-2.925727831951913e-05
-18.0,2.4492099982729864e-07,-2.9441485722234912e-05,-2.9686406722062212e-05
-17.75,2.2687443631101392e-07,-2.9789746700546137e-05,-3.001662113685715e-05
-17.5,2.0882824576103336e-07,-3.0051457613242236e-05,-3.026028585900327e-05
-17.25,1.907824281889183e-07,-3.023898275541097e-05,-3.042976518359989e-05
-17.0,1.7273698360622986e-07,-3.0364686422140105e-05,-3.053742340574633e-05
-16.75,1.5469191202452938e-07,-3.0440932908517405e-05,-3.059562482054193e-05
-16.5,1.3664721345537804e-07,-3.0480086509630625e-05,-3.0616733723086004e-05
-16.25,1.1860288791033711e-07,-3.049451152056753e-05,-3.061311440847787e-05
-16.0,1.0055893540096784e-07,-3.0496572236415886e-05,-3.0597131171816856e-05
-15.75,8.251535172598658e-08,-2.9949460260329595e-05,-3.003197561205558e-05
-15.5,6.447213377464951e-08,-2.8403274240821335e-05,-2.8467746374595985e-05
-15.25,4.6429283194327946e-08,-2.6000739041235898e-05,-2.6047168324430227e-05
-15.0,2.8386801632393138e-08,-2.2884579524918054e-05,-2.291296632655045e-05
-14.75,1.0344690736216338e-08,-1.91975205552126e-05,-1.9207865245948817e-05
-14.5,-7.697047846831207e-09,-1.5082286995464305e-05,-1.5074589947617474e-05
-14.25,-2.5738412469378246e-08,-1.0681603709017962e-05,-1.0655865296548585e-05
-14.0,-4.377940148405352e-08,-6.138195559218348e-06,-6.094416157734294e-06
-13.75,-6.182001324348578e-08,-1.5947874094102527e-06,-1.5329673961667669e-06
-13.5,-7.986024610030378e-08,2.805895877061552e-06,2.885756123161856e-06
-13.25,-9.790009840713627e-08,6.921129436852272e-06,7.019029535259408e-06
-13.0,-1.1593956851661198e-07,1.0608188406617135e-05,1.0724127975133746e-05
-12.75,-1.3397865478135968e-07,1.372434792301135e-05,1.385832657779271e-05
-12.5,-1.5201735555400814e-07,1.6126883122690144e-05,1.627890047824415e-05
-12.25,-1.7005566918718604e-07,1.767306914230872e-05,1.7843124811495905e-05
-12.0,-1.8809359403352218e-07,1.8220181118522305e-05,1.8408274712555828e-05
-11.75,-2.0613122336070572e-07,1.8156649461271794e-05,1.83627806846325e-05
-11.5,-2.2416862748589195e-07,1.7975796709215243e-05,1.8199965336701136e-05
-11.25,-2.4220577033590887e-07,1.7692236191916898e-05,1.7934441962252807e-05
-11.0,-2.6024261583758447e-07,1.7320581238941008e-05,1.758082385477859e-05
-10.75,-2.7827912791774663e-07,1.687544517985182e-05,1.7153724307769568e-05
-10.5,-2.963152705032234e-07,1.637144134421359e-05,1.6667756614716814e-05
-10.25,-3.1435100752084263e-07,1.5823183061590552e-05,1.6137534069111396e-05
-10.0,-3.323863028974323e-07,1.5245283661546963e-05,1.5577669964444396e-05
-9.75,-3.5042112055982056e-07,1.4652356473647068e-05,1.5002777594206889e-05
-9.5,-3.6845542443483514e-07,1.405901482745512e-05,1.4427470251889955e-05
-9.25,-3.864891784493042e-07,1.347987205253536e-05,1.3866361230984663e-05
-9.0,-4.045223465300555e-07,1.292954147845204e-05,1.3334063824982095e-05
-8.75,-4.2255489260391717e-07,1.2422636434769408e-05,1.2845191327373325e-05
-8.5,-4.405867805977171e-07,1.1973770251051712e-05,1.241435703164943e-05
-8.25,-4.5861797443828324e-07,1.1597556256863199e-05,1.2056174231301483e-05
-8.0,-4.766484380524436e-07,1.130860778176812e-05,1.1785256219820564e-05
-7.75,-4.946780246072127e-07,1.1089307227278294e-05,1.1583985251885506e-05
-7.5,-5.127066681485744e-07,1.0907887366540955e-05,1.142059403468953e-05
-7.25,-5.307344539218096e-07,1.07577370865814e-05,1.128847154050321e-05
-7.0,-5.487614671721995e-07,1.0632245274424924e-05,1.1181006741597123e-05
-6.75,-5.667877931450252e-07,1.0524800817096817e-05,1.1091588610241842e-05
-6.5,-5.84813517085568e-07,1.042879260162238e-05,1.1013606118707948e-05
