time_from_pulse_us,comsol_current_drop_uA,mpi_current_drop_uA,mpi_minus_comsol_uA
-20.0,nan,nan,nan
-19.75,3.7125738652666476e-07,-9.03978888539823e-05,-9.076914624050897e-05
-19.5,3.532082125699655e-07,-0.00010897882926956256,-0.00010933203748213253
-19.25,3.351594114986417e-07,-0.00012548233175931065,-0.00012581749117080928
-19.0,3.171109833242546e-07,-0.00014002637154819089,-0.00014034348253151515
-18.75,2.9906292805836556e-07,-0.00015272892386116767,-0.00015302798678922604
-18.5,2.810152457125357e-07,-0.00016370796392320533,-0.00016398897916891788
-18.25,2.6296793629832634e-07,-0.00017308146695926827,-0.0001733444348955666
-18.0,2.4492099982729864e-07,-0.00018096740819432085,-0.00018121232919414814
-17.75,2.2687443631101392e-07,-0.00018748376285332747,-0.0001877106372896385
-17.5,2.0882824576103336e-07,-0.00019274850616125236,-0.0001929573344070134
-17.25,1.907824281889183e-07,-0.00019687961334306005,-0.00019707039577124898
-17.0,1.7273698360622986e-07,-0.0001999950596237148,-0.00020016779660732102
-16.75,1.5469191202452938e-07,-0.00020221282022818106,-0.0002023675121402056
-16.5,1.3664721345537804e-07,-0.0002036508703814231,-0.00020378751759487848
-16.25,1.1860288791033711e-07,-0.00020442718530840534,-0.00020454578819631568
-16.0,1.0055893540096784e-07,-0.00020465974023409217,-0.00020476029916949315
-15.75,8.251535172598658e-08,-0.0002013513493635068,-0.0002014338647152328
-15.5,6.447213377464951e-08,-0.00019199996253303468,-0.00019206443466680934
-15.25,4.6429283194327946e-08,-0.0001774662584159249,-0.00017751268769911923
-15.0,2.8386801632393138e-08,-0.0001586109156854267,-0.0001586393024870591
-14.75,1.0344690736216338e-08,-0.0001362946130147893,-0.0001363049577055255
-14.5,-7.697047846831207e-09,-0.00011137802907726176,-0.00011137033202941493
-14.25,-2.5738412469378246e-08,-8.472184254609336e-05,-8.469610413362398e-05
-14.0,-4.377940148405352e-08,-5.7186732094533193e-05,-5.714295269304914e-05
-13.75,-6.182001324348578e-08,-2.9633376395830444e-05,-2.9571556382586957e-05
-13.5,-7.986024610030378e-08,-2.9224541232343885e-06,-2.8425938771340847e-06
-13.25,-9.790009840713627e-08,2.2085356050005915e-05,2.2183256148413052e-05
-13.0,-1.1593956851661198e-07,4.45293754506413e-05,4.464531501915791e-05
-12.75,-1.3397865478135968e-07,6.354892540542234e-05,6.36829040602037e-05
-12.5,-1.5201735555400814e-07,7.828332724110033e-05,7.843534459665434e-05
-12.25,-1.7005566918718604e-07,8.787190228442567e-05,8.804195795361286e-05
-12.0,-1.8809359403352218e-07,9.145397186214937e-05,9.164206545618289e-05
-11.75,-2.0613122336070572e-07,9.173698168799481e-05,9.194311291135551e-05
-11.5,-2.2416862748589195e-07,9.200212699844394e-05,9.222629562592983e-05
-11.25,-2.4220577033590887e-07,9.224935340325458e-05,9.24915591735905e-05
-11.0,-2.6024261583758447e-07,9.247860651218458e-05,9.273884912802217e-05
-10.75,-2.7827912791774663e-07,9.268983193499181e-05,9.296811106290956e-05
-10.5,-2.963152705032234e-07,9.288297528143411e-05,9.317929055193734e-05
