time_from_pulse_us,comsol_current_drop_uA,mpi_current_drop_uA,mpi_minus_comsol_uA
-20.0,nan,nan,nan
-19.75,3.7125738652666476e-07,-8.63077498283134e-05,-8.667900721484007e-05
-19.5,3.532082125699655e-07,-8.525234094092152e-05,-8.560554915349148e-05
-19.25,3.351594114986417e-07,-8.399991988171959e-05,-8.433507929321823e-05
-19.0,3.171109833242546e-07,-8.256200445035813e-05,-8.287911543368239e-05
-18.75,2.9906292805836556e-07,-8.095011244648764e-05,-8.124917537454602e-05
-18.5,2.810152457125357e-07,-7.917576166975861e-05,-7.945677691547114e-05
-18.25,2.6296793629832634e-07,-7.725046991982153e-05,-7.751343785611985e-05
-18.0,2.4492099982729864e-07,-7.518575499632687e-05,-7.543067599615417e-05
-17.75,2.2687443631101392e-07,-7.299313469892517e-05,-7.32200091352362e-05
-17.5,2.0882824576103336e-07,-7.06841268272669e-05,-7.089295507302793e-05
-17.25,1.907824281889183e-07,-6.827024918100255e-05,-6.846103160919147e-05
-17.0,1.7273698360622986e-07,-6.576301955978261e-05,-6.593575654338885e-05
-16.75,1.5469191202452938e-07,-6.31739557632576e-05,-6.332864767528213e-05
-16.5,1.3664721345537804e-07,-6.0514575591077985e-05,-6.065122280453336e-05
-16.25,1.1860288791033711e-07,-5.779639684289426e-05,-5.79149997308046e-05
-16.0,1.0055893540096784e-07,-5.503093731835694e-05,-5.513149625375791e-05
-15.75,8.251535172598658e-08,-5.177162737615691e-05,-5.185414272788289e-05
-15.5,6.447213377464951e-08,-4.766129228457204e-05,-4.7725764418346684e-05
-15.25,4.6429283194327946e-08,-4.284554220781746e-05,-4.289197149101179e-05
-15.0,2.8386801632393138e-08,-3.7469987310108327e-05,-3.749837411174072e-05
-14.75,1.0344690736216338e-08,-3.1680237755659746e-05,-3.169058244639596e-05
-14.5,-7.697047846831207e-09,-2.5621903708686864e-05,-2.5614206660840034e-05
-14.25,-2.5738412469378246e-08,-1.94405953334048e-05,-1.9414856920935422e-05
-14.0,-4.377940148405352e-08,-1.3281922794028696e-05,-1.3238143392544643e-05
-13.75,-6.182001324348578e-08,-7.291496254773682e-06,-7.229676241530196e-06
-13.5,-7.986024610030378e-08,-1.6149258798548798e-06,-1.535065633754576e-06
-13.25,-9.790009840713627e-08,3.6021781665125733e-06,3.7000782649197095e-06
-13.0,-1.1593956851661198e-07,8.214205720113544e-06,8.330145288630156e-06
-12.75,-1.3397865478135968e-07,1.2075546616732904e-05,1.2209525271514264e-05
-12.5,-1.5201735555400814e-07,1.5040590692155513e-05,1.5192608047709521e-05
-12.25,-1.7005566918718604e-07,1.696372778216623e-05,1.7133783451353417e-05
-12.0,-1.8809359403352218e-07,1.7699347722549967e-05,1.788744131658349e-05
-11.75,-2.0613122336070572e-07,1.7789842934901945e-05,1.7995974158262652e-05
-11.5,-2.2416862748589195e-07,1.787466415970618e-05,1.8098832787192073e-05
-11.25,-2.4220577033590887e-07,1.795378871086153e-05,1.819599448119744e-05
-11.0,-2.6024261583758447e-07,1.8027193902266848e-05,1.828743651810443e-05
-10.75,-2.7827912791774663e-07,1.8094857047821e-05,1.8373136175738747e-05
-10.5,-2.963152705032234e-07,1.8156755461422833e-05,1.8453070731926058e-05
-10.25,-3.1435100752084263e-07,1.8212866456971212e-05,1.8527217464492056e-05
-10.0,-3.323863028974323e-07,1.8263167348364995e-05,1.8595553651262427e-05
-9.75,-3.5042112055982056e-07,1.8307635449503034e-05,1.8658056570062853e-05
-9.5,-3.6845542443483514e-07,1.834624807428419e-05,1.8714703498719024e-05
-9.25,-3.864891784493042e-07,1.8378982536607314e-05,1.8765471715056618e-05
-9.0,-4.045223465300555e-07,1.840581615037128e-05,1.8810338496901334e-05
-8.75,-4.2255489260391717e-07,1.8426726229474926e-05,1.8849281122078844e-05
-8.5,-4.405867805977171e-07,1.8441690087817123e-05,1.888227686841484e-05
-8.25,-4.5861797443828324e-07,1.8450685039296723e-05,1.8909303013735005e-05
-8.0,-4.766484380524436e-07,1.845368839781258e-05,1.8930336835865024e-05
-7.75,-4.946780246072127e-07,1.84384818557539e-05,1.8933159880361113e-05
-7.5,-5.127066681485744e-07,1.839416627883795e-05,1.890687294698652e-05
-7.25,-5.307344539218096e-07,1.8322697740959162e-05,1.8853432194880972e-05
-7.0,-5.487614671721995e-07,1.8226032316011993e-05,1.8774793783184193e-05
-6.75,-5.667877931450252e-07,1.810612607789087e-05,1.8672913871035897e-05
-6.5,-5.84813517085568e-07,1.7964935100490244e-05,1.8549748617575812e-05
-6.25,-6.028387242391088e-07,1.780441545770456e-05,1.840725418194367e-05
-6.0,-6.20863499850929e-07,1.762652322342825e-05,1.824738672327918e-05
-5.75,-6.388879291663097e-07,1.7433214471555764e-05,1.8072102400722073e-05
-5.5,-6.569120974305321e-07,1.722644527598154e-05,1.788335737341207e-05
-5.25,-6.749360898888772e-07,1.7008171710600017e-05,1.7683107800488893e-05
-5.0,-6.929599917866263e-07,1.678034984930564e-05,1.7473309841092267e-05
-4.75,-7.109838883690604e-07,1.654493576599285e-05,1.725591965436191e-05
-4.5,-7.290078648814607e-07,1.6303885534556093e-05,1.7032893399437555e-05
-4.25,-7.470320065691085e-07,1.6059155228889804e-05,1.6806187235458913e-05
-4.0,-7.650563986772849e-07,1.581270092288843e-05,1.6577757321565713e-05
-3.75,-7.830808487946544e-07,1.5517876340566632e-05,1.6300957189361287e-05
-3.5,-8.011050236741901e-07,1.5150523908817739e-05,1.595162893249193e-05
-3.25,-8.191287973076363e-07,1.4746332755866292e-05,1.556546155317393e-05
-3.0,-8.371520436867367e-07,1.4340992009936847e-05,1.5178144053623584e-05
-2.75,-8.55174691754992e-07,1.3876803317743389e-05,1.473197800949838e-05
-2.5,-8.731968407370053e-07,1.3323777802025707e-05,1.4196974642762712e-05
-2.25,-8.912186200461749e-07,1.275916880507244e-05,1.3650387425118614e-05
-2.0,-9.092401590958988e-07,1.2260229669172221e-05,1.316946982826812e-05
-1.75,-9.272615872995754e-07,1.1904213736613686e-05,1.2831475323913262e-05
-1.5,-9.452830340706028e-07,1.1768374349685471e-05,1.2713657383756073e-05
-1.25,-9.633044652464808e-07,1.2839849984594633e-05,1.3803154449841114e-05
-1.0,-9.813251761906462e-07,1.534577377034123e-05,1.6327098946531878e-05
-0.75,-9.993451436720898e-07,1.8223391028029792e-05,1.9222736171701883e-05
-0.5,-1.017365004794117e-06,2.0409947078764853e-05,2.142731208355897e-05
-0.25,-1.0353846930869474e-06,2.1272257163377567e-05,2.2307641856464515e-05
0.0,-1.0534041052778775e-06,2.170014085209222e-05,2.2753544957370097e-05
0.05,-1.057006566526649e-06,2.1769142470737127e-05,2.2826149037263777e-05
0.1,-1.0606073754714516e-06,2.183847225410035e-05,2.2899079629571802e-05
0.15000000000000002,-1.0642081273392524e-06,2.191063871836088e-05,2.2974846845700132e-05
0.2,-1.0678092527478823e-06,2.1988150379697715e-05,2.30559596324456e-05
0.25,-1.0714108253090163e-06,2.2073515754289842e-05,2.314492657959886e-05
0.30000000000000004,-1.0750127219045183e-06,2.216924335831626e-05,2.324425608022078e-05
0.35000000000000003,-1.0786149615624653e-06,2.2277841707955962e-05,2.335645666951843e-05
0.4,-1.0822173450765228e-06,2.240181931938795e-05,2.3484036664464475e-05
0.45,-1.0858201024088174e-06,2.2543684708791206e-05,2.3629504811200024e-05
0.5,-1.0894229798098397e-06,2.2705946392344727e-05,2.379536937215457e-05
0.55,-1.0930260041617753e-06,2.2891112886227518e-05,2.3984138890389295e-05
0.6000000000000001,-1.0966290446868373e-06,2.3324538195174955e-05,2.4421167239861793e-05
0.65,-1.10023221685164e-06,0.000457707830775888,0.0004588080629927396
0.7000000000000001,-1.1038354168134973e-06,0.0016848539895123946,0.0016859578249292081
0.75,-1.1074386860986333e-06,0.003649757815837598,0.0036508652545236965
0.8,-1.1110419865530292e-06,0.006297414111184417,0.00629852515317097
0.8500000000000001,-1.1146452861156658e-06,0.009572817676985758,0.009573932322271874
0.9,-1.1182486442808037e-06,0.013420963314674517,0.013422081563318797
0.9500000000000001,-1.1218520333665024e-06,0.01778684582568362,0.01778796767771699
1.0,-1.1254553628590779e-06,0.022615460011445963,0.022616585466808822
1.05,-1.1290587276840043e-06,0.027851800673394475,0.02785292973212216
1.1,-1.1326621380064093e-06,0.03344086261296206,0.03344199527510006
1.1500000000000001,-1.1362655209856494e-06,0.039327640631581604,0.03932877689710259
1.2000000000000002,-1.1398688850133636e-06,0.045457129530686036,0.04545826939957105
1.25,-1.143472237980847e-06,0.051774324111708236,0.051775467583946216
1.3,-1.1470755861329625e-06,0.058224219176081164,0.0582253662516673
1.35,-1.1506789287908391e-06,0.0647518095252377,0.06475296020416649
1.4000000000000001,-1.1542822723720202e-06,0.07130208996061077,0.07130324424288315
1.4500000000000002,-1.157885616542425e-06,0.07782005528363325,0.0778212131692498
