time_from_pulse_us,comsol_current_drop_uA,mpi_current_drop_uA,mpi_minus_comsol_uA
-20.0,nan,nan,nan
-19.75,1.4157575955176041e-06,nan,nan
-19.5,1.397708421560905e-06,nan,nan
-19.25,1.3796596204895812e-06,nan,nan
-19.0,1.361611192315194e-06,nan,nan
-18.75,1.343563137049305e-06,nan,nan
-18.5,1.325515454703475e-06,nan,nan
-18.25,1.3074681452892657e-06,nan,nan
-18.0,1.2894212088182382e-06,nan,nan
-17.75,1.2713746453019535e-06,nan,nan
-17.5,1.2533284547519728e-06,nan,nan
-17.25,1.2352826371798576e-06,nan,nan
-17.0,1.217237192597169e-06,nan,nan
-16.75,1.199192121015469e-06,nan,nan
-16.5,1.1811474224463174e-06,nan,nan
-16.25,1.1631030969012764e-06,nan,nan
-16.0,1.1450591443919072e-06,nan,nan
-15.75,1.127015560716926e-06,nan,nan
-15.5,1.108972342765589e-06,nan,nan
-15.25,1.0909294921852675e-06,nan,nan
-15.0,1.0728870106233326e-06,nan,nan
-14.75,1.0548448997271557e-06,nan,nan
-14.5,1.0368031611441081e-06,nan,nan
-14.25,1.0187617965215612e-06,nan,nan
-14.0,1.000720807506886e-06,nan,nan
-13.75,9.826801957474536e-07,nan,nan
-13.5,9.646399628906356e-07,nan,nan
-13.25,9.466001105838032e-07,nan,nan
-13.0,9.285606404743275e-07,nan,nan
-12.75,9.105215542095797e-07,nan,nan
-12.5,8.924828534369312e-07,nan,nan
-12.25,8.744445398037534e-07,nan,nan
-12.0,8.564066149574173e-07,nan,nan
-11.75,8.383689856302337e-07,nan,nan
-11.5,8.203315815050474e-07,nan,nan
-11.25,8.022944386550306e-07,nan,nan
-11.0,7.84257593153355e-07,nan,nan
-10.75,7.662210810731929e-07,nan,nan
-10.5,7.48184938487716e-07,nan,nan
-10.25,7.301492014700968e-07,nan,nan
-10.0,7.121139060935071e-07,nan,nan
-9.75,6.940790884311189e-07,nan,nan
-9.5,6.760447845561042e-07,nan,nan
-9.25,6.580110305416352e-07,nan,nan
-9.0,6.399778624608838e-07,nan,nan
-8.75,6.219453163870223e-07,nan,nan
-8.5,6.039134283932223e-07,nan,nan
-8.25,5.858822345526562e-07,nan,nan
-8.0,5.678517709384958e-07,nan,nan
-7.75,5.498221843837267e-07,nan,nan
-7.5,5.317935408423651e-07,nan,nan
-7.25,5.137657550691298e-07,nan,nan
-7.0,4.957387418187399e-07,nan,nan
-6.75,4.777124158459143e-07,nan,nan
