time_from_pulse_us,comsol_current_drop_uA,amgx_current_drop_uA,amgx_minus_comsol_uA
0.000000000000000000e+00,-1.515224165062702133e-02,6.690553959738629996e-06,1.515893220458676069e-02
5.000000000000000278e-02,-1.524639931077929889e-02,4.572382198240978329e-02,6.097022129318908218e-02
1.000000000000000056e-01,-1.523911340695981165e-02,1.830403826470048401e-01,1.982794960539646656e-01
1.500000000000000222e-01,-1.387006793409063798e-02,4.676609695767808828e-01,4.815310375108715069e-01
2.000000000000000111e-01,-1.247483859278391942e-02,7.547630047292668287e-01,7.672378433220506944e-01
2.500000000000000000e-01,-9.439856917415126447e-03,1.044251674854927980e+00,1.053691531772343204e+00
3.000000000000000444e-01,-6.371410908045821789e-03,1.333789051817726445e+00,1.340160462725772161e+00
3.500000000000000333e-01,-1.712717354818900709e-03,1.525916421189730920e+00,1.527629138544549736e+00
4.000000000000000222e-01,2.978430230528256867e-03,1.716055831185602454e+00,1.713077400955074214e+00
4.500000000000000111e-01,8.991096514705494008e-03,1.822543038802347581e+00,1.813551942287642049e+00
5.000000000000000000e-01,1.503073256873962461e-02,1.927323058584228921e+00,1.912292326015489374e+00
5.500000000000000444e-01,2.205119570956949604e-02,1.936355615968975208e+00,1.914304420259405726e+00
6.000000000000000888e-01,2.909167573007551827e-02,1.943434143474345399e+00,1.914342467744269971e+00
6.500000000000000222e-01,3.678833287713152017e-02,1.949046108572173086e+00,1.912257775695041628e+00
7.000000000000000666e-01,4.449838139434570544e-02,1.954628143824437947e+00,1.910129762430092137e+00
7.500000000000000000e-01,5.259505479946884055e-02,1.924799513134397566e+00,1.872204458334928656e+00
8.000000000000000444e-01,6.069961850855675606e-02,1.894248215780576672e+00,1.833548597272020020e+00
8.500000000000000888e-01,6.898586571124608324e-02,1.832576321849934464e+00,1.763590456138688367e+00
9.000000000000000222e-01,7.727582074039421323e-02,1.770269313693368263e+00,1.692993492952973966e+00
9.500000000000000666e-01,8.560195126831282586e-02,1.716322568367359525e+00,1.630720617099046699e+00
1.000000000000000000e+00,9.392882007172778658e-02,1.662546440652739710e+00,1.568617620581011840e+00
1.050000000000000044e+00,1.012528146256058553e-01,1.619184974612345895e+00,1.517932159986740137e+00
1.100000000000000089e+00,1.085563423577650677e-01,1.576036052690865219e+00,1.467479710333100096e+00
1.150000000000000133e+00,1.158598700899242939e-01,1.532887130769384765e+00,1.417027260679460499e+00
1.200000000000000178e+00,1.231633978220835063e-01,1.489738208847904088e+00,1.366574811025820679e+00
1.250000000000000000e+00,1.304669255542426909e-01,1.446589286926423856e+00,1.316122361372181082e+00
1.300000000000000044e+00,1.377704532864019171e-01,1.403440365004943180e+00,1.265669911718541263e+00
1.350000000000000089e+00,1.450739810185611156e-01,1.360291443083462504e+00,1.215217462064901444e+00
1.400000000000000133e+00,1.523775087507203418e-01,1.317142521161982049e+00,1.164765012411261624e+00
1.450000000000000178e+00,1.596810364828795681e-01,1.273993599240501373e+00,1.114312562757621805e+00
1.500000000000000000e+00,1.669845642150387666e-01,1.230844677319020919e+00,1.063860113103982208e+00
1.550000000000000044e+00,1.742880919471979650e-01,1.187695755397540243e+00,1.013407663450342167e+00
1.600000000000000089e+00,1.815916196793571635e-01,1.144546833476059788e+00,9.629552137967025693e-01
1.650000000000000133e+00,1.888951474115164175e-01,1.101397911554579334e+00,9.125027641430629721e-01
1.700000000000000178e+00,1.961986751436756160e-01,1.058248989633098436e+00,8.620503144894228198e-01
1.750000000000000000e+00,2.035022028758348145e-01,1.015100067711618204e+00,8.115978648357833336e-01
1.800000000000000044e+00,2.108057306079940130e-01,9.719511457901376383e-01,7.611454151821436254e-01
1.850000000000000089e+00,2.181092583401532392e-01,9.288022238686569620e-01,7.106929655285036951e-01
1.900000000000000133e+00,2.254127860723124654e-01,8.856533019471763968e-01,6.602405158748638758e-01
