series,time_from_pulse_us,current_drop_uA
COMSOL,10.0,0.0004875640414815431
COMSOL,20.0,0.036561725341139786
COMSOL,40.0,0.6814178759452192
COMSOL,50.0,1.2652541684486875
COMSOL,75.0,2.871206534364198
COMSOL,100.0,4.247100063704523
"Elmer z1, 10 us",10.0,1.1850071560781255
"Elmer z1, 10 us",20.0,2.131877861080989
"Elmer z1, 10 us",40.0,3.649896744901575
"Elmer z1, 10 us",50.0,4.254838503968833
"Elmer z1, 10 us",75.0,5.417430650614012
"Elmer z1, 10 us",100.0,6.228768401881166
"Elmer z8, 10 us",10.0,0.004439445185047245
"Elmer z8, 10 us",20.0,0.16356442952302713
"Elmer z8, 10 us",40.0,0.9196373748160944
"Elmer z8, 10 us",50.0,1.441869426320114
"Elmer z8, 10 us",75.0,2.842169561649623
"Elmer z8, 10 us",100.0,4.110400197648738
"Elmer z16, 10 us",10.0,0.0018412890712858178
"Elmer z16, 10 us",20.0,0.14098019628417607
"Elmer z16, 10 us",40.0,0.8703231882787688
"Elmer z16, 10 us",50.0,1.3901735106814574
"Elmer z16, 10 us",75.0,2.8002917422609404
"Elmer z16, 10 us",100.0,4.082207657920881
"Elmer z16, 5 us",10.0,0.001845570964097608
"Elmer z16, 5 us",20.0,0.10561448264473688
"Elmer z16, 5 us",40.0,0.8396825182448135
"Elmer z16, 5 us",50.0,1.3730041894841372
"Elmer z16, 5 us",75.0,2.873577060867664
"Elmer z16, 5 us",100.0,4.196129517526837
"Elmer z16, 2.5 us",10.0,0.0018448901120484455
"Elmer z16, 2.5 us",20.0,0.07603819026276436
"Elmer z16, 2.5 us",40.0,0.7864080404961291
"Elmer z16, 2.5 us",50.0,1.3627901507543583
"Elmer z16, 2.5 us",75.0,2.9302152793464242
"Elmer z16, 2.5 us",100.0,4.286929269042227
"Elmer z16, 1.25 us",10.0,0.0018416339318110778
"Elmer z16, 1.25 us",20.0,0.06102752635752923
"Elmer z16, 1.25 us",40.0,0.7433370418124002
"Elmer z16, 1.25 us",50.0,1.3214779244350292
"Elmer z16, 1.25 us",75.0,2.9052215750017263
"Elmer z16, 1.25 us",100.0,4.274084897075416
"Elmer z32, 1.25 us",10.0,0.001225746196656562
"Elmer z32, 1.25 us",20.0,0.054752689296386284
"Elmer z32, 1.25 us",40.0,0.7274311838687207
"Elmer z32, 1.25 us",50.0,1.3059035749449708
"Elmer z32, 1.25 us",75.0,2.8944915766454087
"Elmer z32, 1.25 us",100.0,4.26741876873213
"Elmer z32, 0.625 us",10.0,0.0010794873617799787
"Elmer z32, 0.625 us",20.0,0.04828197588847442
"Elmer z32, 0.625 us",40.0,0.7141053162688016
"Elmer z32, 0.625 us",50.0,1.2985657053635047
"Elmer z32, 0.625 us",75.0,2.9026487686401103
"Elmer z32, 0.625 us",100.0,4.282275559610569
