series,time_from_pulse_us,current_drop_uA
COMSOL,10.0,0.0004875640414815431
COMSOL,20.0,0.036561725341139786
COMSOL,40.0,0.6814178759452192
COMSOL,50.0,1.2652541684486875
COMSOL,100.0,4.247100063704523
COMSOL,150.0,6.0363910587208025
COMSOL,200.0,6.957730064294382
COMSOL,225.0,7.227521628731455
Elmer Stycast z1,10.0,1.1850071560781255
Elmer Stycast z1,20.0,2.131877861080989
Elmer Stycast z1,40.0,3.649896744901575
Elmer Stycast z1,50.0,4.254838503968833
Elmer Stycast z1,100.0,6.228768401881166
Elmer Stycast z1,150.0,7.180207828722608
Elmer Stycast z1,200.0,7.609016933911454
Elmer Stycast z1,225.0,7.7228999757296934
Elmer Stycast z8,10.0,0.004439445185047245
Elmer Stycast z8,20.0,0.16356442952302713
Elmer Stycast z8,40.0,0.9196373748160944
Elmer Stycast z8,50.0,1.441869426320114
Elmer Stycast z8,100.0,4.110400197648738
Elmer Stycast z8,150.0,5.950498009497145
Elmer Stycast z8,200.0,6.9457540888345495
