time_ms,COMSOL_L_A,COMSOL_R_A,Elmer_L_A,Elmer_R_A
0.0,-7.490922109632057e-08,-4.5373682842797416e-08,nan,nan
0.001,-7.146159640685629e-08,-4.1926091409256105e-08,nan,nan
0.002,-6.82223784379026e-08,-3.8686870636176125e-08,nan,nan
0.003,-6.62868438959215e-08,-3.6751323654479425e-08,nan,nan
0.004,-6.502289629508283e-08,-3.5487362010349494e-08,nan,nan
0.005,-6.415233298761886e-08,-3.461678519692485e-08,nan,nan
0.006,-6.353550325670354e-08,-3.3999943163215115e-08,nan,nan
0.007,-6.308809010751736e-08,-3.3552519125725324e-08,nan,nan
0.008,-6.276263217370743e-08,-3.322705175442338e-08,nan,nan
0.009000000000000001,-6.25243800530113e-08,-3.298879159852877e-08,nan,nan
0.01,-6.234969878352145e-08,-3.281410359363621e-08,nan,nan
0.011,-6.221953616138576e-08,-3.268393537548587e-08,nan,nan
0.012,-6.212268903726123e-08,-3.2587083652013096e-08,nan,nan
0.013000000000000001,-6.205206141292037e-08,-3.2516452304955654e-08,nan,nan
0.014,-6.200042589738202e-08,-3.246481380272492e-08,nan,nan
0.015000000000000001,-6.196239280531186e-08,-3.242677832859483e-08,nan,nan
0.016,-6.193431993660231e-08,-3.239870357048681e-08,nan,nan
0.017000000000000005,-6.191375730599745e-08,-3.237813945662562e-08,nan,nan
0.018000000000000002,-6.189858872030385e-08,-3.236296971280081e-08,nan,nan
0.019,-6.188731313423463e-08,-3.235169322670826e-08,nan,nan
0.02,-6.187880734712266e-08,-3.234318673627434e-08,nan,nan
0.021,-6.187187308270782e-08,-3.233625189667669e-08,nan,nan
0.022,-6.186672533264306e-08,-3.233110371114213e-08,nan,nan
0.023,-6.186257946212009e-08,-3.232695749103172e-08,nan,nan
0.024,-6.185947678028522e-08,-3.232385454845978e-08,nan,nan
0.025,-6.185720252902265e-08,-3.232158010941339e-08,nan,nan
0.026000000000000002,-6.18552284140458e-08,-3.231960584094062e-08,nan,nan
0.027,-6.185383205468574e-08,-3.2318209382891055e-08,nan,nan
0.028,-6.185248299139573e-08,-3.23168602308591e-08,nan,nan
0.029000000000000005,-6.185140361235082e-08,-3.2315780793063984e-08,nan,nan
0.030000000000000002,-6.185043591907234e-08,-3.231481305508927e-08,nan,nan
0.031,-6.184953229932332e-08,-3.2313909400483154e-08,nan,nan
0.032,-6.18487187494665e-08,-3.2313095827573484e-08,nan,nan
0.033,-6.184791773915319e-08,-3.231229479750059e-08,nan,nan
0.03400000000000001,-6.184716752030998e-08,-3.231154456648721e-08,nan,nan
0.035,-6.184642928946309e-08,-3.231080632811866e-08,nan,nan
0.036000000000000004,-6.184571379585363e-08,-3.231009083270672e-08,nan,nan
0.037,-6.184501377704823e-08,-3.230939083750982e-08,nan,nan
0.038,-6.184432125560927e-08,-3.2308698381719307e-08,nan,nan
0.039,-6.184364162624217e-08,-3.230801884951027e-08,nan,nan
0.04,-6.184297488938059e-08,-3.230735224027284e-08,nan,nan
0.041,-6.184232104437402e-08,-3.230669855446781e-08,nan,nan
0.042,-6.184167395592566e-08,-3.2306051854922766e-08,nan,nan
0.043000000000000003,-6.184103557677848e-08,-3.230541403094131e-08,nan,nan
0.044,-6.184040727312209e-08,-3.2304786405060355e-08,nan,nan
0.045,-6.18397890452682e-08,-3.230416897711727e-08,nan,nan
0.046,-6.183918068206843e-08,-3.230356156079192e-08,nan,nan
0.04700000000000001,-6.183857451855224e-08,-3.2302957394037316e-08,nan,nan
0.048,-6.183797565103904e-08,-3.230236097253843e-08,nan,nan
0.049,-6.183738407914937e-08,-3.2301772296485e-08,nan,nan
0.05,-6.183679980308651e-08,-3.2301191365538204e-08,nan,nan
0.051000000000000004,-6.183622121539876e-08,-3.2300617181554424e-08,nan,nan
0.052000000000000005,-6.18356442562911e-08,-3.2300047223858476e-08,nan,nan
0.053,-6.18350722870071e-08,-3.229948357926849e-08,nan,nan
0.054,-6.183450530734347e-08,-3.229892624791999e-08,nan,nan
0.055,-6.183394331761192e-08,-3.2298375229731667e-08,nan,nan
