probe_version,workload_id,outer_iteration,preconditioner_application,solver_reported_iteration,initial_residual,current_residual,solver_reported_residual,schur_solve_count,k_actions_total,k_actions_primal_block_solve,k_actions_matrix_free_schur,k_actions_full_upper_correction,k_actions_setup_rebuild,elapsed_wall_seconds_cumulative,elapsed_wall_seconds_per_call,k_apply_seconds_cumulative,schur_action_seconds_cumulative,reached_tolerance,hit_maxiter,breakdown,nonfinite
phase20-v2,case_p20_hypre_block_full_cpu_probe,,1,,,,,1,35,1,32,1,1, 1.0938000000000001E+001, 1.1064000000000000E+001, 1.0938000000000001E+001, 1.0262000000000000E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,,2,,,,,1,34,1,32,1,0, 1.1922000000000001E+001, 1.1020000000000003E+000, 1.1922000000000001E+001, 1.1190000000000001E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,,3,,,,,1,34,1,32,1,0, 1.2859999999999994E+001, 1.0419999999999998E+000, 1.2859999999999994E+001, 1.2067999999999996E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,,4,,,,,1,34,1,32,1,0, 1.3792999999999997E+001, 1.0369999999999990E+000, 1.3792999999999997E+001, 1.2949000000000002E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,,5,,,,,1,34,1,32,1,0, 1.4756999999999993E+001, 1.0729999999999986E+000, 1.4756999999999993E+001, 1.3848999999999997E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,,6,,,,,1,34,1,32,1,0, 1.5894999999999994E+001, 1.2699999999999978E+000, 1.5894999999999994E+001, 1.4922999999999996E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,,7,,,,,1,34,1,32,1,0, 1.7014999999999993E+001, 1.2409999999999997E+000, 1.7014999999999993E+001, 1.5969999999999997E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,,8,,,,,1,34,1,32,1,0, 1.8136999999999997E+001, 1.2429999999999986E+000, 1.8136999999999997E+001, 1.7026000000000000E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,,9,,,,,1,34,1,32,1,0, 1.9232000000000003E+001, 1.2189999999999976E+000, 1.9232000000000003E+001, 1.8051000000000005E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,,10,,,,,1,34,1,32,1,0, 2.0295999999999989E+001, 1.1990000000000016E+000, 2.0295999999999989E+001, 1.9056999999999992E+001,missing,missing,missing,missing
