probe_version,workload_id,outer_iteration,schur_solve,iterations,initial_residual,final_residual,reached_tolerance,hit_maxiter,breakdown,nonfinite,k_actions_total,k_actions_primal_block_solve,k_actions_matrix_free_schur,k_actions_full_upper_correction,k_actions_setup_rebuild,elapsed_wall_seconds_per_call,elapsed_wall_seconds_cumulative,k_apply_seconds_per_call,k_apply_seconds_cumulative,schur_action_seconds_per_call,schur_action_seconds_cumulative,gpu_synchronized
phase20-v2,case_p20_hypre_block_full_cpu_probe,1,1,30, 9.0279115803592391E-012, 6.1191771643232555E-014,F,T,F,F,32,0,32,0,0, 1.0381000000000000E+001, 1.0708000000000000E+001, 1.0262000000000000E+001, 1.0586000000000000E+001, 1.0381000000000000E+001, 1.0262000000000000E+001,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,2,2,30, 3.1420591097997932E-012, 5.2429544146263316E-014,F,T,F,F,32,0,32,0,0, 1.0399999999999991E+000, 1.2138000000000000E+001, 9.2800000000000082E-001, 1.1893000000000001E+001, 1.0359999999999996E+000, 1.1190000000000001E+001,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,3,3,30, 6.3391635049458848E-013, 4.2858074749889213E-014,F,T,F,F,32,0,32,0,0, 9.7599999999999909E-001, 1.3183000000000000E+001, 8.7799999999999478E-001, 1.2829999999999995E+001, 9.7300000000000075E-001, 1.2067999999999996E+001,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,4,4,30, 1.9165192010597154E-013, 2.8822368595509028E-014,F,T,F,F,32,0,32,0,0, 9.8000000000000043E-001, 1.4230000000000000E+001, 8.8100000000000556E-001, 1.3767999999999999E+001, 9.7900000000000098E-001, 1.2949000000000002E+001,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,5,5,30, 8.9250113819777323E-013, 5.8664390063669612E-014,F,T,F,F,32,0,32,0,0, 1.0030000000000001E+000, 1.5298999999999999E+001, 8.9999999999999503E-001, 1.4720999999999993E+001, 1.0009999999999977E+000, 1.3848999999999997E+001,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,6,6,30, 2.2356194417034736E-012, 5.7072581046453708E-014,F,T,F,F,32,0,32,0,0, 1.2010000000000023E+000, 1.6577000000000002E+001, 1.0739999999999998E+000, 1.5863999999999992E+001, 1.1980000000000022E+000, 1.4922999999999996E+001,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,7,7,30, 4.3462740901781419E-013, 1.3330579091347781E-013,F,T,F,F,32,0,32,0,0, 1.1620000000000026E+000, 1.7824000000000002E+001, 1.0470000000000024E+000, 1.6979999999999997E+001, 1.1600000000000037E+000, 1.5969999999999997E+001,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,8,8,30, 2.2074153128746652E-012, 5.3735038557805437E-014,F,T,F,F,32,0,32,0,0, 1.1720000000000006E+000, 1.9074999999999999E+001, 1.0560000000000045E+000, 1.8103999999999999E+001, 1.1670000000000051E+000, 1.7026000000000000E+001,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,9,9,30, 2.1212123982846150E-012, 6.3328627354515045E-013,F,T,F,F,32,0,32,0,0, 1.1430000000000007E+000, 2.0300000000000001E+001, 1.0250000000000057E+000, 1.9196000000000005E+001, 1.1419999999999995E+000, 1.8051000000000005E+001,missing
phase20-v2,case_p20_hypre_block_full_cpu_probe,10,10,30, 2.0926904930968635E-012, 5.0248406272571042E-014,F,T,F,F,32,0,32,0,0, 1.1319999999999979E+000, 2.1510999999999999E+001, 1.0059999999999860E+000, 2.0268999999999988E+001, 1.1309999999999967E+000, 1.9056999999999992E+001,missing
