probe_version,workload_id,outer_iteration,preconditioner_application,solver_reported_iteration,initial_residual,current_residual,solver_reported_residual,schur_solve_count,k_actions_total,k_actions_primal_block_solve,k_actions_matrix_free_schur,k_actions_full_upper_correction,k_actions_setup_rebuild,elapsed_wall_seconds_cumulative,elapsed_wall_seconds_per_call,k_apply_seconds_cumulative,schur_action_seconds_cumulative,reached_tolerance,hit_maxiter,breakdown,nonfinite
phase20-v2,case_p20_hypre_block_lower_cpu_probe,,1,,,,,1,34,1,32,0,1, 9.0939999999999994E+000, 9.1950000000000003E+000, 9.0939999999999994E+000, 8.7839999999999989E+000,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,,2,,,,,1,33,1,32,0,0, 9.9700000000000042E+000, 9.7900000000000098E-001, 9.9700000000000042E+000, 9.6340000000000021E+000,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,,3,,,,,1,33,1,32,0,0, 1.0871000000000006E+001, 1.0039999999999996E+000, 1.0871000000000006E+001, 1.0507000000000003E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,,4,,,,,1,33,1,32,0,0, 1.1810000000000002E+001, 1.0429999999999993E+000, 1.1810000000000002E+001, 1.1420000000000000E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,,5,,,,,1,33,1,32,0,0, 1.2723000000000001E+001, 1.0129999999999999E+000, 1.2723000000000001E+001, 1.2304999999999998E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,,6,,,,,1,33,1,32,0,0, 1.3610999999999997E+001, 9.9300000000000033E-001, 1.3610999999999997E+001, 1.3162999999999995E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,,7,,,,,1,33,1,32,0,0, 1.4497999999999999E+001, 9.8700000000000010E-001, 1.4497999999999999E+001, 1.4023999999999996E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,,8,,,,,1,33,1,32,0,0, 1.5391999999999992E+001, 9.9699999999999811E-001, 1.5391999999999992E+001, 1.4888999999999989E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,,9,,,,,1,33,1,32,0,0, 1.6385000000000002E+001, 1.1240000000000023E+000, 1.6385000000000002E+001, 1.5851999999999997E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,,10,,,,,1,33,1,32,0,0, 1.7445999999999994E+001, 1.1780000000000008E+000, 1.7445999999999994E+001, 1.6876999999999992E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,,11,,,,,1,33,1,32,0,0, 1.8510999999999999E+001, 1.1869999999999976E+000, 1.8510999999999999E+001, 1.7909999999999997E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,,12,,,,,1,33,1,32,0,0, 1.9557999999999993E+001, 1.1689999999999969E+000, 1.9557999999999993E+001, 1.8921999999999990E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,,13,,,,,1,33,1,32,0,0, 2.0613000000000003E+001, 1.1720000000000006E+000, 2.0613000000000003E+001, 1.9945000000000000E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,,14,,,,,1,33,1,32,0,0, 2.1660999999999998E+001, 1.1720000000000006E+000, 2.1660999999999998E+001, 2.0961999999999996E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,,15,,,,,1,33,1,32,0,0, 2.2776999999999990E+001, 1.2359999999999971E+000, 2.2776999999999990E+001, 2.2008999999999986E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,,16,,,,,1,33,1,32,0,0, 2.3808999999999980E+001, 1.1470000000000020E+000, 2.3808999999999980E+001, 2.3008999999999975E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,,17,,,,,1,33,1,32,0,0, 2.4803999999999977E+001, 1.1080000000000005E+000, 2.4803999999999977E+001, 2.3972999999999974E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,,18,,,,,1,33,1,32,0,0, 2.5847999999999974E+001, 1.1649999999999991E+000, 2.5847999999999974E+001, 2.4984999999999971E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,,19,,,,,1,33,1,32,0,0, 2.6920999999999975E+001, 1.2159999999999975E+000, 2.6920999999999975E+001, 2.6022999999999971E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,,20,,,,,1,33,1,32,0,0, 2.7989999999999981E+001, 1.1870000000000012E+000, 2.7989999999999981E+001, 2.7057999999999979E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,,21,,,,,1,33,1,32,0,0, 2.9004999999999981E+001, 1.1310000000000002E+000, 2.9004999999999981E+001, 2.8037999999999979E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,,22,,,,,1,33,1,32,0,0, 2.9877999999999986E+001, 9.6999999999999886E-001, 2.9877999999999986E+001, 2.8881999999999984E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,,23,,,,,1,33,1,32,0,0, 3.0723999999999990E+001, 9.5199999999999818E-001, 3.0723999999999990E+001, 2.9702999999999989E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,,24,,,,,1,33,1,32,0,0, 3.1543999999999990E+001, 9.1799999999999926E-001, 3.1543999999999990E+001, 3.0496999999999993E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,,25,,,,,1,33,1,32,0,0, 3.2362000000000002E+001, 9.1199999999999903E-001, 3.2362000000000002E+001, 3.1289999999999999E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,,26,,,,,1,33,1,32,0,0, 3.3175000000000018E+001, 9.1499999999999915E-001, 3.3175000000000018E+001, 3.2078000000000010E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,,27,,,,,1,33,1,32,0,0, 3.4050000000000011E+001, 9.8499999999999943E-001, 3.4050000000000011E+001, 3.2928000000000004E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,,28,,,,,1,33,1,32,0,0, 3.4863000000000021E+001, 9.1199999999999903E-001, 3.4863000000000021E+001, 3.3715000000000011E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,,29,,,,,1,33,1,32,0,0, 3.5796000000000042E+001, 1.0349999999999966E+000, 3.5796000000000042E+001, 3.4619000000000035E+001,missing,missing,missing,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,,30,,,,,1,33,1,32,0,0, 3.6664000000000023E+001, 9.6799999999999642E-001, 3.6664000000000023E+001, 3.5458000000000020E+001,missing,missing,missing,missing
