probe_version,workload_id,outer_iteration,schur_solve,iterations,initial_residual,final_residual,reached_tolerance,hit_maxiter,breakdown,nonfinite,k_actions_total,k_actions_primal_block_solve,k_actions_matrix_free_schur,k_actions_full_upper_correction,k_actions_setup_rebuild,elapsed_wall_seconds_per_call,elapsed_wall_seconds_cumulative,k_apply_seconds_per_call,k_apply_seconds_cumulative,schur_action_seconds_per_call,schur_action_seconds_cumulative,gpu_synchronized
phase20-v2,case_p20_hypre_block_lower_cpu_probe,1,1,30, 9.0279115803592391E-012, 6.1191771643232555E-014,F,T,F,F,32,0,32,0,0, 8.8789999999999996E+000, 9.1920000000000002E+000, 8.7839999999999989E+000, 9.0939999999999994E+000, 8.8750000000000000E+000, 8.7839999999999989E+000,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,2,2,30, 4.6481843342413355E-012, 6.0952445906665054E-014,F,T,F,F,32,0,32,0,0, 9.4899999999999984E-001, 1.0177000000000000E+001, 8.5000000000000320E-001, 9.9700000000000042E+000, 9.4700000000000095E-001, 9.6340000000000021E+000,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,3,3,30, 2.7722688762500008E-012, 5.2289236428299359E-014,F,T,F,F,32,0,32,0,0, 9.7200000000000131E-001, 1.1188000000000001E+001, 8.7300000000000111E-001, 1.0871000000000006E+001, 9.7000000000000242E-001, 1.0507000000000003E+001,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,4,4,30, 7.4090794413285383E-012, 3.8474269312479001E-014,F,T,F,F,32,0,32,0,0, 1.0129999999999999E+000, 1.2236000000000001E+001, 9.1299999999999670E-001, 1.1810000000000002E+001, 1.0129999999999999E+000, 1.1420000000000000E+001,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,5,5,30, 4.2244204130699902E-012, 3.5007130858570221E-014,F,T,F,F,32,0,32,0,0, 9.8000000000000043E-001, 1.3254000000000000E+001, 8.8499999999999801E-001, 1.2723000000000001E+001, 9.7700000000000031E-001, 1.2304999999999998E+001,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,6,6,30, 7.9484239942510205E-013, 2.9603279188735525E-014,F,T,F,F,32,0,32,0,0, 9.5899999999999963E-001, 1.4250000000000000E+001, 8.5799999999999699E-001, 1.3610999999999997E+001, 9.5600000000000129E-001, 1.3162999999999995E+001,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,7,7,30, 5.8157320893309815E-012, 3.3216906640774546E-014,F,T,F,F,32,0,32,0,0, 9.5599999999999952E-001, 1.5244999999999999E+001, 8.6100000000000065E-001, 1.4497999999999999E+001, 9.5299999999999940E-001, 1.4023999999999996E+001,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,8,8,30, 8.0552173415792232E-012, 2.9504869846165309E-014,F,T,F,F,32,0,32,0,0, 9.6199999999999797E-001, 1.6245999999999999E+001, 8.6499999999999311E-001, 1.5391999999999992E+001, 9.6100000000000030E-001, 1.4888999999999989E+001,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,9,9,30, 7.2143601930129476E-012, 1.0593283016103614E-014,F,T,F,F,32,0,32,0,0, 1.0880000000000010E+000, 1.7379000000000001E+001, 9.6300000000000807E-001, 1.6385000000000002E+001, 1.0849999999999973E+000, 1.5851999999999997E+001,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,10,10,30, 5.7351936269487103E-012, 3.3753403155230907E-014,F,T,F,F,32,0,32,0,0, 1.1370000000000005E+000, 1.8562000000000001E+001, 1.0249999999999950E+000, 1.7445999999999994E+001, 1.1349999999999980E+000, 1.6876999999999992E+001,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,11,11,30, 1.9976132137606854E-011, 4.5357114841687794E-014,F,T,F,F,32,0,32,0,0, 1.1509999999999998E+000, 1.9756000000000000E+001, 1.0330000000000048E+000, 1.8510999999999999E+001, 1.1499999999999986E+000, 1.7909999999999997E+001,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,12,12,30, 1.9418979814719719E-011, 4.6953793514514182E-014,F,T,F,F,32,0,32,0,0, 1.1280000000000001E+000, 2.0930000000000000E+001, 1.0119999999999933E+000, 1.9557999999999993E+001, 1.1269999999999989E+000, 1.8921999999999990E+001,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,13,13,30, 1.7360007290702526E-012, 1.0645946581489160E-014,F,T,F,F,32,0,32,0,0, 1.1359999999999992E+000, 2.2106999999999999E+001, 1.0230000000000103E+000, 2.0613000000000003E+001, 1.1310000000000073E+000, 1.9945000000000000E+001,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,14,14,30, 8.9378872158045914E-012, 3.3753050842096087E-014,F,T,F,F,32,0,32,0,0, 1.1329999999999991E+000, 2.3279000000000000E+001, 1.0169999999999959E+000, 2.1660999999999998E+001, 1.1309999999999967E+000, 2.0961999999999996E+001,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,15,15,30, 2.4981289758321434E-011, 7.7159711751379768E-014,F,T,F,F,32,0,32,0,0, 1.1619999999999990E+000, 2.4523000000000000E+001, 1.0469999999999899E+000, 2.2776999999999990E+001, 1.1600000000000001E+000, 2.2008999999999986E+001,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,16,16,30, 4.4665218121486748E-011, 5.6501738448870395E-014,F,T,F,F,32,0,32,0,0, 1.1090000000000018E+000, 2.5675000000000001E+001, 9.9999999999998934E-001, 2.3808999999999980E+001, 1.1060000000000016E+000, 2.3008999999999975E+001,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,17,17,30, 3.1976824347482191E-010, 8.8958496336543617E-013,F,T,F,F,32,0,32,0,0, 1.0710000000000015E+000, 2.6791000000000000E+001, 9.6399999999999864E-001, 2.4803999999999977E+001, 1.0690000000000026E+000, 2.3972999999999974E+001,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,18,18,30, 2.1367626085936094E-011, 3.8152708069181144E-014,F,T,F,F,32,0,32,0,0, 1.1269999999999989E+000, 2.7959000000000000E+001, 1.0119999999999969E+000, 2.5847999999999974E+001, 1.1250000000000000E+000, 2.4984999999999971E+001,missing
phase20-v2,case_p20_hypre_block_lower_cpu_probe,19,19,30, 6.9071619032762665E-010, 1.6952488698090947E-012,F,T,F,F,32,0,32,0,0, 1.1610000000000014E+000, 2.9180000000000000E+001, 1.0380000000000003E+000, 2.6920999999999975E+001, 1.1610000000000014E+000, 2.6022999999999971E+001,missing
