case,body_id,body_name,material_id,material_name,conductivity,density,cp,element_count,volume_m3
historical,1,SiO2_2,4,SiO2,0.000494,2200,0.000124,4624,3.5020000000000225e-11
historical,2,Si_2,5,Si,0.37,2332,1.24e-06,9248,6.1285e-09
historical,3,SiO2_1,4,SiO2,0.000494,2200,0.000124,22652,1.800000000000044e-11
historical,4,Si_1,5,Si,0.37,2332,1.24e-06,9248,2.6265000000000007e-10
historical,5,Membrane_Si1,7,Membrane,Variable Temperature,2387,9.819999999999999e-06,13404,7.350000000000002e-12
historical,6,SiNx,6,SiNx,0.000102,3400,2.43e-05,4624,1.7509999999999793e-11
historical,7,Membrane_SiNx,7,Membrane,Variable Temperature,2387,9.819999999999999e-06,6702,4.899999999999943e-13
historical,8,TES,2,TES,68,15695,0.00125,4274,3.999999999999736e-14
historical,9,Stycast,3,Stycast,2.69094e-06,2400,0.00122,102848,3.8940233936252364e-12
historical,10,abs,1,Pb,0.0168,9860,3.26e-05,347754,7e-10
phase24_refined,100,abs,1,Pb,0.0168,9860,3.26e-05,6052,7e-10
phase24_refined,101,TES,2,TES,68,15695,0.00125,1175,3.999999999999962e-14
phase24_refined,102,Stycast,3,Stycast,2.69094e-06,2400,0.00122,38000,3.874470736631633e-12
phase24_refined,103,Membrane_SiNx,7,Membrane,Variable Temperature,2387,9.819999999999999e-06,3518,4.899999999999987e-13
phase24_refined,104,SiO2_1,4,SiO2,0.000494,2200,0.000124,66095,1.799999999999995e-11
phase24_refined,105,Si_1,5,Si,0.37,2332,1.24e-06,68115,2.626500000000002e-10
phase24_refined,106,SiNx,6,SiNx,0.000102,3400,2.43e-05,68955,1.750999999999995e-11
phase24_refined,107,Si_2,5,Si,0.37,2332,1.24e-06,173260,6.1285e-09
phase24_refined,108,SiO2_2,4,SiO2,0.000494,2200,0.000124,68394,3.50199999999999e-11
phase24_refined,109,Membrane_Si1,7,Membrane,Variable Temperature,2387,9.819999999999999e-06,2380,7.350000000000007e-12
phase24_target_refined,100,abs,1,Pb,0.0168,9860,3.26e-05,54923,7e-10
phase24_target_refined,101,TES,2,TES,68,15695,0.00125,1202,3.999999999999962e-14
phase24_target_refined,102,Stycast,3,Stycast,2.69094e-06,2400,0.00122,478185,3.894597914760034e-12
phase24_target_refined,103,Membrane_SiNx,7,Membrane,Variable Temperature,2387,9.819999999999999e-06,3485,4.899999999999987e-13
phase24_target_refined,104,SiO2_1,4,SiO2,0.000494,2200,0.000124,66068,1.799999999999995e-11
phase24_target_refined,105,Si_1,5,Si,0.37,2332,1.24e-06,68138,2.626500000000002e-10
phase24_target_refined,106,SiNx,6,SiNx,0.000102,3400,2.43e-05,68917,1.750999999999995e-11
phase24_target_refined,107,Si_2,5,Si,0.37,2332,1.24e-06,173243,6.1285e-09
phase24_target_refined,108,SiO2_2,4,SiO2,0.000494,2200,0.000124,68256,3.50199999999999e-11
phase24_target_refined,109,Membrane_Si1,7,Membrane,Variable Temperature,2387,9.819999999999999e-06,2416,7.350000000000007e-12
phase24_abs_bypass,100,abs,1,Pb,0.0168,9860,3.26e-05,6838,7e-10
phase24_abs_bypass,101,TES,2,TES,68,15695,0.00125,1709,3.999999999999962e-14
phase24_abs_bypass,102,Stycast,3,Stycast,2.69094e-06,2400,0.00122,38145,3.874470736631633e-12
phase24_abs_bypass,103,Membrane_SiNx,7,Membrane,Variable Temperature,2387,9.819999999999999e-06,3488,4.899999999999987e-13
phase24_abs_bypass,104,SiO2_1,4,SiO2,0.000494,2200,0.000124,66130,1.799999999999995e-11
phase24_abs_bypass,105,Si_1,5,Si,0.37,2332,1.24e-06,68083,2.626500000000002e-10
phase24_abs_bypass,106,SiNx,6,SiNx,0.000102,3400,2.43e-05,68855,1.750999999999995e-11
phase24_abs_bypass,107,Si_2,5,Si,0.37,2332,1.24e-06,173753,6.1285e-09
phase24_abs_bypass,108,SiO2_2,4,SiO2,0.000494,2200,0.000124,68377,3.50199999999999e-11
phase24_abs_bypass,109,Membrane_Si1,7,Membrane,Variable Temperature,2387,9.819999999999999e-06,2417,7.350000000000007e-12
