case,run,segment,delta_T_K,heat_flow_W,R_K_per_W,method
historical,historical_1p00p,TES_to_Stycast_entry,-3.242448486651117e-07,3.203004762115138e-10,-1012.3146006532728,archived contact/body trace diagnostic
historical,historical_1p00p,Stycast_bulk,-1.3287396433137033e-08,3.203004762115138e-10,-41.48416071777102,archived contact/body trace diagnostic
historical,historical_1p00p,Stycast_to_abs_exit,0.017053051619812132,3.203004762115138e-10,53240793.836818926,archived contact/body trace diagnostic
historical,historical_1p00p,substrate_to_bath,3.6792899754667374e-08,3.203004762115138e-10,114.86995021003588,archived contact/body trace diagnostic
tes_side_only_baseline,phase24_historical_density_1p00p,TES_to_Stycast_entry,-5.812774239721819e-07,3.203004762115138e-10,-1814.7878855738234,archived contact/body trace diagnostic
tes_side_only_baseline,phase24_historical_density_1p00p,Stycast_bulk,-8.61808358565419e-08,3.203004762115138e-10,-269.0624655819477,archived contact/body trace diagnostic
tes_side_only_baseline,phase24_historical_density_1p00p,Stycast_to_abs_exit,0.01577948875379026,3.203004762115138e-10,49264643.438650735,archived contact/body trace diagnostic
tes_side_only_baseline,phase24_historical_density_1p00p,substrate_to_bath,3.712481277950985e-08,3.203004762115138e-10,115.90620538133102,archived contact/body trace diagnostic
phase24_abs_conforming_bypass,abs_bypass_1p00P,TES_to_Stycast_entry_body_average_fallback,-8.000000000230045e-07,3.203004762115138e-10,-2497.654731848466,body-average fallback; shared trace exact by mesh
phase24_abs_conforming_bypass,abs_bypass_1p00P,Stycast_to_abs_shared_trace,-9.999999997511999e-08,3.203004762115138e-10,-312.20684139440345,body-average fallback; shared trace exact by mesh
