case,interface,mode,imposed_trace_norm,projected_trace_error,constraint_residual,reaction_heat_flow,reaction_distribution,total_reaction,local_flux_pattern,status
historical,Stycast_to_abs,constant,not archived,4.617069965665814e-18,2.952970391887705e-17,not exported,not exported,not exported,not exported,captured B*u patch test
historical,Stycast_to_abs,linear_x,not archived,8.901891341494515e-18,3.93874103591418e-17,not exported,not exported,not exported,not exported,captured B*u patch test
historical,Stycast_to_abs,linear_y,not archived,8.709994151634625e-18,3.782865803159891e-17,not exported,not exported,not exported,not exported,captured B*u patch test
historical,Stycast_to_abs,radial_quadratic,not archived,2.4109544997888675e-13,3.985866878508035e-12,not exported,not exported,not exported,not exported,captured B*u patch test
phase24_refined_mortar_baseline,Stycast_to_abs,constant,not archived,1.2448540111935637e-16,1.3723252944797516e-16,not exported,not exported,not exported,not exported,captured B*u patch test
phase24_refined_mortar_baseline,Stycast_to_abs,linear_x,not archived,1.3506677379827043e-16,1.7523988528398414e-16,not exported,not exported,not exported,not exported,captured B*u patch test
phase24_refined_mortar_baseline,Stycast_to_abs,linear_y,not archived,3.8296837946488043e-16,3.9591221332200505e-16,not exported,not exported,not exported,not exported,captured B*u patch test
phase24_refined_mortar_baseline,Stycast_to_abs,radial_quadratic,not archived,1.6171236041926075e-10,6.079398007096633e-10,not exported,not exported,not exported,not exported,captured B*u patch test
phase24_abs_conforming_bypass,Stycast_to_abs,constant,not measured,0 by shared-node construction,not applicable on bypass interface,not measured,not measured,not measured,not measured,shared-node exact continuity; dedicated mode capture not run
phase24_abs_conforming_bypass,Stycast_to_abs,linear_x,not measured,0 by shared-node construction,not applicable on bypass interface,not measured,not measured,not measured,not measured,shared-node exact continuity; dedicated mode capture not run
phase24_abs_conforming_bypass,Stycast_to_abs,linear_y,not measured,0 by shared-node construction,not applicable on bypass interface,not measured,not measured,not measured,not measured,shared-node exact continuity; dedicated mode capture not run
phase24_abs_conforming_bypass,Stycast_to_abs,radial_quadratic,not measured,0 by shared-node construction,not applicable on bypass interface,not measured,not measured,not measured,not measured,shared-node exact continuity; dedicated mode capture not run
