time_s,time_step,nonlinear_iter,tes_temperature_K,previous_current_A,raw_current_A,tes_resistance_ohm,raw_power_W,residual_W,omega,omega_cap,relaxed_power_W
  1.0200000000000000E+00,1,1,  1.6655739825072233E-01,  2.1864857614410627E-04,  2.1864857614410627E-04,  8.8533416826925143E-03,  4.2324021964282101E-10,  0.0000000000000000E+00,  5.0000000000000000E-01,  5.0000000000000000E-01,  4.2324021964282101E-10
  3.0200000000000000E+00,3,1,  1.6655744424023075E-01,  2.1866766560428157E-04,  2.1864677283822163E-04,  8.8534468668478028E-03,  4.2325152209636256E-10,  1.1302453541550329E-14,  4.0000000000000001E-02,  5.0000000000000000E-01,  4.2324067174096266E-10
  3.0200000000000000E+00,3,2,  1.6655745077474068E-01,  2.1866766560428157E-04,  2.1864651661218499E-04,  8.8534618122729225E-03,  4.2325124458917183E-10,  1.0572848209174627E-14,  4.0000000000000001E-02,  5.0000000000000000E-01,  4.2324109465489104E-10
  4.0199999999999996E+00,4,1,  1.6655749065243819E-01,  2.1866766560428157E-04,  2.1864495296070212E-04,  8.8535530193609713E-03,  4.2324955105568607E-10,  8.4564007950329410E-15,  4.0000000000000001E-02,  5.0000000000000000E-01,  4.2324143291092286E-10
  4.0199999999999996E+00,4,2,  1.6655748333470843E-01,  2.1866766560428157E-04,  2.1864523989734163E-04,  8.8535362823780467E-03,  4.2324986182764911E-10,  8.4289167262539389E-15,  4.0000000000000001E-02,  5.0000000000000000E-01,  4.2324177006759193E-10
  1.0200000000000000E+00,1,2,  1.6655702453680526E-01,  2.1864857614410627E-04,  2.1866323003886997E-04,  8.8524870070944700E-03,  4.2326934509636474E-10,  2.9125453543728680E-14,  4.0000000000000001E-02,  5.0000000000000000E-01,  4.2324138466096275E-10
  4.0199999999999996E+00,4,3,  1.6655751561508703E-01,  2.1866766560428157E-04,  2.1864397414694486E-04,  8.8536101137912798E-03,  4.2324849092875209E-10,  6.7208611601599541E-15,  4.0000000000000001E-02,  5.0000000000000000E-01,  4.2324203890203832E-10
  1.0200000000000000E+00,1,3,  1.6655753558282185E-01,  2.1864857614410627E-04,  2.1864319119003882E-04,  8.8536557842146951E-03,  4.2324764292374369E-10,  6.2582627809407296E-15,  4.0000000000000001E-02,  5.0000000000000000E-01,  4.2324163499147401E-10
  4.0199999999999996E+00,4,4,  1.6655754924105540E-01,  2.1866766560428157E-04,  2.1864265563594984E-04,  8.8536870236473053E-03,  4.2324706287303794E-10,  5.0239709996214589E-15,  4.0000000000000001E-02,  5.0000000000000000E-01,  4.2324223986087828E-10
  1.0200000000000000E+00,1,4,  1.6655750679363054E-01,  2.1864857614410627E-04,  2.1864432004615615E-04,  8.8535899373528015E-03,  4.2324886556376771E-10,  7.2305722936945392E-15,  4.0000000000000001E-02,  5.0000000000000000E-01,  4.2324192421436575E-10
  4.0199999999999996E+00,4,5,  1.6655751188188467E-01,  2.1866766560428157E-04,  2.1864412052998718E-04,  8.8536015752024577E-03,  4.2324864947277632E-10,  6.4096118980402598E-15,  4.0000000000000001E-02,  5.0000000000000000E-01,  4.2324249624535420E-10
  4.0199999999999996E+00,4,6,  1.6655753001854695E-01,  2.1866766560428157E-04,  2.1864340937134032E-04,  8.8536430575140573E-03,  4.2324787923204048E-10,  5.3829866862815007E-15,  4.0000000000000001E-02,  5.0000000000000000E-01,  4.2324271156482167E-10
