case,segment,left_trace,right_trace,R_differential_K_per_W,R_secant_K_per_W,delta_T_center_K,method
historical,TES_to_Membrane,TES_trace,Membrane_trace,15593307.10170897,15593329.79933531,0.004994550960450289,symmetric 0.95/1.05 P trace slope; no series summation across parallel branches
historical,Membrane_to_Si1_branch_entry,Membrane_trace,Si1_branch_entry,71230.3567178513,71230.4253730676,2.281513916774225e-05,symmetric 0.95/1.05 P trace slope; no series summation across parallel branches
historical,Si1_branch,Si1_branch_entry,Si1_branch_exit,37574904.255469926,37574947.83139638,0.012035273684019049,symmetric 0.95/1.05 P trace slope; no series summation across parallel branches
historical,Membrane_to_Si2_branch_entry,Membrane_trace,Si2_branch_entry,880777.940723144,880778.7894710066,0.0002821138657045641,symmetric 0.95/1.05 P trace slope; no series summation across parallel branches
historical,Si2_branch,Si2_branch_entry,Si2_branch_exit,36765445.27358953,36765488.06949491,0.01177600333680795,symmetric 0.95/1.05 P trace slope; no series summation across parallel branches
historical,SiO2_2_to_bath,SiO2_2_bath_side,bath,231.21550490296784,231.21573731115743,7.405851076836001e-08,symmetric 0.95/1.05 P trace slope; no series summation across parallel branches
refined_mortar_parent,TES_to_Membrane,TES_trace,Membrane_trace,8.665480596195e-07,-1.7330961192390002e-07,-5.551115123125783e-17,symmetric 0.95/1.05 P trace slope; no series summation across parallel branches
refined_mortar_parent,Membrane_to_Si1_branch_entry,Membrane_trace,Si1_branch_entry,14650939.91417724,14650979.251506044,0.004692715631222394,symmetric 0.95/1.05 P trace slope; no series summation across parallel branches
refined_mortar_parent,Si1_branch,Si1_branch_entry,Si1_branch_exit,34612220.16754455,34612313.10437048,0.011086340370111886,symmetric 0.95/1.05 P trace slope; no series summation across parallel branches
refined_mortar_parent,Membrane_to_Si2_branch_entry,Membrane_trace,Si2_branch_entry,48321058.04852546,48321187.79312025,0.015477299461242405,symmetric 0.95/1.05 P trace slope; no series summation across parallel branches
refined_mortar_parent,Si2_branch,Si2_branch_entry,Si2_branch_exit,942183.8589058698,942186.388745183,0.0003017827489950886,symmetric 0.95/1.05 P trace slope; no series summation across parallel branches
refined_mortar_parent,SiO2_2_to_bath,SiO2_2_bath_side,bath,-244.29675929888114,-244.29738529319943,-7.824856884663944e-08,symmetric 0.95/1.05 P trace slope; no series summation across parallel branches
membrane_substrate_control,TES_to_Membrane,TES_trace,Membrane_trace,202.26838811550502,202.08045004582226,6.47264643827139e-08,symmetric 0.95/1.05 P trace slope; no series summation across parallel branches
membrane_substrate_control,Membrane_to_Si1_branch_entry,Membrane_trace,Si1_branch_entry,15164165.20060923,15163712.459711576,0.004856944321980083,symmetric 0.95/1.05 P trace slope; no series summation across parallel branches
membrane_substrate_control,Si1_branch,Si1_branch_entry,Si1_branch_exit,35863108.07252359,35862037.27393868,0.011486627616757616,symmetric 0.95/1.05 P trace slope; no series summation across parallel branches
membrane_substrate_control,Membrane_to_Si2_branch_entry,Membrane_trace,Si2_branch_entry,50051132.45105254,50049638.05713563,0.016030922903914446,symmetric 0.95/1.05 P trace slope; no series summation across parallel branches
membrane_substrate_control,Si2_branch,Si2_branch_entry,Si2_branch_exit,976235.4483944213,976206.2999986234,0.000312679342770239,symmetric 0.95/1.05 P trace slope; no series summation across parallel branches
membrane_substrate_control,SiO2_2_to_bath,SiO2_2_bath_side,bath,-244.85897567996227,-244.85164468337788,-7.842609839325831e-08,symmetric 0.95/1.05 P trace slope; no series summation across parallel branches
