case,power_fraction,power_W,trace,temperature_K,temperature_mK,source
historical,0.95,3.042854524009381e-10,TES_trace,0.16620012261134895,166.20012261134895,area-weighted native captured primal trace
historical,0.95,3.042854524009381e-10,Membrane_trace,0.16145529883543303,161.455298835433,area-weighted native captured primal trace
historical,0.95,3.042854524009381e-10,Si1_branch_entry,0.16143362445212356,161.43362445212355,area-weighted native captured primal trace
historical,0.95,3.042854524009381e-10,Si1_branch_exit,0.1500001137544383,150.0001137544383,area-weighted native captured primal trace
historical,0.95,3.042854524009381e-10,Si2_branch_entry,0.16118729064942033,161.18729064942033,area-weighted native captured primal trace
historical,0.95,3.042854524009381e-10,Si2_branch_exit,0.1500000867940774,150.0000867940774,area-weighted native captured primal trace
historical,0.95,3.042854524009381e-10,SiO2_2_bath_side,0.15000007035558946,150.00007035558946,area-weighted native captured primal trace
historical,0.95,3.042854524009381e-10,bath,0.15000000000000008,150.00000000000009,area-weighted native captured primal trace
historical,1.0,3.203004762115138e-10,TES_trace,0.16705275952514445,167.05275952514444,area-weighted native captured primal trace
historical,1.0,3.203004762115138e-10,Membrane_trace,0.16205820856469416,162.05820856469416,area-weighted native captured primal trace
historical,1.0,3.203004762115138e-10,Si1_branch_entry,0.16203539342552642,162.03539342552642,area-weighted native captured primal trace
historical,1.0,3.203004762115138e-10,Si1_branch_exit,0.15000011974150737,150.00011974150738,area-weighted native captured primal trace
historical,1.0,3.203004762115138e-10,Si2_branch_entry,0.1617760946989896,161.7760946989896,area-weighted native captured primal trace
historical,1.0,3.203004762115138e-10,Si2_branch_exit,0.15000009136218165,150.00009136218165,area-weighted native captured primal trace
historical,1.0,3.203004762115138e-10,SiO2_2_bath_side,0.15000007405851085,150.00007405851085,area-weighted native captured primal trace
historical,1.0,3.203004762115138e-10,bath,0.15000000000000008,150.00000000000009,area-weighted native captured primal trace
historical,1.05,3.3631550002208954e-10,TES_trace,0.16790539643890753,167.90539643890753,area-weighted native captured primal trace
historical,1.05,3.3631550002208954e-10,Membrane_trace,0.16266111829395263,162.66111829395263,area-weighted native captured primal trace
historical,1.05,3.3631550002208954e-10,Si1_branch_entry,0.16263716239892542,162.63716239892543,area-weighted native captured primal trace
historical,1.05,3.3631550002208954e-10,Si1_branch_exit,0.15000012572857727,150.00012572857727,area-weighted native captured primal trace
historical,1.05,3.3631550002208954e-10,Si2_branch_entry,0.16236489874855492,162.3648987485549,area-weighted native captured primal trace
historical,1.05,3.3631550002208954e-10,Si2_branch_exit,0.15000009593028607,150.00009593028608,area-weighted native captured primal trace
historical,1.05,3.3631550002208954e-10,SiO2_2_bath_side,0.1500000777614331,150.0000777614331,area-weighted native captured primal trace
historical,1.05,3.3631550002208954e-10,bath,0.15000000000000008,150.00000000000009,area-weighted native captured primal trace
refined_mortar_parent,0.95,3.042854524009381e-10,TES_trace,0.16499021701237912,164.99021701237913,area-weighted native captured primal trace
refined_mortar_parent,0.95,3.042854524009381e-10,Membrane_trace,0.16499021701237918,164.99021701237916,area-weighted native captured primal trace
refined_mortar_parent,0.95,3.042854524009381e-10,Si1_branch_entry,0.16053213653272963,160.53213653272962,area-weighted native captured primal trace
refined_mortar_parent,0.95,3.042854524009381e-10,Si1_branch_exit,0.15000011169273691,150.0001116927369,area-weighted native captured primal trace
refined_mortar_parent,0.95,3.042854524009381e-10,Si2_branch_entry,0.150286780446336,150.286780446336,area-weighted native captured primal trace
refined_mortar_parent,0.95,3.042854524009381e-10,Si2_branch_exit,0.15000008679427518,150.00008679427518,area-weighted native captured primal trace
refined_mortar_parent,0.95,3.042854524009381e-10,SiO2_2_bath_side,0.15000000000000507,150.0000000000051,area-weighted native captured primal trace
refined_mortar_parent,0.95,3.042854524009381e-10,bath,0.15000007433615545,150.00007433615545,area-weighted native captured primal trace
refined_mortar_parent,1.0,3.203004762115138e-10,TES_trace,0.1657791735726181,165.7791735726181,area-weighted native captured primal trace
refined_mortar_parent,1.0,3.203004762115138e-10,Membrane_trace,0.16577917357261815,165.77917357261816,area-weighted native captured primal trace
refined_mortar_parent,1.0,3.203004762115138e-10,Si1_branch_entry,0.16108645794139576,161.08645794139576,area-weighted native captured primal trace
refined_mortar_parent,1.0,3.203004762115138e-10,Si1_branch_exit,0.15000011757128387,150.00011757128388,area-weighted native captured primal trace
refined_mortar_parent,1.0,3.203004762115138e-10,Si2_branch_entry,0.15030187411137574,150.30187411137575,area-weighted native captured primal trace
refined_mortar_parent,1.0,3.203004762115138e-10,Si2_branch_exit,0.15000009136238066,150.00009136238066,area-weighted native captured primal trace
refined_mortar_parent,1.0,3.203004762115138e-10,SiO2_2_bath_side,0.15000000000000507,150.0000000000051,area-weighted native captured primal trace
refined_mortar_parent,1.0,3.203004762115138e-10,bath,0.15000007824857392,150.0000782485739,area-weighted native captured primal trace
refined_mortar_parent,1.05,3.3631550002208954e-10,TES_trace,0.1665681301328574,166.5681301328574,area-weighted native captured primal trace
