case,trace,T_0p95P_K,T_1p00P_K,T_1p05P_K,dT_dP_K_per_W,T_center_minus_bath_K,source
historical,TES_trace,0.16620012261134895,0.16705275952514445,0.16790539643890753,53239815.554707095,0.017052759525144456,area-weighted native captured primal trace
historical,Membrane_trace,0.16145529883543303,0.16205820856469416,0.16266111829395263,37646508.452998124,0.012058208564694167,area-weighted native captured primal trace
historical,Si1_branch_entry,0.16143362445212356,0.16203539342552642,0.16263716239892542,37575278.09628028,0.012035393425526425,area-weighted native captured primal trace
historical,Si1_branch_exit,0.1500001137544383,0.15000011974150737,0.15000012572857727,373.8408103471324,1.1974150737614764e-07,area-weighted native captured primal trace
historical,Si2_branch_entry,0.16118729064942033,0.1617760946989896,0.16236489874855492,36765730.51227498,0.011776094698989603,area-weighted native captured primal trace
historical,Si2_branch_exit,0.1500000867940774,0.15000009136218165,0.15000009593028607,285.2386854539326,9.136218165339827e-08,area-weighted native captured primal trace
historical,SiO2_2_bath_side,0.15000007035558946,0.15000007405851085,0.1500000777614331,231.21550490296784,7.405851085162674e-08,area-weighted native captured primal trace
historical,bath,0.15000000000000008,0.15000000000000008,0.15000000000000008,0.0,8.326672684688674e-17,area-weighted native captured primal trace
refined_mortar_parent,TES_trace,0.16499021701237912,0.1657791735726181,0.1665681301328574,49263527.14618784,0.0157791735726181,area-weighted native captured primal trace
refined_mortar_parent,Membrane_trace,0.16499021701237918,0.16577917357261815,0.16656813013285743,49263527.14618697,0.015779173572618155,area-weighted native captured primal trace
refined_mortar_parent,Si1_branch_entry,0.16053213653272963,0.16108645794139576,0.16164077935006216,34612587.23200973,0.011086457941395761,area-weighted native captured primal trace
refined_mortar_parent,Si1_branch_exit,0.15000011169273691,0.15000011757128387,0.15000012344982921,367.0644651792721,1.1757128387523963e-07,area-weighted native captured primal trace
refined_mortar_parent,Si2_branch_entry,0.150286780446336,0.15030187411137574,0.15031696777641557,942469.0976615141,0.0003018741113757495,area-weighted native captured primal trace
refined_mortar_parent,Si2_branch_exit,0.15000008679427518,0.15000009136238066,0.1500000959304861,285.2387556443254,9.136238066087543e-08,area-weighted native captured primal trace
refined_mortar_parent,SiO2_2_bath_side,0.15000000000000507,0.15000000000000507,0.15000000000000507,0.0,5.079270337660091e-15,area-weighted native captured primal trace
refined_mortar_parent,bath,0.15000007433615545,0.15000007824857392,0.15000008216099228,244.29675929888114,7.824857392590978e-08,area-weighted native captured primal trace
membrane_substrate_control,TES_trace,0.16552654601290398,0.16634375833222656,0.16716097065154864,51027855.4055396,0.016343758332226566,area-weighted native captured primal trace
membrane_substrate_control,Membrane_trace,0.16552648452577262,0.16634369360576218,0.16716090268575118,51027653.13715148,0.016343693605762183,area-weighted native captured primal trace
membrane_substrate_control,Si1_branch_entry,0.16091239467054863,0.1614867492837821,0.16206110389701667,35863487.93654225,0.0114867492837821,area-weighted native captured primal trace
membrane_substrate_control,Si1_branch_exit,0.15000011558349335,0.15000012166702448,0.15000012775055596,379.864018665772,1.216670244830187e-07,area-weighted native captured primal trace
membrane_substrate_control,Si2_branch_entry,0.15029713169980713,0.15031277070184773,0.15032840970388592,976520.6860989428,0.0003127707018477366,area-weighted native captured primal trace
membrane_substrate_control,Si2_branch_exit,0.150000086790988,0.1500000913590775,0.15000009592716526,285.2377045215291,9.135907749757699e-08,area-weighted native captured primal trace
membrane_substrate_control,SiO2_2_bath_side,0.15000000000000568,0.15000000000000568,0.15000000000000568,0.0,5.689893001203927e-15,area-weighted native captured primal trace
membrane_substrate_control,bath,0.15000007450468011,0.15000007842610408,0.15000008234752477,244.85897567996227,7.842610408315132e-08,area-weighted native captured primal trace
