route,point,I_squared_R_W,heat_source_W_per_m3,integrated_source_W,tes_volume_m3,injection_semantics
historical,gate3_selected,3.199536542186167e-10,7998.841355465418,3.199536542186167e-10,4e-14,TES Parallel Power / TES Volume
current_phase24,gate3_selected,3.199536542186167e-10,7998.841355465418,3.199536542186167e-10,4e-14,TES Parallel Power / TES Volume
historical,refined_selected,4.232478797334936e-10,10581.19699333734,4.232478797334936e-10,4e-14,TES Parallel Power / TES Volume
current_phase24,refined_selected,4.232478797334936e-10,10581.19699333734,4.232478797334936e-10,4e-14,TES Parallel Power / TES Volume
historical,requested_168p57mK_143p6uA,3.208846465475928e-10,8022.11616368982,3.208846465475928e-10,4e-14,TES Parallel Power / TES Volume
current_phase24,requested_168p57mK_143p6uA,3.208846465475928e-10,8022.11616368982,3.208846465475928e-10,4e-14,TES Parallel Power / TES Volume
historical,requested_166p56mK_218p6uA,4.247393242818031e-10,10618.483107045076,4.247393242818031e-10,4e-14,TES Parallel Power / TES Volume
current_phase24,requested_166p56mK_218p6uA,4.247393242818031e-10,10618.483107045076,4.247393242818031e-10,4e-14,TES Parallel Power / TES Volume
current_phase24,gate3_checkpoint,3.199536544517091e-10,7998.841361292727,3.1990633149344825e-10,4e-14,reported relaxed power; raw_minus_integrated_W=4.7322958260829757e-14
current_phase24,full_nonlinear_refined,4.2324787923204033e-10,10581.196980801009,4.2324271156482167e-10,4e-14,reported relaxed power; raw_minus_integrated_W=5.1676672186586007e-15
