case,constraint_row_local,classification,coefficient_count,support_node_count,side_a_node_count,side_b_node_count,coefficient_l1,coefficient_l2,coefficient_max_abs,support_x_span_m,support_y_span_m
historical,1,Stycast_to_substrate,16,16,5,11,1.3657835042343215e-10,5.22586641929755e-11,3.4155557729879986e-11,3.53967002827e-05,2.6655407916999978e-05
historical,2,Stycast_to_substrate,16,16,5,11,1.1232744535211774e-10,4.484233399880654e-11,2.8081861338029406e-11,3.78665278965e-05,2.6478085874999955e-05
historical,3,Stycast_to_substrate,13,13,5,8,1.1736126164913838e-10,4.620543315409592e-11,2.934892004501414e-11,3.2305192433300004e-05,2.033635361600001e-05
historical,4,Stycast_to_substrate,17,17,6,11,1.3920043139398498e-10,5.2955551094064983e-11,3.480010784849614e-11,3.3442860087810003e-05,3.378597093499998e-05
historical,5,Stycast_to_substrate,16,16,5,11,1.290696322652311e-10,5.036837636092936e-11,3.2267408066307746e-11,3.32284255745e-05,2.7448309023999978e-05
historical,6,Stycast_to_substrate,16,16,5,11,1.1569914617694477e-10,4.6804193638853255e-11,3.058399171098507e-11,4.0493069041e-05,2.4455557929000033e-05
historical,7,Stycast_to_substrate,18,18,6,12,1.5044155005386182e-10,5.572089392992973e-11,3.761039917799295e-11,3.953246411349999e-05,2.7078983511000005e-05
historical,8,Stycast_to_substrate,15,15,5,10,1.0539259622376353e-10,4.399577794092614e-11,3.060431012413994e-11,4.1144279330099996e-05,2.0898549212000086e-05
historical,9,Stycast_to_substrate,15,15,5,10,8.541550743840042e-11,3.3271098546388194e-11,2.1254790519780865e-11,3.71021343166e-05,2.491452271000008e-05
historical,10,Stycast_to_substrate,13,13,5,8,9.161884415278487e-11,3.615753282513241e-11,2.290471103819622e-11,3.1473627984699996e-05,2.668817753500002e-05
historical,11,Stycast_to_substrate,14,14,5,9,1.2276784042455471e-10,4.8409082331577084e-11,3.069196010613867e-11,2.403029933848e-05,3.378597093499998e-05
historical,12,Stycast_to_substrate,15,15,6,9,1.972592770963368e-10,7.968505808822053e-11,5.590748227225334e-11,3.216411463429e-05,2.6655407916999978e-05
