interface,side,boundary_id,parent_element,element_type,face_type,face_node_count,face_area_m2,element_volume_m3,centroid_to_face_h_m,local_kA_over_h_W_K,local_face_block_diagonal_W_K,local_matrix_trace_W_K,local_face_block_trace_fraction,face_temperature_K,element_temperature_K,abs_element_face_deltaT_K,abs_normal_gradient_K_m,abs_normal_flux_W_m2,abs_face_heatflow_proxy_W,case
TES_to_Stycast,side_a,25,437736,706,303,3,9.410251084663323e-11,1.505640173546114e-17,8.000000000001279e-08,3.165302631719985e-09,1.583174767429518e-09,3.1663495348590356e-09,0.5000000000000001,0.1670539856835497,0.1670539856838168,2.6709190414919703e-13,3.3386586687866415e-06,8.984130158184726e-12,8.454292056581429e-22,historical
TES_to_Stycast,side_a,25,431119,706,303,3,1.0658060430807195e-10,1.705289668929133e-17,8.000000000001279e-08,3.585025141958966e-09,1.7930407634985367e-09,3.5860815269970735e-09,0.5,0.16705391305110032,0.1670539130512778,1.774969060619469e-13,2.218787635322535e-06,5.970624399394822e-12,6.363527565840193e-22,historical
TES_to_Stycast,side_a,25,434099,706,303,3,9.44564254152429e-11,1.511302806643874e-17,8.000000000001279e-08,3.1772071675856637e-09,1.5891245231862142e-09,3.1782490463724283e-09,0.5,0.16705391793701407,0.16705391793676125,2.5282553828276377e-13,3.1600866905950138e-06,8.503603679189747e-12,8.032200066841714e-22,historical
TES_to_Stycast,side_a,25,394981,706,303,3,7.415519337909475e-11,1.1864830940655015e-17,8.000000000001279e-08,2.4943397008938665e-09,1.2476729243054526e-09,2.4953458486109052e-09,0.5,0.16705356760098264,0.16705356760229884,1.3161971512687387e-12,1.645278661623127e-05,4.427346161708138e-11,3.2831071077765983e-21,historical
TES_to_Stycast,side_a,25,461761,706,303,3,4.807159369616225e-11,7.691454991385871e-18,8.000000000001279e-08,1.6169721792591275e-09,8.089969867622654e-10,1.6179939735245308e-09,0.5,0.16705355728111773,0.16705355727633753,4.78020401040169e-12,5.9753100189633996e-05,1.607920074242937e-10,7.729528050490952e-21,historical
TES_to_Stycast,side_a,25,341529,706,303,3,8.646086486575538e-11,1.3833738378520688e-17,8.000000000001279e-08,2.9082624962727324e-09,1.454634695977025e-09,2.90926939195405e-09,0.5,0.16705353961660455,0.16705353962848457,1.1880024741728334e-11,0.00014850004275534338,3.9960470505206375e-10,3.455016840322652e-20,historical
TES_to_Stycast,side_a,25,327957,706,303,3,7.821141872168804e-11,1.2513826995469984e-17,8.000000000001279e-08,2.6307779386863204e-09,1.3159104369921535e-09,2.6318208739843074e-09,0.49999999999999994,0.16705278863602746,0.16705278870302787,6.700040522389372e-11,0.0008375051789735362,2.253676186307048e-09,1.7626321187035755e-19,historical
TES_to_Stycast,side_a,25,330728,706,303,3,8.465785532113443e-11,1.3545256851381401e-17,8.000000000001279e-08,2.8476151149727134e-09,1.424319321227887e-09,2.848638642455774e-09,0.5,0.16705264227027186,0.16705264224708724,2.318462088979345e-11,0.00028980814697004975,7.798563350075857e-10,6.602096478034233e-20,historical
TES_to_Stycast,side_a,25,456326,706,303,3,7.475007387067576e-11,1.1960011819307981e-17,8.000000000001279e-08,2.514349547269051e-09,1.2576879110880614e-09,2.515375822176123e-09,0.5,0.16705365017441431,0.16705365020354337,2.912906027496831e-11,0.00036411385950207596,9.798085490885163e-10,7.324076142348622e-20,historical
TES_to_Stycast,side_a,25,416511,706,303,3,5.4911943957529076e-11,8.785911033204594e-18,8.000000000001279e-08,1.847059330913121e-09,9.240656883341055e-10,1.8481313766682113e-09,0.49999999999999994,0.16705343432141642,0.16705343435521022,3.3793801090808984e-11,0.00042242276382180354,1.1367143120786441e-09,6.241919260058372e-20,historical
TES_to_Stycast,side_a,25,497549,706,303,3,6.552051562687597e-11,1.0483282500300062e-17,8.000000000001279e-08,2.2038972040119684e-09,1.1024487451658643e-09,2.2048974903317287e-09,0.5,0.1670525604336449,0.16705256043316422,4.806710585114615e-13,6.008399718158367e-06,1.6168243137581078e-11,1.0593516271550112e-21,historical
TES_to_Stycast,side_a,25,357831,706,303,3,9.067987806346968e-11,1.450878049015499e-17,8.000000000001279e-08,3.050176388450926e-09,1.525606596425626e-09,3.0512131928512517e-09,0.5000000000000001,0.16705351650091851,0.16705351650302047,2.1019574969471932e-12,2.6274676220322535e-05,7.070357722831472e-11,6.4113917617146905e-21,historical
TES_to_Stycast,side_a,25,469797,706,303,3,6.420056781351523e-11,1.0272090850162349e-17,8.000000000001279e-08,2.1594984494009138e-09,1.0802546222257091e-09,2.1605092444514182e-09,0.5,0.16705301932676045,0.16705301932432437,2.436079116208134e-12,3.045113318680525e-05,8.194217233770172e-11,5.260733991953372e-21,historical
TES_to_Stycast,side_a,25,468900,706,303,3,8.337237084589453e-11,1.3339579335342973e-17,8.000000000001279e-08,2.8043755950501947e-09,1.4026866239240072e-09,2.8053732478480144e-09,0.5,0.16705309445514707,0.16705309445232353,2.8235469518023137e-12,3.529500432371399e-05,9.497673893485493e-11,7.918435900210435e-21,historical
TES_to_Stycast,side_a,25,374519,706,303,3,5.584194408861471e-11,8.934711054178264e-18,8.000000000001279e-08,1.878341512822411e-09,9.396832942414447e-10,1.8793665884828898e-09,0.4999999999999999,0.16705327474592768,0.1670532747491784,3.2507052605268427e-12,4.063388138802321e-05,1.0934333678228719e-10,6.10594449905905e-21,historical
TES_to_Stycast,side_a,25,438933,706,303,3,6.483073054232575e-11,1.0372916886772039e-17,8.000000000001279e-08,2.180695075569227e-09,1.0908594222265005e-09,2.181718844453001e-09,0.5,0.16705389432197879,0.16705389432248052,5.017375404037239e-13,6.272140877774056e-06,1.687795477363732e-11,1.0942101380352417e-21,historical
TES_to_Stycast,side_a,25,366589,706,303,3,6.013780953230373e-11,9.622049525168487e-18,8.000000000001279e-08,2.0228404647853945e-09,1.0119196017599833e-09,2.0238392035199667e-09,0.5,0.16705360201295716,0.16705360200907116,3.886002630792973e-12,4.857480835525807e-05,1.3071189479549815e-10,7.860727032818192e-21,historical
TES_to_Stycast,side_a,25,444307,706,303,3,8.392560919207054e-11,1.3428097470731181e-17,8.000000000001279e-08,2.8229847349909277e-09,1.4120162971360984e-09,2.8240325942721968e-09,0.5,0.1670525196157845,0.16705251961459056,1.1939338406818933e-12,1.4923785990308448e-05,4.015901267276062e-11,3.3703696031135162e-21,historical
TES_to_Stycast,side_a,25,502210,706,303,3,6.471133977506876e-11,1.035381436401088e-17,8.000000000001279e-08,2.1766791581786963e-09,1.0888859188113615e-09,2.177771837622723e-09,0.5,0.16705251115302241,0.16705251115381048,7.880640584545517e-13,9.851109961848178e-06,2.6508745840735738e-11,1.715416459110791e-21,historical
TES_to_Stycast,side_a,25,425373,706,303,3,6.471133980473786e-11,1.0353814368757947e-17,8.000000000001279e-08,2.1766791591766686e-09,1.088885919310343e-09,2.1777718386206866e-09,0.4999999999999999,0.16705247779312749,0.16705247777572188,1.740560473528774e-11,0.00021756921324126626,5.85465698679453e-10,3.7886269771264354e-20,historical
TES_to_Stycast,side_a,25,428809,706,303,3,8.569859652470154e-11,1.3711775443952105e-17,8.000000000001279e-08,2.882622266651794e-09,1.4418275964622691e-09,2.8836551929245382e-09,0.5,0.16705398524550605,0.16705398524543535,7.069345109300684e-14,8.837522497694996e-07,2.3781242789947375e-12,2.0380191307116675e-22,historical
TES_to_Stycast,side_a,25,310756,706,303,3,6.863628869367596e-11,1.0981806190988018e-17,8.000000000001279e-08,2.308701683716636e-09,1.1549155803771006e-09,2.3098311607542012e-09,0.5,0.16705301767244105,0.16705301768170847,9.2674201646048e-12,0.00011584346704760352,3.1172781921707823e-10,2.139584059363341e-20,historical
TES_to_Stycast,side_a,25,421851,706,303,3,7.906657527406985e-11,1.265065204385107e-17,8.000000000001279e-08,2.659542625849644e-09,1.3302837373277802e-09,2.6605674746555604e-09,0.5,0.16705258161089867,0.16705258158776892,2.3129748116801352e-11,0.0002891222685895969,7.7801067743849e-10,6.151463979172044e-20,historical
TES_to_Stycast,side_a,25,500088,706,303,3,8.157709435370589e-11,1.3052335096592791e-17,8.000000000001279e-08,2.7439883285015784e-09,1.3725028941573219e-09,2.7450057883146438e-09,0.5,0.16705260943269282,0.16705260942962616,3.0666580386196074e-12,3.833271409495599e-05,1.0315103366668088e-10,8.414761606109119e-21,historical
TES_to_Stycast,side_a,25,498523,706,303,3,7.552662762996377e-11,1.2084260420794063e-17,8.000000000001279e-08,2.5404702919317776e-09,1.2707439489289565e-09,2.5414878978579135e-09,0.49999999999999994,0.16705269937618114,0.1670526993736504,2.5307533846330443e-12,3.1634391726426906e-05,8.512625007231123e-11,6.4292985907466254e-21,historical
TES_to_Stycast,side_a,25,421894,706,303,3,7.54269223348307e-11,1.2068307573572814e-17,8.000000000001279e-08,2.5371165298457115e-09,1.2690660027776289e-09,2.5381320055552577e-09,0.5,0.1670527206403024,0.16705272064520038,4.897970917738803e-12,6.122472163017307e-05,1.647520524234979e-10,1.2426740262651134e-20,historical
TES_to_Stycast,side_a,25,448891,706,303,3,6.459203930111906e-11,1.0334726288178926e-17,8.000000000001279e-08,2.17266627796157e-09,1.086837358460213e-09,2.173674716920426e-09,0.5,0.1670525147376053,0.16705251473573834,1.8669510382096632e-12,2.333652227033212e-05,6.279718123812751e-11,4.056197998532629e-21,historical
TES_to_Stycast,side_a,25,401630,706,303,3,8.682544545684218e-11,1.389207127309462e-17,8.000000000001279e-08,2.92052580246997e-09,1.4608102274016442e-09,2.921620454803288e-09,0.5000000000000001,0.16705362889139716,0.16705362888842726,2.969902102023525e-12,3.712347081075376e-05,9.989703254348973e-11,8.673604350405157e-21,historical
TES_to_Stycast,side_a,25,402430,706,303,3,7.538476038548192e-11,1.2061561661677e-17,8.000000000001279e-08,2.5356983388959537e-09,1.2683534356882728e-09,2.5367068713765455e-09,0.5,0.1670525823782173,0.1670525823779928,2.2448709557920665e-13,2.805862852701003e-06,7.550408584847238e-12,5.691857419811946e-22,historical
TES_to_Stycast,side_a,25,397745,706,303,3,8.501230616129656e-11,1.360196898580737e-17,8.000000000001279e-08,2.859537689270535e-09,1.4302720006598884e-09,2.8605440013197768e-09,0.5,0.16705250227878865,0.16705250227766907,1.1195766536076235e-12,1.3994417314585695e-05,3.765813732851123e-11,3.2014051000355472e-21,historical
TES_to_Stycast,side_a,25,464418,706,303,3,7.72624345214269e-11,1.2361989523428208e-17,8.000000000001279e-08,2.5988571943881914e-09,1.299934183784336e-09,2.599868367568672e-09,0.5,0.16705291866873037,0.1670529186673441,1.3862799796982017e-12,1.732819400566705e-05,4.662913037760969e-11,3.602680132591147e-21,historical
