case,branch_id,branch,dQ_dP,d_dT_dP_K_per_W,G_own_differential_W_per_K,R_own_differential_K_per_W,G_exitflow_common_dT_W_per_K,G_dissipation_W_per_K,definition,G_historical_W_per_K,G_case_W_per_K,ratio_case_over_historical,excess_W_per_K
historical,A,Membrane_SiNx,0.029863694591928235,53204146.53504609,5.613038933395299e-10,1781566121.0728586,5.609276786862222e-10,9.632725971203114e-10,G_dissipation = sum_e T_e^T K_e T_e / dT_src^2 = dG/dln(k_sheet); sum over all bodies = G_src exactly,,,,
historical,B,Membrane_Si1,0.447993898254052,52615894.21560559,8.514421448741233e-09,117447792.08079244,8.414637936610051e-09,9.29791470802372e-09,G_dissipation = sum_e T_e^T K_e T_e / dT_src^2 = dG/dln(k_sheet); sum over all bodies = G_src exactly,,,,
historical,C,SiO2_1,0.522142548804999,52128377.497853644,1.0016474209781378e-08,99835528.85540013,9.807366834599872e-09,8.493295783667595e-09,G_dissipation = sum_e T_e^T K_e T_e / dT_src^2 = dG/dln(k_sheet); sum over all bodies = G_src exactly,,,,
best_phase24,A,Membrane_SiNx,0.007325623863078171,50920086.15930959,1.438651113071388e-10,6950955592.458354,1.4356127551084608e-10,1.1894019906065352e-09,G_dissipation = sum_e T_e^T K_e T_e / dT_src^2 = dG/dln(k_sheet); sum over all bodies = G_src exactly,,,,
best_phase24,B,Membrane_Si1,0.45780394164338695,50610946.630249955,9.04555184450471e-09,110551574.65130365,8.971647716856033e-09,9.460919250058342e-09,G_dissipation = sum_e T_e^T K_e T_e / dT_src^2 = dG/dln(k_sheet); sum over all bodies = G_src exactly,,,,
best_phase24,C,SiO2_1,0.534867180797889,50176325.38919094,1.0659751917845918e-08,93810813.58243056,1.0481866765786352e-08,8.943081816213929e-09,G_dissipation = sum_e T_e^T K_e T_e / dT_src^2 = dG/dln(k_sheet); sum over all bodies = G_src exactly,,,,
refined_parent,A,Membrane_SiNx,0.03013836327408695,49162207.389382154,6.13039260734987e-10,1631216895.9636889,6.11778429620763e-10,1.0732012140999286e-09,G_dissipation = sum_e T_e^T K_e T_e / dT_src^2 = dG/dln(k_sheet); sum over all bodies = G_src exactly,,,,
refined_parent,B,Membrane_Si1,0.4464985613407442,48886319.17170322,9.133405192002882e-09,109488189.67055026,9.063471237984548e-09,1.0116691624641767e-08,G_dissipation = sum_e T_e^T K_e T_e / dT_src^2 = dG/dln(k_sheet); sum over all bodies = G_src exactly,,,,
refined_parent,C,SiO2_1,0.5233633578370477,48639628.37779761,1.0760019664869517e-08,92936633.12390672,1.0623749215509141e-08,9.105237208530278e-09,G_dissipation = sum_e T_e^T K_e T_e / dT_src^2 = dG/dln(k_sheet); sum over all bodies = G_src exactly,,,,
best_phase24_vs_historical,,Membrane_SiNx,,,,,,,,9.632725971203114e-10,1.1894019906065352e-09,1.234751195209159,2.2612939348622372e-10
best_phase24_vs_historical,,Membrane_Si1,,,,,,,,9.29791470802372e-09,9.460919250058342e-09,1.017531301066244,1.6300454203462144e-10
best_phase24_vs_historical,,SiO2_1,,,,,,,,8.493295783667595e-09,8.943081816213929e-09,1.0529577732841073,4.497860325463331e-10
best_phase24_vs_historical,,SiO2_1_frame,,,,,,,,5.91896757387776e-13,4.175227123608998e-13,0.7053978707427914,-1.7437404502687622e-13
best_phase24_vs_historical,,TES,,,,,,,,2.6547300224611402e-11,1.5521852977251459e-12,0.058468668549811705,-2.4995114926886257e-11
best_phase24_vs_historical,,Stycast,,,,,,,,2.8905780487074265e-17,2.959946388862694e-17,1.023998085845247,6.936834015526758e-19
best_phase24_vs_historical,,abs,,,,,,,,-5.62364487565497e-20,-7.10885044854677e-22,0.012641001709267467,5.552556371169502e-20
best_phase24_vs_historical,,SiNx,,,,,,,,1.0881132577753158e-14,3.034115430096007e-13,27.88418768372842,2.9253041043184753e-13
best_phase24_vs_historical,,Si_1,,,,,,,,7.339775401903648e-13,7.346351536159585e-13,1.000895958513149,6.576134255936528e-16
best_phase24_vs_historical,,Si_2,,,,,,,,4.1333571882459553e-13,5.049541499737681e-13,1.221656215460179,9.161843114917254e-14
best_phase24_vs_historical,,SiO2_2,,,,,,,,1.4588631800843883e-13,1.5983920686296403e-13,1.0956422030866397,1.3952888854525198e-14
best_phase24_vs_historical,,G_src,,,,,,,,1.8782911687990985e-08,1.9597724689673432e-08,1.0433805479798643,8.148130016824466e-10
best_phase24_vs_historical,,G_eff,,,,,,,,1.8782944616314638e-08,1.959750657703143e-08,1.0433671065616237,8.145619607167927e-10
refined_parent_vs_historical,,Membrane_SiNx,,,,,,,,9.632725971203114e-10,1.0732012140999286e-09,1.1141199462210873,1.099286169796171e-10
refined_parent_vs_historical,,Membrane_Si1,,,,,,,,9.29791470802372e-09,1.0116691624641767e-08,1.088060273978581,8.187769166180459e-10
refined_parent_vs_historical,,SiO2_1,,,,,,,,8.493295783667595e-09,9.105237208530278e-09,1.0720499368501248,6.119414248626821e-10
refined_parent_vs_historical,,SiO2_1_frame,,,,,,,,5.91896757387776e-13,4.588923131689732e-13,0.7752911423171287,-1.3300444421880277e-13
refined_parent_vs_historical,,TES,,,,,,,,2.6547300224611402e-11,1.7748294558291865e-12,0.06685536535966781,-2.4772470768782217e-11
refined_parent_vs_historical,,Stycast,,,,,,,,2.8905780487074265e-17,3.292777119070702e-17,1.1391413978747698,4.021990703632756e-18
refined_parent_vs_historical,,abs,,,,,,,,-5.62364487565497e-20,8.935920788114912e-22,-0.015889909454985224,5.713004083536119e-20
refined_parent_vs_historical,,SiNx,,,,,,,,1.0881132577753158e-14,1.2277590327892712e-13,11.28337536571759,1.1189477070117397e-13
refined_parent_vs_historical,,Si_1,,,,,,,,7.339775401903648e-13,8.003663008540467e-13,1.0904506705293233,6.638876066368184e-14
refined_parent_vs_historical,,Si_2,,,,,,,,4.1333571882459553e-13,5.401114001349608e-13,1.3067135878575358,1.2677568131036527e-13
refined_parent_vs_historical,,SiO2_2,,,,,,,,1.4588631800843883e-13,1.7141951848755758e-13,1.1750212139677263,2.5533200479118745e-14
refined_parent_vs_historical,,G_src,,,,,,,,1.8782911687990985e-08,2.029893864311106e-08,1.080713096047263,1.5160269551200756e-09
refined_parent_vs_historical,,G_eff,,,,,,,,1.8782944616314638e-08,2.0299398582083175e-08,1.0807356885060164,1.5164539657685375e-09
