case,P_fraction,branch_id,sheet,hot_trace,T_hot_K,cold_trace,T_cold_K,dT_K,native_residual_primal_inf,native_balance_rel,T_TES_bottom_K,T_Membrane_top_under_TES_K,T_MembraneSiNx_sidewall_to_SiNx_K,T_MembraneSi1_sidewall_to_Si_1_K,T_frame_top_SiNx_K,T_bath_K,T_TES_average_harness_K,T_TES_source_weighted_K,dT_TES_trace_jump_K
historical,0.95,A,Membrane_SiNx,sheet nodes inside TES footprint (mean),0.16619134298754917,sheet nodes on window perimeter (mean),0.15000207381870714,0.01618926916884203,2.579899312861796e-17,1.181863580311937e-06,,,,,,,,,
historical,0.95,B,Membrane_Si1,sheet nodes inside TES footprint (mean),0.16601204637099215,sheet nodes on window perimeter (mean),0.15000177429231507,0.016010272078677085,2.579899312861796e-17,1.181863580311937e-06,,,,,,,,,
historical,0.95,C,SiO2_1,sheet nodes inside TES footprint (mean),0.16586325242581362,sheet nodes on window perimeter (mean),0.15000132494995905,0.015861927475854576,2.579899312861796e-17,1.181863580311937e-06,,,,,,,,,
historical,0.95,nodes,,,,,,,,,0.1662001226113481,0.1661985860306458,0.15000207381870712,0.15000177385433427,0.15000011375443772,0.15,0.1662001143989125,0.16620012261206413,1.5365807022882372e-06
historical,1.0,A,Membrane_SiNx,sheet nodes inside TES footprint (mean),0.16704351780937457,sheet nodes on window perimeter (mean),0.1500021829669489,0.017041334842425676,2.929014736754892e-17,1.1298965400572435e-06,,,,,,,,,
historical,1.0,B,Membrane_Si1,sheet nodes inside TES footprint (mean),0.16685478455337877,sheet nodes on window perimeter (mean),0.15000186767602616,0.016852916877352603,2.929014736754892e-17,1.1298965400572435e-06,,,,,,,,,
historical,1.0,C,SiO2_1,sheet nodes inside TES footprint (mean),0.1666981593667844,sheet nodes on window perimeter (mean),0.15000139468409643,0.016696764682687965,2.929014736754892e-17,1.1298965400572435e-06,,,,,,,,,
historical,1.0,nodes,,,,,,,,,0.1670527595251443,0.16705114206634694,0.15000218296694887,0.15000186721499376,0.1500001197415072,0.15,0.16705275088046675,0.167052759525898,1.617458797370519e-06
historical,1.05,A,Membrane_SiNx,sheet nodes inside TES footprint (mean),0.16789569263119286,sheet nodes on window perimeter (mean),0.1500022921151906,0.017893400516002272,1.5719394644609778e-17,1.082734963774386e-06,,,,,,,,,
historical,1.05,B,Membrane_Si1,sheet nodes inside TES footprint (mean),0.16769752273576963,sheet nodes on window perimeter (mean),0.15000196105973723,0.017695561676032395,1.5719394644609778e-17,1.082734963774386e-06,,,,,,,,,
historical,1.05,C,SiO2_1,sheet nodes inside TES footprint (mean),0.16753306630775802,sheet nodes on window perimeter (mean),0.15000146441823384,0.017531601889524184,1.5719394644609778e-17,1.082734963774386e-06,,,,,,,,,
historical,1.05,nodes,,,,,,,,,0.16790539643890726,0.16790369810205397,0.1500022921151906,0.1500019605756532,0.15000012572857663,0.15,0.1679053873619883,0.16790539643969854,1.6983368532896836e-06
best_phase24,0.95,A,Membrane_SiNx,sheet nodes inside TES footprint (mean),0.16549695180947255,sheet nodes on window perimeter (mean),0.15000319732560463,0.015493754483867916,1.2414392312043295e-16,-3.4430591011257004e-05,,,,,,,,,
best_phase24,0.95,B,Membrane_Si1,sheet nodes inside TES footprint (mean),0.16540138529150986,sheet nodes on window perimeter (mean),0.15000169450895162,0.015399690782558234,1.2414392312043295e-16,-3.4430591011257004e-05,,,,,,,,,
