case,operator,mode,s_bin_um,trace_nodes,input_mean,reaction_W_per_K,reaction_density_W_per_K_m2,area_m2,energy_W_per_K,normalized_response_W_per_K_m2
historical,Lambda_membrane_trace_to_bath,constant,0-50,84,1.0,4.504347314780525e-14,4.397474130377873e-06,1.0243033116816694e-08,,
historical,Lambda_membrane_trace_to_bath,constant,50-100,243,1.0,1.208812293410063e-12,4.016017590197327e-05,3.009977586653618e-08,,
historical,Lambda_membrane_trace_to_bath,constant,100-150,418,1.0,2.4137873663053232e-11,0.00048726163760276335,4.9537808438618484e-08,,
historical,Lambda_membrane_trace_to_bath,constant,150-200,602,1.0,4.5504415419508555e-10,0.006505624100228092,6.994627220763207e-08,,
historical,Lambda_membrane_trace_to_bath,constant,200-225,368,1.0,1.580661186535787e-09,0.03701496989802074,4.270329520436292e-08,,
historical,Lambda_membrane_trace_to_bath,constant,225-240,244,1.0,2.8649507816479074e-09,0.10210320474387236,2.8059361984128564e-08,,
historical,Lambda_membrane_trace_to_bath,constant,240-250,165,1.0,4.213707613146953e-09,0.2795578056921751,1.507275964881025e-08,,
historical,Lambda_membrane_trace_to_bath,linear_x,0-50,84,0.00015534820552864483,1.97625846256033e-16,1.9293684204884292e-08,1.0243033116816694e-08,,
historical,Lambda_membrane_trace_to_bath,linear_x,50-100,243,-0.01016399977317995,-9.471518796253035e-14,-3.1467074167761893e-06,3.009977586653618e-08,,
historical,Lambda_membrane_trace_to_bath,linear_x,100-150,418,0.0113138103116141,7.55915115843945e-13,1.5259357239846155e-05,4.9537808438618484e-08,,
historical,Lambda_membrane_trace_to_bath,linear_x,150-200,602,-0.002011612310990297,-8.081442433024842e-12,-0.00011553785752921154,6.994627220763207e-08,,
historical,Lambda_membrane_trace_to_bath,linear_x,200-225,368,-0.0032389952099329913,-4.583324066301209e-11,-0.0010732951741468744,4.270329520436292e-08,,
historical,Lambda_membrane_trace_to_bath,linear_x,225-240,244,0.013475165895995707,-4.5049137545601535e-11,-0.001605494008419829,2.8059361984128564e-08,,
historical,Lambda_membrane_trace_to_bath,linear_x,240-250,165,-0.03134592989670125,-6.657802524983055e-11,-0.004417109195732834,1.507275964881025e-08,,
historical,Lambda_membrane_trace_to_bath,linear_y,0-50,84,-0.002422905831135937,-5.635727644488664e-16,-5.502010566807698e-08,1.0243033116816694e-08,,
historical,Lambda_membrane_trace_to_bath,linear_y,50-100,243,-0.0037698769531865485,-3.055525856698309e-14,-1.0151324283099829e-06,3.009977586653618e-08,,
historical,Lambda_membrane_trace_to_bath,linear_y,100-150,418,0.002388126864646,2.7383844136160613e-13,5.527867501464362e-06,4.9537808438618484e-08,,
historical,Lambda_membrane_trace_to_bath,linear_y,150-200,602,0.0008261804215840085,1.9769997008809982e-12,2.8264547037079716e-05,6.994627220763207e-08,,
historical,Lambda_membrane_trace_to_bath,linear_y,200-225,368,-0.00439330332928394,-6.140255584737429e-12,-0.00014378880026359394,4.270329520436292e-08,,
historical,Lambda_membrane_trace_to_bath,linear_y,225-240,244,0.0036636704717263866,2.78776480742164e-11,0.00099352394719399,2.8059361984128564e-08,,
historical,Lambda_membrane_trace_to_bath,linear_y,240-250,165,0.019176418763369844,7.211596752416984e-11,0.0047845231533206484,1.507275964881025e-08,,
historical,Lambda_membrane_trace_to_bath,radial_quadratic,0-50,84,0.027414001650600834,-6.202615472135122e-10,-0.060554480312592765,1.0243033116816694e-08,,
historical,Lambda_membrane_trace_to_bath,radial_quadratic,50-100,243,0.13504445708370885,-1.8199188034301737e-09,-0.06046286894293762,3.009977586653618e-08,,
historical,Lambda_membrane_trace_to_bath,radial_quadratic,100-150,418,0.3469605408357842,-2.9528438284753914e-09,-0.059607881768411565,4.9537808438618484e-08,,
historical,Lambda_membrane_trace_to_bath,radial_quadratic,150-200,602,0.6664047112036076,-3.2981634322283703e-09,-0.04715281212468242,6.994627220763207e-08,,
historical,Lambda_membrane_trace_to_bath,radial_quadratic,200-225,368,0.9644074709697062,7.663920530622186e-10,0.017946906658948363,4.270329520436292e-08,,
historical,Lambda_membrane_trace_to_bath,radial_quadratic,225-240,244,1.1597534874435989,4.532329726164996e-09,0.1615264712265608,2.8059361984128564e-08,,
historical,Lambda_membrane_trace_to_bath,radial_quadratic,240-250,165,1.2693276144273757,7.994557243631187e-09,0.5303977128211044,1.507275964881025e-08,,
historical,Lambda_membrane_trace_to_bath,constant,TOTAL,2313,,1.97567740182118e-08,,,1.9756774018211798e-08,0.07895038525421319
historical,Lambda_membrane_trace_to_bath,linear_x,TOTAL,2313,,2.060039641154858e-10,,,1.728682017887169e-08,0.20706178479370704
historical,Lambda_membrane_trace_to_bath,linear_y,TOTAL,2313,,-7.099996357370137e-11,,,1.726206177573274e-08,0.2060774304683981
historical,Lambda_membrane_trace_to_bath,radial_quadratic,TOTAL,2313,,2.651443600456116e-08,,,4.782969016439596e-08,0.30516361386703394
best_phase24,Lambda_membrane_trace_to_bath,constant,0-50,5,1.0,6.0130302869346e-14,6.8623342954302545e-06,8.762368646101632e-09,,
best_phase24,Lambda_membrane_trace_to_bath,constant,50-100,20,1.0,2.6962081168545477e-12,7.70193398721709e-05,3.500689724593132e-08,,
best_phase24,Lambda_membrane_trace_to_bath,constant,100-150,28,1.0,3.853208882253598e-11,0.0007949302065836372,4.84722916595847e-08,,
best_phase24,Lambda_membrane_trace_to_bath,constant,150-200,35,1.0,3.956737500203686e-10,0.006755141183637242,5.8573720261953405e-08,,
best_phase24,Lambda_membrane_trace_to_bath,constant,200-225,44,1.0,3.1557169541083085e-09,0.04813523519434949,6.555939617552242e-08,,
best_phase24,Lambda_membrane_trace_to_bath,constant,225-240,0,,0.0,,0.0,,
best_phase24,Lambda_membrane_trace_to_bath,constant,240-250,48,1.0,1.6006095016870552e-08,0.4760130804881682,3.3625326010906545e-08,,
best_phase24,Lambda_membrane_trace_to_bath,linear_x,0-50,5,0.01057562821078453,8.825922476493432e-15,1.0072530422946853e-06,8.762368646101632e-09,,
best_phase24,Lambda_membrane_trace_to_bath,linear_x,50-100,20,-0.006952146107317175,1.1189589769918341e-13,3.196395753473654e-06,3.500689724593132e-08,,
best_phase24,Lambda_membrane_trace_to_bath,linear_x,100-150,28,0.005026819255556006,-3.3013091422322366e-13,-6.810713975351009e-06,4.84722916595847e-08,,
best_phase24,Lambda_membrane_trace_to_bath,linear_x,150-200,35,-0.00800814779626054,-8.18363752540684e-12,-0.00013971517412259243,5.8573720261953405e-08,,
best_phase24,Lambda_membrane_trace_to_bath,linear_x,200-225,44,0.006887986138604565,2.523168002344805e-11,0.0003848674865139876,6.555939617552242e-08,,
best_phase24,Lambda_membrane_trace_to_bath,linear_x,225-240,0,,0.0,,0.0,,
best_phase24,Lambda_membrane_trace_to_bath,linear_x,240-250,48,-0.002244175742951786,2.7541813379439246e-11,0.0008190794453712038,3.3625326010906545e-08,,
best_phase24,Lambda_membrane_trace_to_bath,linear_y,0-50,5,0.005795467303293097,1.9509531414027044e-15,2.2265134237084185e-07,8.762368646101632e-09,,
best_phase24,Lambda_membrane_trace_to_bath,linear_y,50-100,20,0.03745765785599433,6.212689537885947e-13,1.7747044230285268e-05,3.500689724593132e-08,,
best_phase24,Lambda_membrane_trace_to_bath,linear_y,100-150,28,-0.035931855352198165,-2.987773329664595e-12,-6.163878841642936e-05,4.84722916595847e-08,,
best_phase24,Lambda_membrane_trace_to_bath,linear_y,150-200,35,-0.0067250204499773305,-1.9376362543562813e-11,-0.00033080300272729545,5.8573720261953405e-08,,
best_phase24,Lambda_membrane_trace_to_bath,linear_y,200-225,44,0.004905225789836712,-2.0406400708381786e-11,-0.00031126584286633225,6.555939617552242e-08,,
best_phase24,Lambda_membrane_trace_to_bath,linear_y,225-240,0,,0.0,,0.0,,
best_phase24,Lambda_membrane_trace_to_bath,linear_y,240-250,48,0.01344126143002534,2.750822847914078e-11,0.0008180806476112186,3.3625326010906545e-08,,
best_phase24,Lambda_membrane_trace_to_bath,radial_quadratic,0-50,5,0.022161422482973113,-5.303621747732488e-10,-0.06052726108587161,8.762368646101632e-09,,
best_phase24,Lambda_membrane_trace_to_bath,radial_quadratic,50-100,20,0.14261493563087943,-2.1143564718572867e-09,-0.06039828257281579,3.500689724593132e-08,,
best_phase24,Lambda_membrane_trace_to_bath,radial_quadratic,100-150,28,0.36322973194294417,-2.851775503179066e-09,-0.058833106617008246,4.84722916595847e-08,,
best_phase24,Lambda_membrane_trace_to_bath,radial_quadratic,150-200,35,0.6406090721879645,-2.71802131577986e-09,-0.046403426376612655,5.8573720261953405e-08,,
best_phase24,Lambda_membrane_trace_to_bath,radial_quadratic,200-225,44,0.9841795904271926,2.9107538696406762e-09,0.04439872908297849,6.555939617552242e-08,,
best_phase24,Lambda_membrane_trace_to_bath,radial_quadratic,225-240,0,,0.0,,0.0,,
best_phase24,Lambda_membrane_trace_to_bath,radial_quadratic,240-250,48,1.3012217012308265,3.166692495321076e-08,0.941758154045538,3.3625326010906545e-08,,
best_phase24,Lambda_membrane_trace_to_bath,constant,TOTAL,180,,1.959877414824149e-08,,,1.959877414824149e-08,0.07839509659296594
best_phase24,Lambda_membrane_trace_to_bath,linear_x,TOTAL,180,,4.4380446783433684e-11,,,1.726117446898771e-08,0.20475733947606173
best_phase24,Lambda_membrane_trace_to_bath,linear_y,TOTAL,180,,-1.4639088195538315e-11,,,1.7281049108227636e-08,0.20501480730145508
best_phase24,Lambda_membrane_trace_to_bath,radial_quadratic,TOTAL,180,,2.6363163357261978e-08,,,4.806603090471004e-08,0.29945030946691287
refined_parent,Lambda_membrane_trace_to_bath,constant,0-50,5,1.0,1.7178896960460523e-14,1.960531182182502e-06,8.762368646101632e-09,,
refined_parent,Lambda_membrane_trace_to_bath,constant,50-100,20,1.0,9.683008922194704e-13,2.7660050187861946e-05,3.500719939562473e-08,,
refined_parent,Lambda_membrane_trace_to_bath,constant,100-150,28,1.0,-2.8631211027033597e-11,-0.0005900337323439767,4.8524701991685846e-08,,
refined_parent,Lambda_membrane_trace_to_bath,constant,150-200,34,1.0,-2.705368715658807e-11,-0.00046537385865328003,5.813323342844666e-08,,
refined_parent,Lambda_membrane_trace_to_bath,constant,200-225,44,1.0,2.3464829474516162e-09,0.03558839939944919,6.593392754516331e-08,,
refined_parent,Lambda_membrane_trace_to_bath,constant,225-240,0,,0.0,,0.0,,
refined_parent,Lambda_membrane_trace_to_bath,constant,240-250,48,1.0,1.8008991027588353e-08,0.5353673347801388,3.3638568992977825e-08,,
refined_parent,Lambda_membrane_trace_to_bath,linear_x,0-50,5,0.010575628210784538,-4.3333716053975545e-15,-4.94543402636394e-07,8.762368646101632e-09,,
refined_parent,Lambda_membrane_trace_to_bath,linear_x,50-100,20,-0.006954640316731174,-2.2809111424793596e-13,-6.515548749565018e-06,3.500719939562473e-08,,
refined_parent,Lambda_membrane_trace_to_bath,linear_x,100-150,28,0.004440241734342025,-1.9426068425014416e-11,-0.0004003335956260556,4.8524701991685846e-08,,
refined_parent,Lambda_membrane_trace_to_bath,linear_x,150-200,34,-0.0019036387314514361,-8.236383267146666e-11,-0.0014168114831053437,5.813323342844666e-08,,
refined_parent,Lambda_membrane_trace_to_bath,linear_x,200-225,44,0.002427507364958987,-2.840851668992173e-11,-0.00043086340746897737,6.593392754516331e-08,,
refined_parent,Lambda_membrane_trace_to_bath,linear_x,225-240,0,,0.0,,0.0,,
refined_parent,Lambda_membrane_trace_to_bath,linear_x,240-250,48,-0.0033906584934040767,2.507559469320372e-10,0.007454417784073496,3.3638568992977825e-08,,
refined_parent,Lambda_membrane_trace_to_bath,linear_y,0-50,5,0.0057954673032930846,2.0293986546933633e-14,2.3160388893204583e-06,8.762368646101632e-09,,
refined_parent,Lambda_membrane_trace_to_bath,linear_y,50-100,20,0.03745614249828838,9.412463200746501e-13,2.6887221380876557e-05,3.500719939562473e-08,,
refined_parent,Lambda_membrane_trace_to_bath,linear_y,100-150,28,-0.03640675640611643,6.427979193769975e-11,0.001324681848612143,4.8524701991685846e-08,,
refined_parent,Lambda_membrane_trace_to_bath,linear_y,150-200,34,-0.0006432924418031524,3.0722532745909385e-10,0.005284848430755919,5.813323342844666e-08,,
refined_parent,Lambda_membrane_trace_to_bath,linear_y,200-225,44,0.0002497622046028934,-1.2011869185098986e-11,-0.00018218039835213998,6.593392754516331e-08,,
refined_parent,Lambda_membrane_trace_to_bath,linear_y,225-240,0,,0.0,,0.0,,
refined_parent,Lambda_membrane_trace_to_bath,linear_y,240-250,48,0.01265033603966408,-6.84471408431237e-10,-0.020347815882837433,3.3638568992977825e-08,,
refined_parent,Lambda_membrane_trace_to_bath,radial_quadratic,0-50,5,0.022161422482973113,-5.245524203627824e-10,-0.059864226392272964,8.762368646101632e-09,,
refined_parent,Lambda_membrane_trace_to_bath,radial_quadratic,50-100,20,0.1426149102372884,-2.1286769235095996e-09,-0.06080683288751302,3.500719939562473e-08,,
refined_parent,Lambda_membrane_trace_to_bath,radial_quadratic,100-150,28,0.363413945108285,-2.966973246307942e-09,-0.06114356450486392,4.8524701991685846e-08,,
