case,P_fraction,P_W,branch_id,body_pair,interface_ids,coupling_type,Q_W,Q_over_P,Q_mortar_part_W,Q_conformal_part_W,sign,source,closure_W,Q_in_from_TES_W,Q_in_from_Membrane_Si1_W,Q_in_from_SiO2_1_W,Q_in_from_Membrane_SiNx_W,status,negative_edge_flow_over_P
historical,0.95,3.042854524009145e-10,B0,TES->Membrane_SiNx,TES__zmin / Membrane_SiNx__zmax(under TES),mortar,3.042857943139697e-10,1.000001123658895,3.042857943139697e-10,0.0,+ = out of TES,native assembled edge flow across closed TES/Stycast/abs cut + mortar reaction C^T lambda,3.498641242705259e-16,,,,,,
historical,0.95,3.042854524009145e-10,B0s,Stycast+abs->TES,TES__zmax / Stycast__zmin (mortar),mortar,7.951069055288446e-18,2.6130296379770502e-08,,,+ = out of Stycast/abs,native edge flow + mortar reaction; dead end,7.951069055288446e-18,,,,,,
historical,0.95,3.042854524009145e-10,A,Membrane_SiNx window sheet (z191-192um) -> SiNx/Si_1 frame at window perimeter,window perimeter s=350um,conformal,9.087097036085525e-12,0.029863724881966175,,,Q = exit into frame (+ = leaving sheet); Q_in_* = entering sheet,element reaction r=K_sheet (T-Tb) with element matrices verified against native K,3.026397533602151e-23,3.042858041775243e-10,-2.9519870714146875e-10,0.0,,,
historical,0.95,3.042854524009145e-10,B,Membrane_Si1 window sheet (z176-191um) -> Si_1 frame at window perimeter,window perimeter s=350um,conformal,1.3631816428284032e-10,0.4479943526949586,,,Q = exit into frame (+ = leaving sheet); Q_in_* = entering sheet,element reaction r=K_sheet (T-Tb) with element matrices verified against native K,-3.553741064721566e-23,0.0,,-1.588805428587101e-10,2.95198707141586e-10,,
historical,0.95,3.042854524009145e-10,C,"SiO2_1 window sheet (z175-176um, back-etched) -> SiO2_1 frame at window perimeter",window perimeter s=350um,conformal,1.5888054286090974e-10,0.5221430785050315,,,Q = exit into frame (+ = leaving sheet); Q_in_* = entering sheet,element reaction r=K_sheet (T-Tb) with element matrices verified against native K,8.154879142674501e-22,0.0,1.5888054286008776e-10,,0.0,,
historical,0.95,3.042854524009145e-10,M,frame/SiO2_2->bath,SiO2_2__zmin (Dirichlet),Dirichlet,3.0428581202480873e-10,1.0000011818635803,,,+ = into bath,native edge flow into Dirichlet rows,3.5962389421138226e-16,,,,,,
historical,0.95,3.042854524009145e-10,A+B+C,sum of parallel sheet exits,,,3.042858041798356e-10,1.0000011560819564,,,,sum,9.865865883981216e-18,,,,,,
historical,0.95,3.042854524009145e-10,edge-attribution,TES_footprint_edge|perimeter_inside,,,2.0078629091725337e-10,0.6598616178755246,,,,"native edge flow, layer-attributed by edge z",,,,,,unavailable as branch Q: obtuse-tet edge circulation,-50.06959175608694
historical,0.95,3.042854524009145e-10,edge-attribution,TES_footprint_edge|perimeter_outside,,,1.900961632895816e-10,0.6247297128063762,,,,"native edge flow, layer-attributed by edge z",,,,,,unavailable as branch Q: obtuse-tet edge circulation,-48.82723414915247
historical,0.95,3.042854524009145e-10,edge-attribution,window_perimeter|perimeter_inside,,,3.042858043139518e-10,1.0000011565227143,,,,"native edge flow, layer-attributed by edge z",,,,,,unavailable as branch Q: obtuse-tet edge circulation,-24.23830457387971
historical,0.95,3.042854524009145e-10,edge-attribution,window_perimeter|perimeter_outside,,,3.042858041798881e-10,1.0000011560821287,,,,"native edge flow, layer-attributed by edge z",,,,,,unavailable as branch Q: obtuse-tet edge circulation,-777.8450111815896
historical,1.0,3.20300476211489e-10,B0,TES->Membrane_SiNx,TES__zmin / Membrane_SiNx__zmax(under TES),mortar,3.203008189876597e-10,1.0000010701706559,3.203008189876597e-10,0.0,+ = out of TES,native assembled edge flow across closed TES/Stycast/abs cut + mortar reaction C^T lambda,3.509766169505389e-16,,,,,,
historical,1.0,3.20300476211489e-10,B0s,Stycast+abs->TES,TES__zmax / Stycast__zmin (mortar),mortar,8.200446212459819e-18,2.5602354106539646e-08,,,+ = out of Stycast/abs,native edge flow + mortar reaction; dead end,8.200446212459819e-18,,,,,,
historical,1.0,3.20300476211489e-10,A,Membrane_SiNx window sheet (z191-192um) -> SiNx/Si_1 frame at window perimeter,window perimeter s=350um,conformal,9.565364816056324e-12,0.02986372336749345,,,Q = exit into frame (+ = leaving sheet); Q_in_* = entering sheet,element reaction r=K_sheet (T-Tb) with element matrices verified against native K,8.318966991457557e-24,3.203008302562371e-10,-3.107354654401886e-10,0.0,,,
historical,1.0,3.20300476211489e-10,B,Membrane_Si1 window sheet (z176-191um) -> Si_1 frame at window perimeter,window perimeter s=350um,conformal,1.4349279723050966e-10,0.447994329973346,,,Q = exit into frame (+ = leaving sheet); Q_in_* = entering sheet,element reaction r=K_sheet (T-Tb) with element matrices verified against native K,7.308993013991295e-23,0.0,,-1.672426682104058e-10,3.107354654408422e-10,,
historical,1.0,3.20300476211489e-10,C,"SiO2_1 window sheet (z175-176um, back-etched) -> SiO2_1 frame at window perimeter",window perimeter s=350um,conformal,1.6724266821269902e-10,0.5221430520205393,,,Q = exit into frame (+ = leaving sheet); Q_in_* = entering sheet,element reaction r=K_sheet (T-Tb) with element matrices verified against native K,1.1978244097597723e-21,0.0,1.6724266821148981e-10,,0.0,,
historical,1.0,3.20300476211489e-10,M,frame/SiO2_2->bath,SiO2_2__zmin (Dirichlet),Dirichlet,3.2030083811788885e-10,1.00000112989654,,,+ = into bath,native edge flow into Dirichlet rows,3.6190639985004884e-16,,,,,,
historical,1.0,3.20300476211489e-10,A+B+C,sum of parallel sheet exits,,,3.20300830259265e-10,1.0000011053613789,,,,sum,1.127160530978133e-17,,,,,,
historical,1.0,3.20300476211489e-10,edge-attribution,TES_footprint_edge|perimeter_inside,,,2.1135395926471932e-10,0.6598615205466191,,,,"native edge flow, layer-attributed by edge z",,,,,,unavailable as branch Q: obtuse-tet edge circulation,-50.069586069916134
historical,1.0,3.20300476211489e-10,edge-attribution,TES_footprint_edge|perimeter_outside,,,2.0010119531822833e-10,0.6247296216509678,,,,"native edge flow, layer-attributed by edge z",,,,,,unavailable as branch Q: obtuse-tet edge circulation,-48.82722862349895
historical,1.0,3.20300476211489e-10,edge-attribution,window_perimeter|perimeter_inside,,,3.2030083038247384e-10,1.0000011057460452,,,,"native edge flow, layer-attributed by edge z",,,,,,unavailable as branch Q: obtuse-tet edge circulation,-24.238303340262515
historical,1.0,3.20300476211489e-10,edge-attribution,window_perimeter|perimeter_outside,,,3.2030083025930954e-10,1.0000011053615179,,,,"native edge flow, layer-attributed by edge z",,,,,,unavailable as branch Q: obtuse-tet edge circulation,-777.8449720463358
historical,1.05,3.3631550002206354e-10,B0,TES->Membrane_SiNx,TES__zmin / Membrane_SiNx__zmax(under TES),mortar,3.3631584679652693e-10,1.0000010310986658,3.3631584679652693e-10,0.0,+ = out of TES,native assembled edge flow across closed TES/Stycast/abs cut + mortar reaction C^T lambda,3.522906228735875e-16,,,,,,
