case,operator,mode,s_bin_um,trace_nodes,input_mean,reaction_W_per_K,reaction_density_W_per_K_m2,area_m2,energy_W_per_K,normalized_response_W_per_K_m2,energy_K_per_W,TES_mean_response_K_per_W,net_source_W
historical,TES_Membrane_local_operator,constant,0-50,84,1.0,2.894609884365986e-07,28.259304166592074,1.0243033116816694e-08,,,,,
historical,TES_Membrane_local_operator,constant,50-100,243,1.0,8.505987215586935e-07,28.259304166592074,3.009977586653618e-08,,,,,
historical,TES_Membrane_local_operator,constant,100-150,418,1.0,1.3999039964132911e-06,28.25930416659207,4.9537808438618484e-08,,,,,
historical,TES_Membrane_local_operator,constant,150-200,602,1.0,1.97663298163472e-06,28.25930416659207,6.994627220763207e-08,,,,,
historical,TES_Membrane_local_operator,constant,200-225,368,1.0,1.2067654080958641e-06,28.25930416659207,4.270329520436292e-08,,,,,
historical,TES_Membrane_local_operator,constant,225-240,244,1.0,7.929380450299993e-07,28.259304166592063,2.8059361984128564e-08,,,,,
historical,TES_Membrane_local_operator,constant,240-250,165,1.0,5.487685264024938e-07,36.40796637036604,1.507275964881025e-08,,,,,
historical,TES_Membrane_local_operator,linear_x,0-50,84,0.00015534820552864483,6.506713732138563e-11,0.0063523310507080585,1.0243033116816694e-08,,,,,
historical,TES_Membrane_local_operator,linear_x,50-100,243,-0.01016399977317995,-8.690881980741452e-09,-0.2887357706342144,3.009977586653618e-08,,,,,
historical,TES_Membrane_local_operator,linear_x,100-150,418,0.0113138103116141,1.5902332111243556e-08,0.32101404184942667,4.9537808438618484e-08,,,,,
historical,TES_Membrane_local_operator,linear_x,150-200,602,-0.002011612310990297,-4.105621516275659e-09,-0.05869678807311309,6.994627220763207e-08,,,,,
historical,TES_Membrane_local_operator,linear_x,200-225,368,-0.0032389952099329913,-3.916817091698297e-09,-0.0917216592526125,4.270329520436292e-08,,,,,
historical,TES_Membrane_local_operator,linear_x,225-240,244,0.013475165895995707,1.0786642309349774e-08,0.38442222298037665,2.8059361984128564e-08,,,,,
historical,TES_Membrane_local_operator,linear_x,240-250,165,-0.03134592989670125,-7.128076786004972e-09,-0.47291119556647465,1.507275964881025e-08,,,,,
historical,TES_Membrane_local_operator,linear_y,0-50,84,-0.002422905831135937,-7.20605022808767e-10,-0.07035074616967703,1.0243033116816694e-08,,,,,
historical,TES_Membrane_local_operator,linear_y,50-100,243,-0.0037698769531865485,-3.1482693042200944e-09,-0.10459444343305639,3.009977586653618e-08,,,,,
historical,TES_Membrane_local_operator,linear_y,100-150,418,0.002388126864646,3.253483968304548e-09,0.06567678447737325,4.9537808438618484e-08,,,,,
historical,TES_Membrane_local_operator,linear_y,150-200,602,0.0008261804215840085,1.8051466294103925e-09,0.025807617367397416,6.994627220763207e-08,,,,,
historical,TES_Membrane_local_operator,linear_y,200-225,368,-0.00439330332928394,-5.491184012837034e-09,-0.1285892338415142,4.270329520436292e-08,,,,,
historical,TES_Membrane_local_operator,linear_y,225-240,244,0.0036636704717263866,3.046989631412135e-09,0.1085908379932383,2.8059361984128564e-08,,,,,
