comparison,body,s_band_um,R_historical_K_per_W,R_case_K_per_W,dR_K_per_W,fraction_of_dR_total
best_phase24_minus_historical,Si_2,370-inf,1171.5939051767884,1083.1338155240144,-88.46008965277406,3.993175384276512e-05
best_phase24_minus_historical,SiO2_1,0-230,149966.47404119087,98299.2041169622,-51667.269924228676,0.023323113422565944
best_phase24_minus_historical,SiO2_1,230-250,1087188.8911145928,714673.4114709963,-372515.47964359645,0.16815714854163274
best_phase24_minus_historical,SiO2_1,250-270,3799699.6210733643,3333404.5136955758,-466295.1073777885,0.21049019415403306
best_phase24_minus_historical,SiO2_1,270-330,14850564.019629765,14223514.719630854,-627049.2999989111,0.2830562165731367
best_phase24_minus_historical,SiO2_1,330-350,4186700.7031889413,4915089.756623566,728389.0534346248,-0.3288019772270716
best_phase24_minus_historical,SiO2_1,370-inf,1677.7224950083103,703.5398042234816,-974.1826907848287,0.00043975564075276113
best_phase24_minus_historical,Si_1,370-inf,2080.448346126609,1386.8771219869277,-693.5712241396814,0.00031308486689853265
best_phase24_minus_historical,Membrane_Si1,0-230,299793.958838204,179856.92302145017,-119937.0358167538,0.05414075669225062
best_phase24_minus_historical,Membrane_Si1,230-250,2368329.9804276214,1262007.475279927,-1106322.5051476944,0.49940485160794323
best_phase24_minus_historical,Membrane_Si1,250-270,6988774.132740446,5594923.05015097,-1393851.0825894764,0.6291980772561789
best_phase24_minus_historical,Membrane_Si1,270-330,13106447.683327733,13484334.812001245,377887.1286735125,-0.17058196370555914
best_phase24_minus_historical,Membrane_Si1,330-350,3591454.245381496,4112145.693070757,520691.4476892613,-0.23504523677032657
best_phase24_minus_historical,Membrane_SiNx,0-230,59776.70925253297,12168.787844224607,-47607.921408308364,0.021490683607764818
best_phase24_minus_historical,Membrane_SiNx,230-250,375263.08050202957,209932.7016531334,-165330.37884889616,0.0746317578564447
best_phase24_minus_historical,Membrane_SiNx,250-270,1162452.772753556,941187.315602334,-221265.45715122204,0.09988140192431307
best_phase24_minus_historical,Membrane_SiNx,270-330,893508.008055045,1544601.7684930083,651093.7604379633,-0.2939101223209501
best_phase24_minus_historical,Membrane_SiNx,330-350,239381.18066626313,388939.3606534183,149558.17998715516,-0.06751203228327
best_phase24_minus_historical,TES,0-230,62409.506103516076,2941.131202679515,-59468.37490083656,0.02684460887718543
best_phase24_minus_historical,TES,230-250,12838.41882902994,1100.2727393474388,-11738.146089682501,0.005298714505755859
refined_parent_minus_historical,Si_2,370-inf,1171.5939051767884,1078.492417251818,-93.10148792497034,2.3415166638185e-05
refined_parent_minus_historical,SiO2_1,0-230,149966.47404119087,207989.87563352965,58023.40159233878,-0.014592974263675004
refined_parent_minus_historical,SiO2_1,230-250,1087188.8911145928,1179017.1296497174,91828.23853512458,-0.02309494246884377
refined_parent_minus_historical,SiO2_1,250-270,3799699.6210733643,2845731.7401721086,-953967.8809012556,0.23992438141032252
refined_parent_minus_historical,SiO2_1,270-330,14850564.019629765,12474577.362536373,-2375986.6570933927,0.5975642790025113
refined_parent_minus_historical,SiO2_1,330-350,4186700.7031889413,5390258.189355508,1203557.486166567,-0.30269654895243375
refined_parent_minus_historical,SiO2_1,370-inf,1677.7224950083103,720.0553270722188,-957.6671679360915,0.0002408547577586894
refined_parent_minus_historical,Si_1,370-inf,2080.448346126609,1409.724199794964,-670.724146331645,0.00016868814886467187
refined_parent_minus_historical,Membrane_Si1,0-230,299793.958838204,192749.24863519933,-107044.71020300465,0.026921908371212257
refined_parent_minus_historical,Membrane_Si1,230-250,2368329.9804276214,1824821.4907459086,-543508.4896817128,0.1366932166048904
refined_parent_minus_historical,Membrane_Si1,250-270,6988774.132740446,6035155.437092673,-953618.6956477733,0.23983656078489413
refined_parent_minus_historical,Membrane_Si1,270-330,13106447.683327733,12500125.864326498,-606321.8190012351,0.1524908650195011
refined_parent_minus_historical,Membrane_Si1,330-350,3591454.245381496,3999429.2121729106,407974.96679141466,-0.10260632826112814
refined_parent_minus_historical,Membrane_SiNx,0-230,59776.70925253297,22314.83114454649,-37461.878107986486,0.009421719652695417
refined_parent_minus_historical,Membrane_SiNx,230-250,375263.08050202957,260380.74376058512,-114882.33674144445,0.028893083435496143
refined_parent_minus_historical,Membrane_SiNx,250-270,1162452.772753556,865262.5675290744,-297190.20522448164,0.07474379125042166
refined_parent_minus_historical,Membrane_SiNx,270-330,893508.008055045,1096626.724829743,203118.71677469788,-0.05108466799635596
refined_parent_minus_historical,Membrane_SiNx,330-350,239381.18066626313,359975.8950145831,120594.71434831995,-0.030329755142322345
refined_parent_minus_historical,TES,0-230,62409.506103516076,3090.6924939464434,-59318.81360956963,0.014918772367707587
refined_parent_minus_historical,TES,230-250,12838.41882902994,1216.6555593874093,-11621.763269642532,0.0029228912410886616
