case,interface,constraint_row_id,master_side,slave_side,master_boundary,slave_boundary,associated_primal_dofs,associated_primal_nodes,multiplier_value,multiplier_units,slave_reaction_W,master_reaction_W,reaction_balance_W,sign_convention
historical,TES_to_membrane,3343,Membrane_SiNx,TES,23,24,59573;59575;59577;59579;86259;86260;86279;87489;87490;87491;88619,26846;26463;25287;25282;28767;26498;25336;26816;25719;24878;25210,0.040960709285483995,W/m^2 (Galerkin area-weighted thermal constraint),1.8009177427068458e-12,-1.8009177427068456e-12,2.0194839173657902e-28,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,TES_to_membrane,3344,Membrane_SiNx,TES,23,24,59569;59571;59575;59577;59579;85026;86260;86277;86279;87489;87490;87491;87513;87514;88619,26378;25305;26463;25287;25282;27898;26498;25902;25336;26816;25719;24878;24381;24599;25210,0.0255949118151909,W/m^2 (Galerkin area-weighted thermal constraint),1.5713734492342484e-12,-1.571373449234249e-12,-6.058451752097371e-28,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,TES_to_membrane,3345,Membrane_SiNx,TES,23,24,59559;59561;59569;59571;59577;85026;85027;86260;86271;86277;86278;86279;87490;87491;87507;87513;87514,26455;25315;26378;25305;25287;27898;27121;26498;26291;25902;25661;25336;25719;24878;25107;24381;24599,0.08362420261548284,W/m^2 (Galerkin area-weighted thermal constraint),5.305379870804371e-12,-5.305379870804371e-12,0.0,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,TES_to_membrane,3346,Membrane_SiNx,TES,23,24,59549;59551;59559;59561;59571;85027;86271;86277;86278;86279;86750;87507;87514,26380;25319;26455;25315;25305;27121;26291;25902;25661;25336;25259;25107;24599,0.0051755290247437165,W/m^2 (Galerkin area-weighted thermal constraint),3.214719288256587e-13,-3.214719288256588e-13,-1.0097419586828951e-28,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,TES_to_membrane,3347,Membrane_SiNx,TES,23,24,59535;59537;59549;59551;59561;85008;85009;85010;85027;85527;85528;86271;86278;86750;86751;87507;87514,26174;25327;26380;25319;25315;28558;28259;28006;27121;26252;25890;26291;25661;25259;25228;25107;24599,0.04975260080941167,W/m^2 (Galerkin area-weighted thermal constraint),2.701613246274405e-12,-2.7016132462744053e-12,-4.0389678347315804e-28,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,TES_to_membrane,3348,Membrane_SiNx,TES,23,24,59517;59519;59521;59535;59537;59551;84168;85010;85515;85516;85527;85528;86271;86748;86749;86750;86751;87507;87887;87888,27863;26292;25329;26174;25327;25319;28474;28006;27059;26171;26252;25890;26291;25373;25272;25259;25228;25107;24324;24054,0.0295890444582696,W/m^2 (Galerkin area-weighted thermal constraint),2.519982847484451e-12,-2.5199828474844512e-12,-4.0389678347315804e-28,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,TES_to_membrane,3349,Membrane_SiNx,TES,23,24,59497;59499;59519;59521;59537;85515;85516;85527;86736;86748;86749;86751;87886;87887;87888,26059;25339;26292;25329;25327;27059;26171;26252;25499;25373;25272;25228;24425;24324;24054,0.03432041734991126,W/m^2 (Galerkin area-weighted thermal constraint),1.7741524082300606e-12,-1.7741524082300608e-12,-2.0194839173657902e-28,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,TES_to_membrane,3350,Membrane_SiNx,TES,23,24,59469;59471;59497;59499;59521;85503;85504;85515;85516;86736;86737;86748;86749;87886;87888,26534;25342;26059;25339;25329;27108;26029;27059;26171;25499;25157;25373;25272;24425;24054,0.017649478246329342,W/m^2 (Galerkin area-weighted thermal constraint),1.0002734823194374e-12,-1.0002734823194374e-12,0.0,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,TES_to_membrane,3351,Membrane_SiNx,TES,23,24,59439;59441;59469;59471;59499;84145;84175;85503;85504;85516;85540;85541;86736;86737;86749;86772;86779;87886,25969;25344;26534;25342;25339;28152;26780;27108;26029;26171;25896;25416;25499;25157;25272;24356;25024;24425,0.03408899144787388,W/m^2 (Galerkin area-weighted thermal constraint),1.7546471949752918e-12,-1.7546471949752922e-12,-4.0389678347315804e-28,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,TES_to_membrane,3352,Membrane_SiNx,TES,23,24,59401;59403;59439;59441;59471;84174;84175;85504;85539;85540;85541;86736;86737;86772;86778;86779,26415;25353;25969;25344;25342;27799;26780;26029;26492;25896;25416;25499;25157;24356;25408;25024,0.031139544966235572,W/m^2 (Galerkin area-weighted thermal constraint),1.5558491997017134e-12,-1.5558491997017136e-12,-2.0194839173657902e-28,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,TES_to_membrane,3353,Membrane_SiNx,TES,23,24,59361;59363;59401;59403;59441;84174;84175;85539;85540;85541;85543;86778;86779;86780;87927;87928,26256;25359;26415;25353;25344;27799;26780;26492;25896;25416;26577;25408;25024;25313;24866;24405,0.07115834922316598,W/m^2 (Galerkin area-weighted thermal constraint),4.011590981844119e-12,-4.01159098184412e-12,-8.077935669463161e-28,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,TES_to_membrane,3354,Membrane_SiNx,TES,23,24,59317;59319;59361;59363;59403;84187;84188;84189;85539;85540;85542;85543;86778;86779;86780;86781;87927;87928,27139;25380;26256;25359;25353;28880;28687;28456;26492;25896;26916;26577;25408;25024;25313;25326;24866;24405,0.002282204013404159,W/m^2 (Galerkin area-weighted thermal constraint),1.525659355216216e-13,-1.5256593552162157e-13,2.524354896707238e-29,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,TES_to_membrane,3355,Membrane_SiNx,TES,23,24,59267;59269;59317;59319;59363;84188;85542;85543;85569;86778;86780;86781;86802,26199;25383;27139;25380;25359;28687;26916;26577;25859;25408;25313;25326;24775,0.05931342925978305,W/m^2 (Galerkin area-weighted thermal constraint),3.7290007974478065e-12,-3.729000797447807e-12,-8.077935669463161e-28,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,TES_to_membrane,3356,Membrane_SiNx,TES,23,24,59217;59219;59267;59269;59319;84210;84216;85542;85543;85569;85575;86780;86781;86802,26981;25392;26199;25383;25380;27525;26624;26916;26577;25859;25366;25313;25326;24775,0.07370445730214961,W/m^2 (Galerkin area-weighted thermal constraint),4.451326652272585e-12,-4.451326652272585e-12,0.0,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,TES_to_membrane,3357,Membrane_SiNx,TES,23,24,59163;59165;59217;59219;59269;82839;84114;84210;84216;85479;85542;85569;85575;86694;86712;86781;86802,26532;25409;26981;25392;25383;28866;28437;27525;26624;26055;26916;25859;25366;25741;25170;25326;24775,0.014421160255120536,W/m^2 (Galerkin area-weighted thermal constraint),9.106577542698035e-13,-9.106577542698035e-13,0.0,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,TES_to_membrane,3358,Membrane_SiNx,TES,23,24,59103;59105;59107;59163;59165;59219;84114;84216;85461;85462;85479;85569;85575;86694;86695;86712;87837,27732;26605;25418;26532;25409;25392;28437;26624;27531;26844;26055;25859;25366;25741;25352;25170;24792,0.037079033672438574,W/m^2 (Galerkin area-weighted thermal constraint),3.122963934678426e-12,-3.1229639346784285e-12,-2.4233807008389483e-27,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,TES_to_membrane,3359,Membrane_SiNx,TES,23,24,59039;59041;59105;59107;59165;85461;85462;85463;85479;86694;86695;86696;86712;87837,26213;25433;26605;25418;25409;27531;26844;26260;26055;25741;25352;25188;25170;24792,-0.04159382546721164,W/m^2 (Galerkin area-weighted thermal constraint),-2.05767429566694e-12,2.0576742956669393e-12,-8.077935669463161e-28,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
historical,TES_to_membrane,3360,Membrane_SiNx,TES,23,24,58971;58973;59039;59041;59107;84103;84121;85462;85463;85486;86694;86695;86696;87837,26949;25441;26213;25433;25418;28549;28315;26844;26260;25793;25741;25352;25188;24792,-0.34555729893779413,W/m^2 (Galerkin area-weighted thermal constraint),-1.9088810347943912e-11,1.908881031026348e-11,-3.7680432427831626e-20,B=slave-master; C lambda is primal reaction; source_to_target=slave reaction
