route,power_fraction,power_W,body,body_id,average_temperature_K,average_temperature_mK,volume_m3,element_count,bath_temperature_K,source
historical,0.95,3.042854524009381e-10,TES,8,0.16620012261379072,166.2001226137907,3.999999999999944e-14,4274,0.15,"native captured primal x, volume-weighted FE average"
historical,0.95,3.042854524009381e-10,membrane,7,0.16144410206801194,161.44410206801194,4.899999999999958e-13,6702,0.15,"native captured primal x, volume-weighted FE average"
historical,0.95,3.042854524009381e-10,Stycast,9,0.16620043529093043,166.20043529093041,3.8940233936255305e-12,102848,0.15,"native captured primal x, volume-weighted FE average"
historical,0.95,3.042854524009381e-10,substrate,1,0.15000003519689928,150.0000351968993,3.501999999999971e-11,4624,0.15,"native captured primal x, volume-weighted FE average"
historical,1.0,3.203004762115138e-10,TES,8,0.16705275952771648,167.0527595277165,3.999999999999944e-14,4274,0.15,"native captured primal x, volume-weighted FE average"
historical,1.0,3.203004762115138e-10,membrane,7,0.16204642249151338,162.04642249151337,4.899999999999958e-13,6702,0.15,"native captured primal x, volume-weighted FE average"
historical,1.0,3.203004762115138e-10,Stycast,9,0.1670530886680815,167.0530886680815,3.8940233936255305e-12,102848,0.15,"native captured primal x, volume-weighted FE average"
historical,1.0,3.203004762115138e-10,substrate,1,0.1500000370493651,150.0000370493651,3.501999999999971e-11,4624,0.15,"native captured primal x, volume-weighted FE average"
historical,1.05,3.3631550002208954e-10,TES,8,0.167905396441607,167.90539644160702,3.999999999999944e-14,4274,0.15,"native captured primal x, volume-weighted FE average"
historical,1.05,3.3631550002208954e-10,membrane,7,0.16264874291501294,162.64874291501295,4.899999999999958e-13,6702,0.15,"native captured primal x, volume-weighted FE average"
historical,1.05,3.3631550002208954e-10,Stycast,9,0.16790574204513048,167.90574204513047,3.8940233936255305e-12,102848,0.15,"native captured primal x, volume-weighted FE average"
historical,1.05,3.3631550002208954e-10,substrate,1,0.15000003890183172,150.00003890183172,3.501999999999971e-11,4624,0.15,"native captured primal x, volume-weighted FE average"
phase24,0.95,3.042854524009381e-10,TES,101,0.16096743574934463,160.96743574934465,3.99999999999995e-14,1175,0.15,"native captured primal x, volume-weighted FE average"
phase24,0.95,3.042854524009381e-10,membrane,103,0.15789539295838606,157.89539295838605,4.899999999999991e-13,3525,0.15,"native captured primal x, volume-weighted FE average"
phase24,0.95,3.042854524009381e-10,Stycast,102,0.1609678511783809,160.9678511783809,3.874103524108726e-12,31885,0.15,"native captured primal x, volume-weighted FE average"
phase24,0.95,3.042854524009381e-10,substrate,108,0.15000003518479224,150.00003518479224,3.5020000000003295e-11,68276,0.15,"native captured primal x, volume-weighted FE average"
phase24,1.0,3.203004762115138e-10,TES,101,0.16154466790214939,161.5446679021494,3.99999999999995e-14,1175,0.15,"native captured primal x, volume-weighted FE average"
phase24,1.0,3.203004762115138e-10,membrane,103,0.15831093901476842,158.31093901476842,4.899999999999991e-13,3525,0.15,"native captured primal x, volume-weighted FE average"
phase24,1.0,3.203004762115138e-10,Stycast,102,0.16154510520167267,161.54510520167267,3.874103524108726e-12,31885,0.15,"native captured primal x, volume-weighted FE average"
phase24,1.0,3.203004762115138e-10,substrate,108,0.15000003703661738,150.00003703661739,3.5020000000003295e-11,68276,0.15,"native captured primal x, volume-weighted FE average"
phase24,1.05,3.3631550002208954e-10,TES,101,0.16212190005495378,162.12190005495378,3.99999999999995e-14,1175,0.15,"native captured primal x, volume-weighted FE average"
phase24,1.05,3.3631550002208954e-10,membrane,103,0.15872648507115072,158.72648507115073,4.899999999999991e-13,3525,0.15,"native captured primal x, volume-weighted FE average"
phase24,1.05,3.3631550002208954e-10,Stycast,102,0.16212235922496357,162.12235922496356,3.874103524108726e-12,31885,0.15,"native captured primal x, volume-weighted FE average"
phase24,1.05,3.3631550002208954e-10,substrate,108,0.15000003888844657,150.00003888844657,3.5020000000003295e-11,68276,0.15,"native captured primal x, volume-weighted FE average"
controlled_variant,0.95,3.042854524009381e-10,TES,101,0.16096742754673962,160.96742754673963,3.99999999999995e-14,1175,0.15,"native captured primal x, volume-weighted FE average"
controlled_variant,0.95,3.042854524009381e-10,membrane,103,0.15789538705309952,157.8953870530995,4.899999999999991e-13,3525,0.15,"native captured primal x, volume-weighted FE average"
controlled_variant,0.95,3.042854524009381e-10,Stycast,102,0.16096784297316927,160.96784297316927,3.874103524108726e-12,31885,0.15,"native captured primal x, volume-weighted FE average"
controlled_variant,0.95,3.042854524009381e-10,substrate,108,0.15000003518476585,150.00003518476584,3.5020000000003295e-11,68276,0.15,"native captured primal x, volume-weighted FE average"
controlled_variant,1.0,3.203004762115138e-10,TES,101,0.1615446596701376,161.5446596701376,3.99999999999995e-14,1175,0.15,"native captured primal x, volume-weighted FE average"
controlled_variant,1.0,3.203004762115138e-10,membrane,103,0.1583109330883113,158.3109330883113,4.899999999999991e-13,3525,0.15,"native captured primal x, volume-weighted FE average"
controlled_variant,1.0,3.203004762115138e-10,Stycast,102,0.1615450969670429,161.5450969670429,3.874103524108726e-12,31885,0.15,"native captured primal x, volume-weighted FE average"
