route,power_fraction,power_W,segment,heat_flow_W,native_mortar_reaction_W,method,boundary_id
historical,0.95,3.042854524009381e-10,TES_to_membrane,nan,nan,fixed-power global closure; interface path unclassified,24
historical,0.95,3.042854524009381e-10,TES_to_Stycast,nan,nan,fixed-power global closure; interface path unclassified,25
historical,0.95,3.042854524009381e-10,Stycast_to_substrate,nan,nan,fixed-power global closure; interface path unclassified,27
historical,0.95,3.042854524009381e-10,substrate_to_bath,3.042854524009381e-10,nan,fixed-power global closure; interface path unclassified,30
historical,0.95,3.042854524009381e-10,other/shared-node/conformal path,3.042854524009381e-10,nan,fixed-power global closure minus classified native mortar reactions,30
historical,1.0,3.203004762115138e-10,TES_to_membrane,3.2030081898766044e-10,3.2030081898766044e-10,native C-lambda reaction,24
historical,1.0,3.203004762115138e-10,TES_to_Stycast,8.200446597886309e-18,8.200446597886309e-18,native C-lambda reaction,25
historical,1.0,3.203004762115138e-10,Stycast_to_substrate,-4.661003729171759e-19,-4.661003729171759e-19,native C-lambda reaction,27
historical,1.0,3.203004762115138e-10,substrate_to_bath,3.203004762115138e-10,nan,fixed-power global closure; interface path unclassified,30
historical,1.0,3.203004762115138e-10,other/shared-node/conformal path,-3.5051049286884825e-16,nan,fixed-power global closure minus classified native mortar reactions,30
historical,1.05,3.3631550002208954e-10,TES_to_membrane,nan,nan,fixed-power global closure; interface path unclassified,24
historical,1.05,3.3631550002208954e-10,TES_to_Stycast,nan,nan,fixed-power global closure; interface path unclassified,25
historical,1.05,3.3631550002208954e-10,Stycast_to_substrate,nan,nan,fixed-power global closure; interface path unclassified,27
historical,1.05,3.3631550002208954e-10,substrate_to_bath,3.3631550002208954e-10,nan,fixed-power global closure; interface path unclassified,30
historical,1.05,3.3631550002208954e-10,other/shared-node/conformal path,3.3631550002208954e-10,nan,fixed-power global closure minus classified native mortar reactions,30
phase24,0.95,3.042854524009381e-10,TES_to_membrane,nan,nan,fixed-power global closure; interface path unclassified,1104
phase24,0.95,3.042854524009381e-10,TES_to_Stycast,nan,nan,fixed-power global closure; interface path unclassified,1105
phase24,0.95,3.042854524009381e-10,Stycast_to_substrate,nan,nan,fixed-power global closure; interface path unclassified,1205
phase24,0.95,3.042854524009381e-10,substrate_to_bath,3.042854524009381e-10,nan,fixed-power global closure; interface path unclassified,1804
phase24,0.95,3.042854524009381e-10,other/shared-node/conformal path,3.042854524009381e-10,nan,fixed-power global closure minus classified native mortar reactions,1804
phase24,1.0,3.203004762115138e-10,TES_to_membrane,0.0,0.0,native C-lambda reaction,1104
phase24,1.0,3.203004762115138e-10,TES_to_Stycast,1.483319658492076e-19,1.483319658492076e-19,native C-lambda reaction,1105
phase24,1.0,3.203004762115138e-10,Stycast_to_substrate,4.709041914862233e-21,4.709041914862233e-21,native C-lambda reaction,1205
phase24,1.0,3.203004762115138e-10,substrate_to_bath,3.203004762115138e-10,nan,fixed-power global closure; interface path unclassified,1804
phase24,1.0,3.203004762115138e-10,other/shared-node/conformal path,3.203004760584728e-10,nan,fixed-power global closure minus classified native mortar reactions,1804
phase24,1.05,3.3631550002208954e-10,TES_to_membrane,nan,nan,fixed-power global closure; interface path unclassified,1104
phase24,1.05,3.3631550002208954e-10,TES_to_Stycast,nan,nan,fixed-power global closure; interface path unclassified,1105
phase24,1.05,3.3631550002208954e-10,Stycast_to_substrate,nan,nan,fixed-power global closure; interface path unclassified,1205
phase24,1.05,3.3631550002208954e-10,substrate_to_bath,3.3631550002208954e-10,nan,fixed-power global closure; interface path unclassified,1804
phase24,1.05,3.3631550002208954e-10,other/shared-node/conformal path,3.3631550002208954e-10,nan,fixed-power global closure minus classified native mortar reactions,1804
controlled_variant,0.95,3.042854524009381e-10,TES_to_membrane,nan,nan,fixed-power global closure; interface path unclassified,1104
controlled_variant,0.95,3.042854524009381e-10,TES_to_Stycast,nan,nan,fixed-power global closure; interface path unclassified,1105
controlled_variant,0.95,3.042854524009381e-10,Stycast_to_substrate,nan,nan,fixed-power global closure; interface path unclassified,1205
controlled_variant,0.95,3.042854524009381e-10,substrate_to_bath,3.042854524009381e-10,nan,fixed-power global closure; interface path unclassified,1804
controlled_variant,0.95,3.042854524009381e-10,other/shared-node/conformal path,3.042854524009381e-10,nan,fixed-power global closure minus classified native mortar reactions,1804
controlled_variant,1.0,3.203004762115138e-10,TES_to_membrane,nan,nan,fixed-power global closure; interface path unclassified,1104
controlled_variant,1.0,3.203004762115138e-10,TES_to_Stycast,nan,nan,fixed-power global closure; interface path unclassified,1105
controlled_variant,1.0,3.203004762115138e-10,Stycast_to_substrate,nan,nan,fixed-power global closure; interface path unclassified,1205
controlled_variant,1.0,3.203004762115138e-10,substrate_to_bath,3.203004762115138e-10,nan,fixed-power global closure; interface path unclassified,1804
controlled_variant,1.0,3.203004762115138e-10,other/shared-node/conformal path,3.203004762115138e-10,nan,fixed-power global closure minus classified native mortar reactions,1804
controlled_variant,1.05,3.3631550002208954e-10,TES_to_membrane,nan,nan,fixed-power global closure; interface path unclassified,1104
controlled_variant,1.05,3.3631550002208954e-10,TES_to_Stycast,nan,nan,fixed-power global closure; interface path unclassified,1105
controlled_variant,1.05,3.3631550002208954e-10,Stycast_to_substrate,nan,nan,fixed-power global closure; interface path unclassified,1205
controlled_variant,1.05,3.3631550002208954e-10,substrate_to_bath,3.3631550002208954e-10,nan,fixed-power global closure; interface path unclassified,1804
controlled_variant,1.05,3.3631550002208954e-10,other/shared-node/conformal path,3.3631550002208954e-10,nan,fixed-power global closure minus classified native mortar reactions,1804
