route,segment,delta_T_K,heat_flow_W,R_th_K_per_W,method,ratio_to_historical
historical,TES→membrane,0.005006337036203096,3.2030081898766044e-10,15630110.007292751,volume-average endpoint ΔT / native reaction or fixed-power closure; unavailable branch marked NaN,1.0
historical,TES→Stycast,-3.2914036501852095e-07,8.200446597886309e-18,40136882923.34687,volume-average endpoint ΔT / native reaction or fixed-power closure; unavailable branch marked NaN,1.0
historical,Stycast→substrate,0.017053051618716397,4.661003729171759e-19,3.6586650879480536e+16,volume-average endpoint ΔT / native reaction or fixed-power closure; unavailable branch marked NaN,1.0
historical,substrate→bath,3.704936510362522e-08,3.203004762115138e-10,115.67065257548752,volume-average endpoint ΔT / native reaction or fixed-power closure; unavailable branch marked NaN,1.0
phase24,TES→membrane,0.0032337288873809655,0.0,nan,volume-average endpoint ΔT / native reaction or fixed-power closure; unavailable branch marked NaN,nan
phase24,TES→Stycast,-4.3729952328708244e-07,1.483319658492076e-19,2948113852489.7295,volume-average endpoint ΔT / native reaction or fixed-power closure; unavailable branch marked NaN,73.451489945545
phase24,Stycast→substrate,0.011545068165055294,4.709041914862233e-21,2.4516809095747994e+18,volume-average endpoint ΔT / native reaction or fixed-power closure; unavailable branch marked NaN,67.01025785745844
phase24,substrate→bath,3.7036617384078596e-08,3.203004762115138e-10,115.63085332293129,volume-average endpoint ΔT / native reaction or fixed-power closure; unavailable branch marked NaN,0.9996559260999218
controlled_variant,TES→membrane,0.0032337265818263017,nan,nan,volume-average endpoint ΔT / native reaction or fixed-power closure; unavailable branch marked NaN,nan
controlled_variant,TES→Stycast,-4.3729690529792364e-07,nan,nan,volume-average endpoint ΔT / native reaction or fixed-power closure; unavailable branch marked NaN,nan
controlled_variant,Stycast→substrate,0.011545059930452045,nan,nan,volume-average endpoint ΔT / native reaction or fixed-power closure; unavailable branch marked NaN,nan
controlled_variant,substrate→bath,3.703659084974831e-08,3.203004762115138e-10,115.63077048093679,volume-average endpoint ΔT / native reaction or fixed-power closure; unavailable branch marked NaN,0.999655209911393
