case,power_fraction,power_W,body,temperature_K,temperature_mK,bath_temperature_K
historical,0.95,3.042854524009381e-10,TES,0.16620012261206507,166.20012261206506,0.15
historical,0.95,3.042854524009381e-10,Membrane_SiNx,0.16144446164377838,161.44446164377837,0.15
historical,0.95,3.042854524009381e-10,Stycast,0.16620043524792635,166.20043524792635,0.15
historical,0.95,3.042854524009381e-10,SiO2_1,0.15030464445356037,150.30464445356037,0.15
historical,0.95,3.042854524009381e-10,Si_1,0.15000011135591546,150.00011135591546,0.15
historical,0.95,3.042854524009381e-10,SiNx,0.15000011259002208,150.00011259002207,0.15
historical,0.95,3.042854524009381e-10,Si_2,0.15000007857483294,150.00007857483294,0.15
historical,0.95,3.042854524009381e-10,SiO2_2,0.15000003518186444,150.00003518186443,0.15
historical,0.95,3.042854524009381e-10,Membrane_Si1,0.1613014204988114,161.3014204988114,0.15
historical,1.0,3.203004762115138e-10,TES,0.16705275952589851,167.05275952589852,0.15
historical,1.0,3.203004762115138e-10,Membrane_SiNx,0.16204680099511068,162.0468009951107,0.15
historical,1.0,3.203004762115138e-10,Stycast,0.16705308862279594,167.05308862279594,0.15
historical,1.0,3.203004762115138e-10,SiO2_1,0.15032067835252258,150.32067835252258,0.15
historical,1.0,3.203004762115138e-10,Si_1,0.1500001172167466,150.00011721674662,0.15
historical,1.0,3.203004762115138e-10,SiNx,0.1500001185158075,150.0001185158075,0.15
historical,1.0,3.203004762115138e-10,Si_2,0.1500000827103463,150.00008271034628,0.15
historical,1.0,3.203004762115138e-10,SiO2_2,0.15000003703354042,150.00003703354042,0.15
historical,1.0,3.203004762115138e-10,Membrane_Si1,0.16189623137646691,161.89623137646691,0.15
historical,1.05,3.3631550002208954e-10,TES,0.16790539643969907,167.90539643969908,0.15
historical,1.05,3.3631550002208954e-10,Membrane_SiNx,0.16264914034643935,162.64914034643934,0.15
historical,1.05,3.3631550002208954e-10,Stycast,0.16790574199757993,167.90574199757992,0.15
historical,1.05,3.3631550002208954e-10,SiO2_1,0.1503367122514867,150.33671225148672,0.15
historical,1.05,3.3631550002208954e-10,Si_1,0.15000012307757743,150.00012307757743,0.15
historical,1.05,3.3631550002208954e-10,SiNx,0.15000012444159122,150.00012444159123,0.15
historical,1.05,3.3631550002208954e-10,Si_2,0.15000008684585917,150.00008684585916,0.15
historical,1.05,3.3631550002208954e-10,SiO2_2,0.15000003888521599,150.000038885216,0.15
historical,1.05,3.3631550002208954e-10,Membrane_Si1,0.16249104225411848,162.49104225411847,0.15
refined_mortar,0.95,3.042854524009381e-10,TES,0.1649902170133995,164.9902170133995,0.15
refined_mortar,0.95,3.042854524009381e-10,Membrane_SiNx,0.1607881402722719,160.7881402722719,0.15
refined_mortar,0.95,3.042854524009381e-10,Stycast,0.16499055503350138,164.99055503350138,0.15
refined_mortar,0.95,3.042854524009381e-10,SiO2_1,0.15028680684151183,150.28680684151183,0.15
refined_mortar,0.95,3.042854524009381e-10,Si_1,0.15000010957296983,150.00010957296982,0.15
refined_mortar,0.95,3.042854524009381e-10,SiNx,0.1500001107123216,150.0001107123216,0.15
refined_mortar,0.95,3.042854524009381e-10,Si_2,0.15000007856958353,150.00007856958354,0.15
refined_mortar,0.95,3.042854524009381e-10,SiO2_2,0.15000003518461907,150.00003518461907,0.15
refined_mortar,0.95,3.042854524009381e-10,Membrane_Si1,0.16066654995350357,160.66654995350356,0.15
refined_mortar,1.0,3.203004762115138e-10,TES,0.16577917357369207,165.77917357369208,0.15
refined_mortar,1.0,3.203004762115138e-10,Membrane_SiNx,0.16135593552388278,161.35593552388278,0.15
refined_mortar,1.0,3.203004762115138e-10,Stycast,0.16577952938488308,165.7795293848831,0.15
refined_mortar,1.0,3.203004762115138e-10,SiO2_1,0.15030190189576953,150.30190189576953,0.15
refined_mortar,1.0,3.203004762115138e-10,Si_1,0.15000011533995064,150.00011533995064,0.15
refined_mortar,1.0,3.203004762115138e-10,SiNx,0.15000011653926826,150.00011653926825,0.15
refined_mortar,1.0,3.203004762115138e-10,Si_2,0.15000008270480952,150.00008270480953,0.15
refined_mortar,1.0,3.203004762115138e-10,SiO2_2,0.15000003703643586,150.00003703643586,0.15
refined_mortar,1.0,3.203004762115138e-10,Membrane_Si1,0.1612279457327406,161.2279457327406,0.15
refined_mortar,1.05,3.3631550002208954e-10,TES,0.1665681301339851,166.5681301339851,0.15
refined_mortar,1.05,3.3631550002208954e-10,Membrane_SiNx,0.16192373077549332,161.9237307754933,0.15
refined_mortar,1.05,3.3631550002208954e-10,Stycast,0.16656850373693902,166.56850373693902,0.15
refined_mortar,1.05,3.3631550002208954e-10,SiO2_1,0.15031699695002423,150.31699695002425,0.15
refined_mortar,1.05,3.3631550002208954e-10,Si_1,0.15000012110693123,150.00012110693123,0.15
refined_mortar,1.05,3.3631550002208954e-10,SiNx,0.1500001223662129,150.0001223662129,0.15
refined_mortar,1.05,3.3631550002208954e-10,Si_2,0.15000008684003896,150.00008684003896,0.15
refined_mortar,1.05,3.3631550002208954e-10,SiO2_2,0.15000003888825242,150.00003888825242,0.15
refined_mortar,1.05,3.3631550002208954e-10,Membrane_Si1,0.16178934151197852,161.7893415119785,0.15
