case,body,dT_dP_K_per_W,body_endpoint_dT_dP_K_per_W
historical,Membrane_Si1,37140805.07708922,37140805.07708922
historical,Membrane_SiNx,37610893.274646565,37610893.274646565
historical,SiNx,370.0140968542861,370.0140968542861
historical,SiO2_1,1001178.5903545314,1001178.5903545314
historical,SiO2_2,115.62116878181698,115.62116878181698
historical,Si_1,365.95830618259106,365.95830618259106
historical,Si_2,258.2270973448204,258.2270973448204
historical,Stycast,53240843.40503638,53240843.40503638
historical,TES,53239815.55706151,53239815.55706151
refined_mortar,Membrane_Si1,35054320.61029773,35054320.61029773
refined_mortar,Membrane_SiNx,35453912.42164527,35453912.42164527
refined_mortar,SiNx,363.84245925161036,363.84245925161036
refined_mortar,SiO2_1,942555.8422357892,942555.8422357892
refined_mortar,SiO2_2,115.62996684426629,115.62996684426629
refined_mortar,Si_1,360.09816574435865,360.09816574435865
refined_mortar,Si_2,258.2092767839743,258.2092767839743
refined_mortar,Stycast,49264638.07052294,49264638.07052294
refined_mortar,TES,49263527.14953878,49263527.14953878
