mesh,layer,z_min_m,z_max_m,thickness_m,element_count,node_count,volume_m3,effective_area_m2,k_W_mK,integral_k_dV_W_m,integral_rho_cp_dV_J_K,one_dimensional_layer_R_K_W
historical,1,0.00019216,0.000192785,6.249999999999999e-07,3214,3342,1.2168823105078874e-13,1.94701169681262e-07,2.69094e-06,3.274557284638095e-19,3.563031405167094e-13,1192909.349402852
historical,2,0.000192785,0.00019341,6.249999999999999e-07,3214,3342,1.2168823105078874e-13,1.94701169681262e-07,2.69094e-06,3.274557284638095e-19,3.563031405167094e-13,1192909.349402852
historical,3,0.00019341,0.000194035,6.249999999999999e-07,3214,3342,1.2168823105078874e-13,1.94701169681262e-07,2.69094e-06,3.274557284638095e-19,3.563031405167094e-13,1192909.349402852
historical,4,0.000194035,0.00019466,6.249999999999999e-07,3214,3342,1.2168823105078874e-13,1.94701169681262e-07,2.69094e-06,3.274557284638095e-19,3.563031405167094e-13,1192909.349402852
historical,5,0.00019466,0.000195285,6.249999999999999e-07,3214,3342,1.2168823105078874e-13,1.94701169681262e-07,2.69094e-06,3.274557284638095e-19,3.563031405167094e-13,1192909.349402852
historical,6,0.000195285,0.00019591,6.249999999999999e-07,3214,3342,1.2168823105078874e-13,1.94701169681262e-07,2.69094e-06,3.274557284638095e-19,3.563031405167094e-13,1192909.349402852
historical,7,0.00019591,0.00019653500000000001,6.249999999999999e-07,3214,3342,1.2168823105078341e-13,1.9470116968125348e-07,2.69094e-06,3.2745572846379513e-19,3.563031405166938e-13,1192909.349402904
historical,8,0.00019653500000000001,0.00019716,6.249999999999999e-07,3214,3342,1.2168823105078874e-13,1.94701169681262e-07,2.69094e-06,3.274557284638095e-19,3.563031405167094e-13,1192909.349402852
historical,9,0.00019716,0.000197785,6.249999999999999e-07,3214,3342,1.2168823105078874e-13,1.94701169681262e-07,2.69094e-06,3.274557284638095e-19,3.563031405167094e-13,1192909.349402852
historical,10,0.000197785,0.00019841,6.249999999999999e-07,3214,3342,1.2168823105078874e-13,1.94701169681262e-07,2.69094e-06,3.274557284638095e-19,3.563031405167094e-13,1192909.349402852
historical,11,0.00019841,0.000199035,6.249999999999999e-07,3214,3342,1.2168823105078874e-13,1.94701169681262e-07,2.69094e-06,3.274557284638095e-19,3.563031405167094e-13,1192909.349402852
historical,12,0.000199035,0.00019966,6.249999999999999e-07,3214,3342,1.2168823105078874e-13,1.94701169681262e-07,2.69094e-06,3.274557284638095e-19,3.563031405167094e-13,1192909.349402852
historical,13,0.00019966,0.000200285,6.249999999999999e-07,3214,3342,1.2168823105078874e-13,1.94701169681262e-07,2.69094e-06,3.274557284638095e-19,3.563031405167094e-13,1192909.349402852
historical,14,0.000200285,0.00020091,6.249999999999999e-07,3214,3342,1.2168823105078874e-13,1.94701169681262e-07,2.69094e-06,3.274557284638095e-19,3.563031405167094e-13,1192909.349402852
historical,15,0.00020091,0.000201535,6.249999999999999e-07,3214,3342,1.2168823105078874e-13,1.94701169681262e-07,2.69094e-06,3.274557284638095e-19,3.563031405167094e-13,1192909.349402852
historical,16,0.000201535,0.00020216,6.249999999999999e-07,3214,3342,1.2168823105078874e-13,1.94701169681262e-07,2.69094e-06,3.274557284638095e-19,3.563031405167094e-13,1192909.349402852
historical,17,0.00020216,0.000202785,6.249999999999999e-07,3214,3342,1.2168823105078874e-13,1.94701169681262e-07,2.69094e-06,3.274557284638095e-19,3.563031405167094e-13,1192909.349402852
historical,18,0.000202785,0.00020341,6.249999999999999e-07,3214,3342,1.2168823105078874e-13,1.94701169681262e-07,2.69094e-06,3.274557284638095e-19,3.563031405167094e-13,1192909.349402852
historical,19,0.00020341,0.000204035,6.249999999999999e-07,3214,3342,1.2168823105078874e-13,1.94701169681262e-07,2.69094e-06,3.274557284638095e-19,3.563031405167094e-13,1192909.349402852
historical,20,0.000204035,0.00020466,6.249999999999999e-07,3214,3342,1.2168823105078874e-13,1.94701169681262e-07,2.69094e-06,3.274557284638095e-19,3.563031405167094e-13,1192909.349402852
historical,21,0.00020466,0.000205285,6.249999999999999e-07,3214,3342,1.2168823105078874e-13,1.94701169681262e-07,2.69094e-06,3.274557284638095e-19,3.563031405167094e-13,1192909.349402852
historical,22,0.000205285,0.00020591,6.249999999999999e-07,3214,3342,1.2168823105078874e-13,1.94701169681262e-07,2.69094e-06,3.274557284638095e-19,3.563031405167094e-13,1192909.349402852
historical,23,0.00020591,0.00020653500000000001,6.249999999999999e-07,3214,3342,1.2168823105078341e-13,1.9470116968125348e-07,2.69094e-06,3.2745572846379513e-19,3.563031405166938e-13,1192909.349402904
historical,24,0.00020653500000000001,0.00020716000000000002,6.249999999999999e-07,3214,3342,1.2168823105078874e-13,1.94701169681262e-07,2.69094e-06,3.274557284638095e-19,3.563031405167094e-13,1192909.349402852
historical,25,0.00020716000000000002,0.000207785,6.249999999999999e-07,3214,3342,1.2168823105078874e-13,1.94701169681262e-07,2.69094e-06,3.274557284638095e-19,3.563031405167094e-13,1192909.349402852
historical,26,0.000207785,0.00020841,6.249999999999999e-07,3214,3342,1.2168823105078874e-13,1.94701169681262e-07,2.69094e-06,3.274557284638095e-19,3.563031405167094e-13,1192909.349402852
historical,27,0.00020841,0.000209035,6.249999999999999e-07,3214,3342,1.2168823105078874e-13,1.94701169681262e-07,2.69094e-06,3.274557284638095e-19,3.563031405167094e-13,1192909.349402852
historical,28,0.000209035,0.00020966,6.249999999999999e-07,3214,3342,1.2168823105078874e-13,1.94701169681262e-07,2.69094e-06,3.274557284638095e-19,3.563031405167094e-13,1192909.349402852
historical,29,0.00020966,0.000210285,6.249999999999999e-07,3214,3342,1.2168823105078874e-13,1.94701169681262e-07,2.69094e-06,3.274557284638095e-19,3.563031405167094e-13,1192909.349402852
historical,30,0.000210285,0.00021091,6.249999999999999e-07,3214,3342,1.2168823105078874e-13,1.94701169681262e-07,2.69094e-06,3.274557284638095e-19,3.563031405167094e-13,1192909.349402852
historical,31,0.00021091,0.000211535,6.249999999999999e-07,3214,3342,1.2168823105078874e-13,1.94701169681262e-07,2.69094e-06,3.274557284638095e-19,3.563031405167094e-13,1192909.349402852
historical,32,0.000211535,0.00021216,6.249999999999999e-07,3214,3342,1.2168823105078874e-13,1.94701169681262e-07,2.69094e-06,3.274557284638095e-19,3.563031405167094e-13,1192909.349402852
phase24,1,0.00019216,0.000192785,6.249999999999999e-07,1009,332,1.2108584725134362e-13,1.9373735560214982e-07,2.69094e-06,3.258347498025306e-19,3.545393607519341e-13,1198843.8932211339
phase24,2,0.000192785,0.00019341,6.249999999999999e-07,1013,333,1.2108584725134342e-13,1.9373735560214948e-07,2.69094e-06,3.258347498025301e-19,3.545393607519335e-13,1198843.893221136
phase24,3,0.00019341,0.000194035,6.249999999999999e-07,1014,333,1.2108584725134347e-13,1.9373735560214956e-07,2.69094e-06,3.2583474980253023e-19,3.5453936075193367e-13,1198843.8932211355
phase24,4,0.000194035,0.00019466,6.249999999999999e-07,1001,330,1.2108584725134354e-13,1.937373556021497e-07,2.69094e-06,3.258347498025304e-19,3.5453936075193387e-13,1198843.8932211348
phase24,5,0.00019466,0.000195285,6.249999999999999e-07,1006,331,1.2108584725134344e-13,1.9373735560214953e-07,2.69094e-06,3.2583474980253013e-19,3.5453936075193357e-13,1198843.8932211357
phase24,6,0.000195285,0.00019591,6.249999999999999e-07,1014,333,1.210858472513434e-13,1.9373735560214945e-07,2.69094e-06,3.2583474980253e-19,3.5453936075193347e-13,1198843.8932211362
phase24,7,0.00019591,0.00019653500000000001,6.249999999999999e-07,1014,333,1.2108584725133842e-13,1.9373735560214148e-07,2.69094e-06,3.2583474980251665e-19,3.545393607519189e-13,1198843.8932211855
phase24,8,0.00019653500000000001,0.00019716,6.249999999999999e-07,1013,333,1.2108584725134357e-13,1.9373735560214971e-07,2.69094e-06,3.2583474980253047e-19,3.5453936075193397e-13,1198843.8932211346
phase24,9,0.00019716,0.000197785,6.249999999999999e-07,1009,332,1.2108584725134347e-13,1.9373735560214956e-07,2.69094e-06,3.2583474980253023e-19,3.5453936075193367e-13,1198843.8932211355
phase24,10,0.000197785,0.00019841,6.249999999999999e-07,997,329,1.2108584725134354e-13,1.937373556021497e-07,2.69094e-06,3.258347498025304e-19,3.5453936075193387e-13,1198843.8932211348
phase24,11,0.00019841,0.000199035,6.249999999999999e-07,1017,334,1.2108584725134347e-13,1.9373735560214956e-07,2.69094e-06,3.2583474980253023e-19,3.5453936075193367e-13,1198843.8932211355
phase24,12,0.000199035,0.00019966,6.249999999999999e-07,1009,332,1.2108584725134357e-13,1.9373735560214971e-07,2.69094e-06,3.2583474980253047e-19,3.5453936075193397e-13,1198843.8932211346
phase24,13,0.00019966,0.000200285,6.249999999999999e-07,1005,331,1.2108584725134362e-13,1.9373735560214982e-07,2.69094e-06,3.258347498025306e-19,3.545393607519341e-13,1198843.8932211339
phase24,14,0.000200285,0.00020091,6.249999999999999e-07,1009,332,1.2108584725134327e-13,1.9373735560214924e-07,2.69094e-06,3.2583474980252965e-19,3.5453936075193306e-13,1198843.8932211376
phase24,15,0.00020091,0.000201535,6.249999999999999e-07,1001,330,1.2108584725134342e-13,1.9373735560214948e-07,2.69094e-06,3.258347498025301e-19,3.545393607519335e-13,1198843.893221136
phase24,16,0.000201535,0.00020216,6.249999999999999e-07,1009,332,1.210858472513435e-13,1.937373556021496e-07,2.69094e-06,3.258347498025303e-19,3.545393607519337e-13,1198843.8932211353
phase24,17,0.00020216,0.000202785,6.249999999999999e-07,1006,331,1.2108584725134357e-13,1.9373735560214971e-07,2.69094e-06,3.2583474980253047e-19,3.5453936075193397e-13,1198843.8932211346
phase24,18,0.000202785,0.00020341,6.249999999999999e-07,1009,332,1.2108584725134342e-13,1.9373735560214948e-07,2.69094e-06,3.258347498025301e-19,3.545393607519335e-13,1198843.893221136
phase24,19,0.00020341,0.000204035,6.249999999999999e-07,1006,331,1.2108584725134347e-13,1.9373735560214956e-07,2.69094e-06,3.2583474980253023e-19,3.5453936075193367e-13,1198843.8932211355
phase24,20,0.000204035,0.00020466,6.249999999999999e-07,1013,333,1.2108584725134347e-13,1.9373735560214956e-07,2.69094e-06,3.2583474980253023e-19,3.5453936075193367e-13,1198843.8932211355
phase24,21,0.00020466,0.000205285,6.249999999999999e-07,1014,333,1.2108584725134352e-13,1.9373735560214963e-07,2.69094e-06,3.2583474980253037e-19,3.545393607519338e-13,1198843.893221135
phase24,22,0.000205285,0.00020591,6.249999999999999e-07,1013,333,1.2108584725134342e-13,1.9373735560214948e-07,2.69094e-06,3.258347498025301e-19,3.545393607519335e-13,1198843.893221136
phase24,23,0.00020591,0.00020653500000000001,6.249999999999999e-07,1014,333,1.2108584725133832e-13,1.9373735560214132e-07,2.69094e-06,3.2583474980251636e-19,3.5453936075191857e-13,1198843.8932211865
phase24,24,0.00020653500000000001,0.00020716000000000002,6.249999999999999e-07,1009,332,1.2108584725134357e-13,1.9373735560214971e-07,2.69094e-06,3.2583474980253047e-19,3.5453936075193397e-13,1198843.8932211346
phase24,25,0.00020716000000000002,0.000207785,6.249999999999999e-07,1010,332,1.2108584725134357e-13,1.9373735560214971e-07,2.69094e-06,3.2583474980253047e-19,3.5453936075193397e-13,1198843.8932211346
