case,label,run,power_W,TES_temperature_K,TES_temperature_mK,bath_temperature_K,delta_T_to_bath_K,bath_flux_W,native_body_heat_source_integral_W,convergence,residual,solver,mesh,TES_to_membrane_reaction_W,TES_to_Stycast_reaction_W,Stycast_to_substrate_reaction_W,native_constraint_rows,Stycast_first_layer_temperature_K,Stycast_total_temperature_K
historical,historical,historical_0p95P,3.042854524009381e-10,0.1662001143989125,166.2001143989125,0.15,0.016200114398912502,3.042858120244e-10,3.042854524009381e-10,fixed-power direct one-shot,native capture recorded,CPU native HeatSolve MUMPS,mesh_singlepixel_prod_v2,3.0428579431397055e-10,7.951069392618027e-18,-3.923039836670604e-19,5560,,
historical,historical,historical_1p00P,3.203004762115138e-10,0.16705275088046675,167.05275088046676,0.15,0.01705275088046676,3.203008381178e-10,3.203004762115138e-10,fixed-power direct one-shot,native capture recorded,CPU native HeatSolve MUMPS,mesh_singlepixel_prod_v2,3.2030081898766044e-10,8.200446597886309e-18,-4.661003729171759e-19,5560,,
historical,historical,historical_1p05P,3.3631550002208954e-10,0.1679053873619883,167.9053873619883,0.15,0.017905387361988295,3.363158641628e-10,3.3631550002208954e-10,fixed-power direct one-shot,native capture recorded,CPU native HeatSolve MUMPS,mesh_singlepixel_prod_v2,3.363158467965265e-10,5.516159889578549e-18,-4.2007932934237366e-19,5560,,
original_phase24,original Phase24,original_phase24_0p95P,3.042854524009381e-10,0.16096707618440312,160.9670761844031,0.15,0.010967076184403124,3.043943538042e-10,3.042854524009381e-10,fixed-power direct one-shot,native capture recorded,CPU native HeatSolve MUMPS,mesh_singlepixel_gpu_fine_stycast32_mortar,0.0,1.35761974567373e-19,-5.310906101640227e-21,186,,
original_phase24,original Phase24,original_phase24_1p00P,3.203004762115138e-10,0.16154428941272603,161.54428941272602,0.15,0.011544289412726033,3.204150712735e-10,3.203004762115138e-10,fixed-power direct one-shot,native capture recorded,CPU native HeatSolve MUMPS,mesh_singlepixel_gpu_fine_stycast32_mortar,0.0,1.483319658492076e-19,4.709041914862233e-21,186,,
original_phase24,original Phase24,original_phase24_1p05P,3.3631550002208954e-10,0.16212150264104874,162.12150264104875,0.15,0.012121502641048748,3.364357887203e-10,3.3631550002208954e-10,fixed-power direct one-shot,native capture recorded,CPU native HeatSolve MUMPS,mesh_singlepixel_gpu_fine_stycast32_mortar,0.0,2.9333487058098796e-19,-1.2554081572347135e-20,186,,
phase24_stycast_only_refined,Phase24 Stycast-only h=5um,phase24_stycast_only_refined_0p95P,3.042854524009381e-10,1.649684176895349e-01,164.968417689535,0.15,1.496841768953494e-02,,3.042854524009381e-10,fixed-power direct one-shot,native capture recorded,CPU native HeatSolve MUMPS,mesh_phase24_stycast_only_refined,,,,5811,,
phase24_stycast_only_refined,Phase24 Stycast-only h=5um,phase24_stycast_only_refined_1p00P,3.203004762115138e-10,1.657562266940605e-01,165.756226694061,0.15,1.575622669406054e-02,,3.203004762115138e-10,fixed-power direct one-shot,native capture recorded,CPU native HeatSolve MUMPS,mesh_phase24_stycast_only_refined,,,,5811,,
phase24_stycast_only_refined,Phase24 Stycast-only h=5um,phase24_stycast_only_refined_1p05P,3.363155000220895e-10,1.665440356985862e-01,166.544035698586,0.15,1.654403569858620e-02,,3.363155000220895e-10,fixed-power direct one-shot,native capture recorded,CPU native HeatSolve MUMPS,mesh_phase24_stycast_only_refined,,,,5811,,
phase24_historical_density,Phase24 historical-density candidate (10um),phase24_historical_density_0p95P,3.042854524009381e-10,1.649899176176975e-01,164.989917617698,0.15,1.498991761769755e-02,3.043594688349000e-10,3.042854524009381e-10,fixed-power direct one-shot,native capture recorded,CPU native HeatSolve MUMPS,mesh_phase24_stycast_density_10um,,,,2414,,1.649904632570232e-01
phase24_historical_density,Phase24 historical-density candidate (10um),phase24_historical_density_1p00P,3.203004762115138e-10,1.657788584203432e-01,165.778858420343,0.15,1.577885842034318e-02,3.203783375817000e-10,3.203004762115138e-10,fixed-power direct one-shot,native capture recorded,CPU native HeatSolve MUMPS,mesh_phase24_stycast_density_10um,,,,2414,,1.657794327791124e-01
phase24_historical_density,Phase24 historical-density candidate (10um),phase24_historical_density_1p05P,3.363155000220895e-10,1.665677992229891e-01,166.567799222989,0.15,1.656779922298915e-02,3.363972062849000e-10,3.363155000220895e-10,fixed-power direct one-shot,native capture recorded,CPU native HeatSolve MUMPS,mesh_phase24_stycast_density_10um,,,,2414,,1.665684023016327e-01
