layer,body_id,z_min_nominal,z_max_nominal,element_count,node_count,element_z_min,element_z_max
1,200,0.00019216,0.000192785,1009,332,0.00019216,0.000192785
2,201,0.000192785,0.00019341,1013,333,0.000192785,0.00019341
3,202,0.00019341,0.000194035,1014,333,0.00019341,0.000194035
4,203,0.000194035,0.00019466,1001,330,0.000194035,0.00019466
5,204,0.00019466,0.000195285,1006,331,0.00019466,0.000195285
6,205,0.000195285,0.00019591,1014,333,0.000195285,0.00019591
7,206,0.00019591,0.00019653500000000001,1014,333,0.00019591,0.000196535
8,207,0.00019653500000000001,0.00019716,1013,333,0.000196535,0.00019716
9,208,0.00019716,0.000197785,1009,332,0.00019716,0.000197785
10,209,0.000197785,0.00019841,997,329,0.000197785,0.00019841
11,210,0.00019841,0.000199035,1017,334,0.00019841,0.000199035
12,211,0.000199035,0.00019966,1009,332,0.000199035,0.00019966
13,212,0.00019966,0.000200285,1005,331,0.00019966,0.000200285
14,213,0.000200285,0.00020091,1009,332,0.000200285,0.00020091
15,214,0.00020091,0.000201535,1001,330,0.00020091,0.000201535
16,215,0.000201535,0.00020216,1009,332,0.000201535,0.00020216
17,216,0.00020216,0.000202785,1006,331,0.00020216,0.000202785
18,217,0.000202785,0.00020341,1009,332,0.000202785,0.00020341
19,218,0.00020341,0.000204035,1006,331,0.00020341,0.000204035
20,219,0.000204035,0.00020466,1013,333,0.000204035,0.00020466
21,220,0.00020466,0.000205285,1014,333,0.00020466,0.000205285
22,221,0.000205285,0.00020591,1013,333,0.000205285,0.00020591
23,222,0.00020591,0.00020653500000000001,1014,333,0.00020591,0.000206535
24,223,0.00020653500000000001,0.00020716000000000002,1009,332,0.000206535,0.00020716
25,224,0.00020716000000000002,0.000207785,1010,332,0.00020716,0.000207785
26,225,0.000207785,0.00020841,998,329,0.000207785,0.00020841
27,226,0.00020841,0.000209035,1005,331,0.00020841,0.000209035
28,227,0.000209035,0.00020966,1005,331,0.000209035,0.00020966
29,228,0.00020966,0.000210285,1001,330,0.00020966,0.000210285
30,229,0.000210285,0.00021091,1009,332,0.000210285,0.00021091
31,230,0.00021091,0.000211535,997,329,0.00021091,0.000211535
32,231,0.000211535,0.00021216,636,220,0.000211535,0.00021216
