layer_a,layer_b,layer_gap,element_pair_count,neighbor_expected,edge_class
1,2,1,21127,True,neighbor
2,3,1,19823,True,neighbor
3,4,1,19584,True,neighbor
4,5,1,19286,True,neighbor
5,6,1,19774,True,neighbor
6,7,1,19619,True,neighbor
7,8,1,19682,True,neighbor
8,9,1,19662,True,neighbor
9,10,1,19674,True,neighbor
10,11,1,19525,True,neighbor
11,12,1,19823,True,neighbor
12,13,1,19696,True,neighbor
13,14,1,19743,True,neighbor
14,15,1,19555,True,neighbor
15,16,1,19697,True,neighbor
16,17,1,19699,True,neighbor
17,18,1,19534,True,neighbor
18,19,1,19685,True,neighbor
19,20,1,19734,True,neighbor
20,21,1,19817,True,neighbor
21,22,1,19829,True,neighbor
22,23,1,19799,True,neighbor
23,24,1,19755,True,neighbor
24,25,1,19519,True,neighbor
25,26,1,19547,True,neighbor
26,27,1,19381,True,neighbor
27,28,1,19517,True,neighbor
28,29,1,19446,True,neighbor
29,30,1,19536,True,neighbor
30,31,1,19279,True,neighbor
31,32,1,15112,True,neighbor
