boundary_id,boundary_name,parent_element,layer,allowed_outer_face,classification
1204,Stycast__zmin,255156,1,True,allowed_outer_face
1204,Stycast__zmin,261139,1,True,allowed_outer_face
1204,Stycast__zmin,260599,1,True,allowed_outer_face
1204,Stycast__zmin,258359,1,True,allowed_outer_face
1204,Stycast__zmin,221886,1,True,allowed_outer_face
1204,Stycast__zmin,256647,1,True,allowed_outer_face
1204,Stycast__zmin,269505,1,True,allowed_outer_face
1204,Stycast__zmin,258841,1,True,allowed_outer_face
1204,Stycast__zmin,267468,1,True,allowed_outer_face
1204,Stycast__zmin,226757,1,True,allowed_outer_face
1204,Stycast__zmin,222612,1,True,allowed_outer_face
1204,Stycast__zmin,230121,1,True,allowed_outer_face
1204,Stycast__zmin,262888,1,True,allowed_outer_face
1204,Stycast__zmin,227298,1,True,allowed_outer_face
1204,Stycast__zmin,224169,1,True,allowed_outer_face
1204,Stycast__zmin,252461,1,True,allowed_outer_face
1204,Stycast__zmin,266861,1,True,allowed_outer_face
1204,Stycast__zmin,253404,1,True,allowed_outer_face
1204,Stycast__zmin,261830,1,True,allowed_outer_face
1204,Stycast__zmin,219950,1,True,allowed_outer_face
1204,Stycast__zmin,218092,1,True,allowed_outer_face
1204,Stycast__zmin,219525,1,True,allowed_outer_face
1204,Stycast__zmin,262466,1,True,allowed_outer_face
1204,Stycast__zmin,215856,1,True,allowed_outer_face
1204,Stycast__zmin,268917,1,True,allowed_outer_face
1204,Stycast__zmin,270773,1,True,allowed_outer_face
1204,Stycast__zmin,217046,1,True,allowed_outer_face
1204,Stycast__zmin,266753,1,True,allowed_outer_face
1204,Stycast__zmin,268477,1,True,allowed_outer_face
1204,Stycast__zmin,225461,1,True,allowed_outer_face
1204,Stycast__zmin,226555,1,True,allowed_outer_face
1204,Stycast__zmin,251261,1,True,allowed_outer_face
1204,Stycast__zmin,230761,1,True,allowed_outer_face
1204,Stycast__zmin,269706,1,True,allowed_outer_face
1204,Stycast__zmin,221584,1,True,allowed_outer_face
1204,Stycast__zmin,269130,1,True,allowed_outer_face
1204,Stycast__zmin,228950,1,True,allowed_outer_face
1204,Stycast__zmin,241150,1,True,allowed_outer_face
1204,Stycast__zmin,243376,1,True,allowed_outer_face
1204,Stycast__zmin,259138,1,True,allowed_outer_face
1204,Stycast__zmin,256846,1,True,allowed_outer_face
1204,Stycast__zmin,256969,1,True,allowed_outer_face
1204,Stycast__zmin,259296,1,True,allowed_outer_face
1204,Stycast__zmin,252452,1,True,allowed_outer_face
1204,Stycast__zmin,252756,1,True,allowed_outer_face
1204,Stycast__zmin,231520,1,True,allowed_outer_face
1204,Stycast__zmin,250824,1,True,allowed_outer_face
1204,Stycast__zmin,233789,1,True,allowed_outer_face
1204,Stycast__zmin,231644,1,True,allowed_outer_face
1204,Stycast__zmin,237521,1,True,allowed_outer_face
1204,Stycast__zmin,237942,1,True,allowed_outer_face
1204,Stycast__zmin,233421,1,True,allowed_outer_face
1204,Stycast__zmin,240448,1,True,allowed_outer_face
1204,Stycast__zmin,251335,1,True,allowed_outer_face
1204,Stycast__zmin,256418,1,True,allowed_outer_face
1204,Stycast__zmin,249127,1,True,allowed_outer_face
1204,Stycast__zmin,234538,1,True,allowed_outer_face
1204,Stycast__zmin,237428,1,True,allowed_outer_face
1204,Stycast__zmin,238692,1,True,allowed_outer_face
