layer_a,layer_b,layer_gap,shared_node_count,neighbor_expected,edge_class
1,2,1,139,True,neighbor
2,3,1,139,True,neighbor
3,4,1,139,True,neighbor
4,5,1,139,True,neighbor
5,6,1,139,True,neighbor
6,7,1,139,True,neighbor
7,8,1,139,True,neighbor
8,9,1,139,True,neighbor
9,10,1,139,True,neighbor
10,11,1,139,True,neighbor
11,12,1,139,True,neighbor
12,13,1,139,True,neighbor
13,14,1,139,True,neighbor
14,15,1,139,True,neighbor
15,16,1,139,True,neighbor
16,17,1,139,True,neighbor
17,18,1,139,True,neighbor
18,19,1,139,True,neighbor
19,20,1,139,True,neighbor
20,21,1,139,True,neighbor
21,22,1,139,True,neighbor
22,23,1,139,True,neighbor
23,24,1,139,True,neighbor
24,25,1,139,True,neighbor
25,26,1,139,True,neighbor
26,27,1,139,True,neighbor
27,28,1,139,True,neighbor
28,29,1,139,True,neighbor
29,30,1,139,True,neighbor
30,31,1,139,True,neighbor
31,32,1,139,True,neighbor
