case,run,segment,delta_T_K,heat_flow_W,R_K_per_W
historical,historical_1p00p,TES_to_Stycast_entry,-3.242448486651117e-07,3.203004762115138e-10,-1012.3146006532728
historical,historical_1p00p,Stycast_bulk,-1.3287396433137033e-08,3.203004762115138e-10,-41.48416071777102
historical,historical_1p00p,Stycast_to_substrate_exit,0.017053051619812132,3.203004762115138e-10,53240793.836818926
historical,historical_1p00p,substrate_to_bath,3.6792899754667374e-08,3.203004762115138e-10,114.86995021003588
tes_side_only_baseline,phase24_historical_density_1p00p,TES_to_Stycast_entry,-5.812774239721819e-07,3.203004762115138e-10,-1814.7878855738234
tes_side_only_baseline,phase24_historical_density_1p00p,Stycast_bulk,-8.61808358565419e-08,3.203004762115138e-10,-269.0624655819477
tes_side_only_baseline,phase24_historical_density_1p00p,Stycast_to_substrate_exit,0.01577948875379026,3.203004762115138e-10,49264643.438650735
tes_side_only_baseline,phase24_historical_density_1p00p,substrate_to_bath,3.712481277950985e-08,3.203004762115138e-10,115.90620538133102
tes_plus_substrate,phase24_tes_plus_substrate_side_refined_1p00p,TES_to_Stycast_entry,-5.766349465696763e-07,3.203004762115138e-10,-1800.2937535094056
tes_plus_substrate,phase24_tes_plus_substrate_side_refined_1p00p,Stycast_bulk,-8.700187192900444e-08,3.203004762115138e-10,-271.6257963711294
tes_plus_substrate,phase24_tes_plus_substrate_side_refined_1p00p,Stycast_to_substrate_exit,0.01585270762053953,3.203004762115138e-10,49493237.74989028
tes_plus_substrate,phase24_tes_plus_substrate_side_refined_1p00p,substrate_to_bath,3.7109801592771774e-08,3.203004762115138e-10,115.8593394293486
