case,interface,metric,min,p10,median,mean,p90,max
historical,Stycast_to_substrate,constraint_count,1671.0,1671.0,1671.0,1671.0,1671.0,1671.0
historical,Stycast_to_substrate,support_node_count,12.0,16.0,19.0,19.421903052064632,23.0,29.0
historical,Stycast_to_substrate,coefficient_l1,7.988816750350392e-11,1.4456064026428177e-10,2.330241453532551e-10,2.3292431240663554e-10,3.195028634130041e-10,4.4471871368358947e-10
historical,Stycast_to_substrate,coefficient_l2,3.286273511169506e-11,5.706095284308612e-11,8.680049516190213e-11,8.602593684234383e-11,1.1357219873291402e-10,1.482767081893258e-10
historical,Stycast_to_substrate,support_x_span_m,1.3283029267999999e-05,2.9005707393000023e-05,3.5523648135600005e-05,3.543116404313377e-05,4.176652717499999e-05,5.4766603116599994e-05
historical,Stycast_to_substrate,support_y_span_m,1.9777800623999942e-05,2.869013891200001e-05,3.524650937000002e-05,3.5246667915144824e-05,4.168589441399997e-05,5.1692878440999946e-05
tes_side_only_baseline,Stycast_to_substrate,constraint_count,45.0,45.0,45.0,45.0,45.0,45.0
tes_side_only_baseline,Stycast_to_substrate,support_node_count,12.0,13.0,16.0,16.08888888888889,19.6,21.0
tes_side_only_baseline,Stycast_to_substrate,coefficient_l1,3.6219992523340682e-09,4.878281600965419e-09,7.653996635450262e-09,8.482199514828635e-09,1.3683483228049712e-08,1.6307628036393214e-08
tes_side_only_baseline,Stycast_to_substrate,coefficient_l2,1.576845940457222e-09,1.9989536069423485e-09,3.0904160406811563e-09,3.287795558797483e-09,5.133992316482752e-09,5.90012253506718e-09
tes_side_only_baseline,Stycast_to_substrate,support_x_span_m,0.000155895709463,0.00015819691769584,0.0002348146889087,0.00021856930416679115,0.00023757461718046,0.00031115811818699997
tes_side_only_baseline,Stycast_to_substrate,support_y_span_m,0.00017430556359,0.00018040490809399993,0.00022675347010000005,0.00023688040499206665,0.0002699259089822,0.00031673284072800015
tes_plus_substrate,Stycast_to_substrate,constraint_count,2370.0,2370.0,2370.0,2370.0,2370.0,2370.0
tes_plus_substrate,Stycast_to_substrate,support_node_count,8.0,10.0,10.0,10.670042194092828,12.0,19.0
tes_plus_substrate,Stycast_to_substrate,coefficient_l1,5.864073854852667e-11,1.3815849946798801e-10,1.732050807520247e-10,1.6430881913636113e-10,1.7320508079907058e-10,2.2539868569712722e-10
tes_plus_substrate,Stycast_to_substrate,coefficient_l2,2.536274146121992e-11,5.853332753152855e-11,7.425195453775802e-11,7.243155301780465e-11,8.488454375506918e-11,1.0665409207237451e-10
tes_plus_substrate,Stycast_to_substrate,support_x_span_m,3.1500581081e-05,6.066036969933999e-05,0.00017514804906619002,0.00017781890053479517,0.000304059579894,0.000412487009444
tes_plus_substrate,Stycast_to_substrate,support_y_span_m,2.248548992999982e-05,5.821777038499988e-05,0.00014905516794799995,0.00014140818446371772,0.00019394202927999998,0.0003702369209690001
