case,side,parent_element,element_type,face_area_m2,edge_min_m,edge_max_m,element_depth_m,element_volume_m3,element_aspect_ratio,face_node_count,K_ff_trace_W_K,K_fi_fro_W_K,K_ii_trace_W_K,K_condensed_trace_W_K,K_condensed_fro_W_K,condensation
historical,stycast_side,322963,706,9.24345783481938e-11,1.2415484485708478e-05,1.637965601890358e-05,3.1249999999998727e-07,5.777161146762145e-17,26.226521235609255,3,4.000256279661106e-10,2.811720939836056e-10,4.000256279661106e-10,6.067611977707123e-12,4.497660483699846e-12,solve
historical,stycast_side,403178,706,9.275547524554663e-11,1.241548448527799e-05,1.6419230704234996e-05,3.1249999999998727e-07,5.797217202846702e-17,26.289794797836727,3,4.01409353862079e-10,2.821488014553948e-10,4.01409353862079e-10,6.0739012155440175e-12,4.5060390210271374e-12,solve
historical,stycast_side,266424,706,9.243457834488281e-11,1.2415484485380978e-05,1.6379656019356724e-05,3.1249999999998727e-07,5.777161146555188e-17,26.226521236333756,3,4.0002562795187546e-10,2.811720939735213e-10,4.0002562795187546e-10,6.067611977769162e-12,4.497660483785577e-12,solve
historical,stycast_side,369981,706,5.2398278203951955e-11,9.692109852080037e-06,1.207601791920172e-05,3.1249999999998727e-07,3.274892387747013e-17,19.347489100379242,3,2.2760864173662366e-10,1.592888986110547e-10,2.2760864173662366e-10,5.898308538139233e-12,4.2980724296647626e-12,solve
historical,stycast_side,444015,706,9.043966209627118e-11,1.3013344884894234e-05,1.5442816835873872e-05,3.124999999999873e-07,5.65247888101698e-17,24.728734603198998,3,3.913735171946968e-10,2.7510600392767907e-10,3.913735171946968e-10,5.885475335908531e-12,4.2483563848310434e-12,solve
historical,stycast_side,446044,706,8.308794454001983e-11,1.2755446101463653e-05,1.5442816835873872e-05,3.1249999999998727e-07,5.192996533751259e-17,24.728734603198998,3,3.5972870567150975e-10,2.527232010807529e-10,3.5972870567150975e-10,5.902334223074834e-12,4.2757248569487754e-12,solve
historical,stycast_side,367165,706,5.651134039371051e-11,1.0522594203281927e-05,1.207601791920172e-05,3.1249999999998727e-07,3.531958774606919e-17,19.347489100379242,3,2.452787774580798e-10,1.7181525695032812e-10,2.452787774580798e-10,5.799199958061541e-12,4.154159901638383e-12,solve
historical,stycast_side,360930,706,8.27390838323334e-11,1.1021480342822875e-05,1.681381622597317e-05,3.1249999999998727e-07,5.171192739520859e-17,26.920685451281525,3,3.584068410435591e-10,2.516402362061814e-10,3.5840684104355906e-10,6.4151712443888574e-12,4.963510468496071e-12,solve
historical,stycast_side,471459,706,9.944513900080378e-11,1.4615036883934405e-05,1.636030448356833e-05,3.1249999999998727e-07,6.215321187550266e-17,26.195581321195473,3,4.3012629936605323e-10,3.025250272648263e-10,4.3012629936605323e-10,5.833179757502718e-12,4.17113997477697e-12,solve
historical,stycast_side,470077,706,7.229794083007057e-11,1.0785735575558469e-05,1.4615036883934405e-05,3.1249999999998727e-07,4.5186213018794404e-17,23.40543133514165,3,3.1335067017343475e-10,2.1986463587699893e-10,3.1335067017343475e-10,6.112922738659219e-12,4.570590647226937e-12,solve
historical,stycast_side,444622,706,7.7775539003718e-11,1.2828551805783053e-05,1.4177933592630437e-05,3.1249999999998727e-07,4.860971187732378e-17,22.706724344343815,3,3.368186271254096e-10,2.3655425040251346e-10,3.3681862712540957e-10,5.790403099069813e-12,4.12222864292333e-12,solve
historical,stycast_side,349369,706,9.99338446940906e-11,1.4192665713162022e-05,1.7078164097002725e-05,3.1249999999998727e-07,6.245865293380693e-17,27.343354652379936,3,4.3226250456483497e-10,3.04009132874727e-10,4.3226250456483497e-10,5.925852994382154e-12,4.300220485662477e-12,solve
historical,stycast_side,470699,706,5.743762461679082e-11,9.764619249436073e-06,1.4296322381931e-05,3.1249999999998727e-07,3.5898515385494326e-17,22.89596414521862,3,2.494492525311523e-10,1.7461428053031642e-10,2.494492525311523e-10,6.309226557176422e-12,4.845034138394104e-12,solve
historical,stycast_side,468269,706,8.472302342129725e-11,1.1914100893087638e-05,1.6300307085924286e-05,3.1249999999998727e-07,5.2951889638310955e-17,26.099655714286847,3,3.6684485982885756e-10,2.576922491126383e-10,3.668448598288575e-10,6.1217026430010305e-12,4.574563148355373e-12,solve
historical,stycast_side,453359,706,5.7909329531331573e-11,9.825398599818174e-06,1.3489505504303248e-05,3.1249999999998727e-07,3.619333095708227e-17,21.60636254443594,3,2.5140116311067016e-10,1.7605943689252402e-10,2.5140116311067016e-10,6.090352204093062e-12,4.553405060551713e-12,solve
historical,stycast_side,426820,706,8.012894361923416e-11,1.3005724186092746e-05,1.4110105074851025e-05,3.1249999999998727e-07,5.0080589762021554e-17,22.59830451542193,3,3.4694631660821365e-10,2.437196173930462e-10,3.4694631660821365e-10,5.778631048280939e-12,4.104030741234682e-12,solve
historical,stycast_side,423544,706,7.757702173031631e-11,1.2847721327444206e-05,1.4110105074851025e-05,3.1249999999998727e-07,4.848563858144795e-17,22.59830451542193,3,3.3596223479926314e-10,2.3595007078412364e-10,3.3596223479926314e-10,5.785438406118891e-12,4.115340690798441e-12,solve
historical,stycast_side,489555,706,6.752751083245537e-11,1.172428045438433e-05,1.3731727978100533e-05,3.1249999999998727e-07,4.220469427028466e-17,21.993510505538737,3,2.927190524780949e-10,2.0535206946611976e-10,2.927190524780949e-10,5.844963196464305e-12,4.206844470755397e-12,solve
historical,stycast_side,358841,706,7.729101922793366e-11,1.0420076700637732e-05,1.59121541824135e-05,3.1249999999998727e-07,4.8306887017458686e-17,25.47907819870529,3,3.3496588806463443e-10,2.3505214322033474e-10,3.349658880646345e-10,6.4524384443137454e-12,5.0150136579891225e-12,solve
historical,stycast_side,441399,706,7.508477691340617e-11,1.0665371848295575e-05,1.541883767744171e-05,3.1249999999998727e-07,4.692798557087899e-17,24.690399381695606,3,3.254017525793675e-10,2.2834292045553337e-10,3.254017525793675e-10,6.264896796529495e-12,4.771270388145314e-12,solve
historical,stycast_side,362374,706,5.786659068140967e-11,1.009070632252249e-05,1.3713328018710053e-05,3.1249999999998727e-07,3.6166619175881175e-17,21.964101058153215,3,2.512182876082937e-10,1.759291908865786e-10,2.512182876082937e-10,6.093430692448133e-12,4.557604370832961e-12,solve
