case,body_id,body_name,material_id,material_name,conductivity,density,cp,element_count,volume_m3
phase24_tes_stycast_bypass,100,abs,1,Pb,0.0168,9860,3.26e-05,7023,7e-10
phase24_tes_stycast_bypass,101,TES,2,TES,68,15695,0.00125,1709,3.999999999999962e-14
phase24_tes_stycast_bypass,102,Stycast,3,Stycast,2.69094e-06,2400,0.00122,31885,3.874103524108756e-12
phase24_tes_stycast_bypass,103,Membrane_SiNx,7,Membrane,Variable Temperature,2387,9.819999999999999e-06,3529,4.899999999999987e-13
phase24_tes_stycast_bypass,104,SiO2_1,4,SiO2,0.000494,2200,0.000124,66097,1.799999999999995e-11
phase24_tes_stycast_bypass,105,Si_1,5,Si,0.37,2332,1.24e-06,68092,2.626500000000002e-10
phase24_tes_stycast_bypass,106,SiNx,6,SiNx,0.000102,3400,2.43e-05,68980,1.750999999999995e-11
phase24_tes_stycast_bypass,107,Si_2,5,Si,0.37,2332,1.24e-06,172845,6.1285e-09
phase24_tes_stycast_bypass,108,SiO2_2,4,SiO2,0.000494,2200,0.000124,68287,3.50199999999999e-11
phase24_tes_stycast_bypass,109,Membrane_Si1,7,Membrane,Variable Temperature,2387,9.819999999999999e-06,2384,7.350000000000007e-12
