case,label,run,segment,native_reaction_W,method
historical,historical,historical_1p00P,TES->membrane,3.2030081898766044e-10,C lambda native mortar reaction
historical,historical,historical_1p00P,TES->Stycast,8.200446597886309e-18,C lambda native mortar reaction
historical,historical,historical_1p00P,Stycast->substrate,-4.661003729171759e-19,C lambda native mortar reaction
historical,historical,historical_1p00P,other/shared-node/conformal to bath,1.1395793295565154e-17,bath flux minus classified native mortar reactions
historical,historical,historical_1p00P,total bath out,3.203008381178e-10,native SaveScalars bath boundary flux
original_phase24,original Phase24,original_phase24_1p00P,TES->membrane,0.0,C lambda native mortar reaction
original_phase24,original Phase24,original_phase24_1p00P,TES->Stycast,1.483319658492076e-19,C lambda native mortar reaction
original_phase24,original Phase24,original_phase24_1p00P,Stycast->substrate,4.709041914862233e-21,C lambda native mortar reaction
original_phase24,original Phase24,original_phase24_1p00P,other/shared-node/conformal to bath,3.2041507112045897e-10,bath flux minus classified native mortar reactions
original_phase24,original Phase24,original_phase24_1p00P,total bath out,3.204150712735e-10,native SaveScalars bath boundary flux
phase24_tes_membrane_mortar,Phase24 TES-membrane mortar,phase24_tes_membrane_mortar_1p00P,TES->membrane,3.2030130185961174e-10,C lambda native mortar reaction
phase24_tes_membrane_mortar,Phase24 TES-membrane mortar,phase24_tes_membrane_mortar_1p00P,TES->Stycast,1.9485965056062357e-20,C lambda native mortar reaction
phase24_tes_membrane_mortar,Phase24 TES-membrane mortar,phase24_tes_membrane_mortar_1p00P,Stycast->substrate,-1.9909973144379026e-20,C lambda native mortar reaction
phase24_tes_membrane_mortar,Phase24 TES-membrane mortar,phase24_tes_membrane_mortar_1p00P,other/shared-node/conformal to bath,0.0,bath flux minus classified native mortar reactions
phase24_tes_membrane_mortar,Phase24 TES-membrane mortar,phase24_tes_membrane_mortar_1p00P,total bath out,3.203013018591877e-10,native reaction sum / existing diagnostic
