candidate_id,factors,project,steady_case,pulse_cases
mv_000_de53353f,"{""membrane_cp"": 0.8263140993221053, ""pb_cp"": 1.2173941908718147, ""pb_k"": 0.7918503021565536, ""stycast_k"": 0.6747593610396916, ""tes_cp"": 1.2700479694399123}",artifacts\search\post_multivariate\candidates\mv_000_de53353f\trial_00\project.json,postsearch_mv_000_de53353f_00_steady,"{""high"": {""case"": ""postsearch_mv_000_de53353f_00_high"", ""series_file"": ""postsearch_mv_000_de53353f_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_000_de53353f_00_high"", ""series_file"": ""postsearch_mv_000_de53353f_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_001_ac76bb56,"{""membrane_cp"": 1.4306769993804258, ""pb_cp"": 0.8759573316110303, ""pb_k"": 0.7284973946142227, ""stycast_k"": 0.846489119721043, ""tes_cp"": 1.382157437567472}",artifacts\search\post_multivariate\candidates\mv_001_ac76bb56\trial_00\project.json,postsearch_mv_001_ac76bb56_00_steady,"{""high"": {""case"": ""postsearch_mv_001_ac76bb56_00_high"", ""series_file"": ""postsearch_mv_001_ac76bb56_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_001_ac76bb56_00_high"", ""series_file"": ""postsearch_mv_001_ac76bb56_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_002_477196c2,"{""membrane_cp"": 1.4975023616361196, ""pb_cp"": 1.4802386376190462, ""pb_k"": 1.357833913339258, ""stycast_k"": 1.7299884634836575, ""tes_cp"": 1.2126755396585627}",artifacts\search\post_multivariate\candidates\mv_002_477196c2\trial_00\project.json,postsearch_mv_002_477196c2_00_steady,"{""high"": {""case"": ""postsearch_mv_002_477196c2_00_high"", ""series_file"": ""postsearch_mv_002_477196c2_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_002_477196c2_00_high"", ""series_file"": ""postsearch_mv_002_477196c2_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_003_a02a4d2c,"{""membrane_cp"": 1.1857372248121019, ""pb_cp"": 1.2337350540260008, ""pb_k"": 0.7456619878015359, ""stycast_k"": 0.5990578803202536, ""tes_cp"": 1.5914815269931482}",artifacts\search\post_multivariate\candidates\mv_003_a02a4d2c\trial_00\project.json,postsearch_mv_003_a02a4d2c_00_steady,"{""high"": {""case"": ""postsearch_mv_003_a02a4d2c_00_high"", ""series_file"": ""postsearch_mv_003_a02a4d2c_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_003_a02a4d2c_00_high"", ""series_file"": ""postsearch_mv_003_a02a4d2c_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_004_9b9a4eef,"{""membrane_cp"": 1.2269469691198742, ""pb_cp"": 1.4442005252361527, ""pb_k"": 1.428263771372339, ""stycast_k"": 0.8669973629717046, ""tes_cp"": 1.031818105900631}",artifacts\search\post_multivariate\candidates\mv_004_9b9a4eef\trial_00\project.json,postsearch_mv_004_9b9a4eef_00_steady,"{""high"": {""case"": ""postsearch_mv_004_9b9a4eef_00_high"", ""series_file"": ""postsearch_mv_004_9b9a4eef_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_004_9b9a4eef_00_high"", ""series_file"": ""postsearch_mv_004_9b9a4eef_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_005_ed377c2b,"{""membrane_cp"": 1.4172860034801082, ""pb_cp"": 0.6829222738703125, ""pb_k"": 0.7659123746647923, ""stycast_k"": 1.792770728462967, ""tes_cp"": 1.289348488177146}",artifacts\search\post_multivariate\candidates\mv_005_ed377c2b\trial_00\project.json,postsearch_mv_005_ed377c2b_00_steady,"{""high"": {""case"": ""postsearch_mv_005_ed377c2b_00_high"", ""series_file"": ""postsearch_mv_005_ed377c2b_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_005_ed377c2b_00_high"", ""series_file"": ""postsearch_mv_005_ed377c2b_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_006_7878d06b,"{""membrane_cp"": 1.0503967671583236, ""pb_cp"": 1.0149981864283044, ""pb_k"": 0.8471749421087738, ""stycast_k"": 1.1269170519973923, ""tes_cp"": 1.3347878710696386}",artifacts\search\post_multivariate\candidates\mv_006_7878d06b\trial_00\project.json,postsearch_mv_006_7878d06b_00_steady,"{""high"": {""case"": ""postsearch_mv_006_7878d06b_00_high"", ""series_file"": ""postsearch_mv_006_7878d06b_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_006_7878d06b_00_high"", ""series_file"": ""postsearch_mv_006_7878d06b_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_007_cf88e5a2,"{""membrane_cp"": 1.5412281763966174, ""pb_cp"": 1.181094940311371, ""pb_k"": 0.8672001778124894, ""stycast_k"": 1.0354536684813513, ""tes_cp"": 1.0850609585330384}",artifacts\search\post_multivariate\candidates\mv_007_cf88e5a2\trial_00\project.json,postsearch_mv_007_cf88e5a2_00_steady,"{""high"": {""case"": ""postsearch_mv_007_cf88e5a2_00_high"", ""series_file"": ""postsearch_mv_007_cf88e5a2_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_007_cf88e5a2_00_high"", ""series_file"": ""postsearch_mv_007_cf88e5a2_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_008_fc8884f3,"{""membrane_cp"": 1.4617602141102664, ""pb_cp"": 0.7710595122457562, ""pb_k"": 1.1182962653762696, ""stycast_k"": 1.6684537271653763, ""tes_cp"": 0.916780625516442}",artifacts\search\post_multivariate\candidates\mv_008_fc8884f3\trial_00\project.json,postsearch_mv_008_fc8884f3_00_steady,"{""high"": {""case"": ""postsearch_mv_008_fc8884f3_00_high"", ""series_file"": ""postsearch_mv_008_fc8884f3_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_008_fc8884f3_00_high"", ""series_file"": ""postsearch_mv_008_fc8884f3_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
mv_009_0eefba7b,"{""membrane_cp"": 1.1493809255213676, ""pb_cp"": 0.9319632206030154, ""pb_k"": 1.435239129037499, ""stycast_k"": 1.514546770788591, ""tes_cp"": 0.8932619244550684}",artifacts\search\post_multivariate\candidates\mv_009_0eefba7b\trial_00\project.json,postsearch_mv_009_0eefba7b_00_steady,"{""high"": {""case"": ""postsearch_mv_009_0eefba7b_00_high"", ""series_file"": ""postsearch_mv_009_0eefba7b_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}, ""low"": {""case"": ""postsearch_mv_009_0eefba7b_00_high"", ""series_file"": ""postsearch_mv_009_0eefba7b_00_high_series.csv"", ""source_case"": ""case_dual20_lr_pos30""}}"
