time_after_pulse_ms,comparison_channel,reference_normalized,simulation_normalized,residual,region
0,left,0.406305663654,0.241058375653,-0.165247288001,peak
0.01,left,0.439427497558,0.268101308789,-0.171326188769,peak
0.02,left,0.473023795116,0.296968792935,-0.17605500218,peak
0.03,left,0.506800149762,0.32759439404,-0.179205755722,peak
0.04,left,0.540461056101,0.359864590808,-0.180596465293,peak
0.05,left,0.573722939217,0.393611400227,-0.18011153899,peak
0.06,left,0.606324589394,0.428609850978,-0.177714738417,peak
0.07,left,0.638034392536,0.464583998078,-0.173450394459,peak
0.08,left,0.668654342935,0.501220560955,-0.16743378198,peak
0.09,left,0.698021255481,0.538185811591,-0.159835443889,peak
0.1,left,0.726006083078,0.575141176599,-0.150864906479,peak
0.11,left,0.752512215141,0.611754342186,-0.140757872956,peak
0.12,left,0.77747318712,0.64770652439,-0.12976666273,peak
0.13,left,0.800849996963,0.682699328243,-0.11815066872,peak
0.14,left,0.822628111203,0.716461836228,-0.106166274975,peak
0.15,left,0.842814061817,0.748756067863,-0.0940579939533,peak
0.16,left,0.861431645255,0.779380119574,-0.0820515256803,peak
0.17,left,0.8785182093,0.808169361893,-0.0703488474069,peak
0.18,left,0.894121656574,0.834996113744,-0.0591255428293,peak
0.19,left,0.908298318764,0.859768179907,-0.0485301388567,peak
0.2,left,0.921111506729,0.882426582561,-0.0386849241684,peak
0.21,left,0.932630523906,0.902942756404,-0.0296877675024,peak
0.22,left,0.942929725335,0.921315419559,-0.0216143057766,peak
0.23,left,0.952087127593,0.937567288562,-0.0145198390311,peak
0.24,left,0.960182535036,0.951741771275,-0.00844076376153,peak
0.25,left,0.967295519229,0.963899737716,-0.00339578151319,peak
0.26,left,0.973503524466,0.974116439178,0.000612914712539,peak
0.27,left,0.978880356767,0.98247862479,0.00359826802253,peak
0.28,left,0.983495349358,0.989081888823,0.00558653946469,peak
0.29,left,0.987413170156,0.994028269911,0.00661509975518,peak
0.3,left,0.990693876106,0.997424110953,0.00673023484745,peak
0.31,left,0.993393023479,0.999378174213,0.00598515073387,peak
0.32,left,0.995561981636,1,0.00443801836426,peak
0.33,left,0.997248353481,0.999398499537,0.0021501460563,peak
0.34,left,0.998496200762,0.997680770496,-0.000815430265586,peak
0.35,left,0.999346179879,0.994951117918,-0.00439506196064,peak
0.36,left,0.999835839748,0.991310260973,-0.00852557877426,peak
0.37,left,1,0.986854707164,-0.0131452928356,peak
0.38,left,0.999871127122,0.981676277258,-0.0181948498636,peak
0.39,left,0.999479764138,0.975861763661,-0.0236180004769,peak
0.4,left,0.998854842843,0.969492704472,-0.0293621383709,peak
0.41,left,0.998023650416,0.962645258046,-0.0353783923704,peak
0.42,left,0.997011621162,0.95539016491,-0.0416214562516,peak
0.43,left,0.995842238691,0.947792783496,-0.0480494551951,peak
0.44,left,0.994536952905,0.939913186773,-0.0546237661321,peak
0.45,left,0.993114958149,0.931806307607,-0.0613086505417,peak
0.46,left,0.991593008096,0.923522121365,-0.0680708867311,peak
0.47,left,0.989985344375,0.915105857769,-0.0748794866059,peak
0.48,left,0.988303563916,0.90659823557,-0.081705328346,peak
0.49,left,0.986556518853,0.898035711788,-0.088520807065,peak
0.5,left,0.984750525344,0.889450739366,-0.0952997859782,peak
0.51,left,0.982889847267,0.880872029909,-0.102017817358,peak
0.52,left,0.980977317489,0.872324817448,-0.108652500041,peak
0.53,left,0.979015137534,0.86383111949,-0.115184018045,peak
0.54,left,0.977005730183,0.855409992963,-0.12159573722,peak
0.55,left,0.974952309488,0.847077781653,-0.127874527835,peak
0.56,left,0.972859138788,0.838848352638,-0.13401078615,peak
0.57,left,0.970731684597,0.830733321904,-0.139998362693,peak
0.58,left,0.968576609301,0.822742269565,-0.145834339736,peak
0.59,left,0.966401431474,0.814882944797,-0.151518486677,peak
0.6,left,0.964213978388,0.80716146064,-0.157052517748,peak
0.61,left,0.962021833854,0.799582477679,-0.162439356175,peak
0.62,left,0.959831782343,0.792149374795,-0.167682407548,peak
0.63,left,0.957649388034,0.784864405725,-0.172784982309,peak
0.64,left,0.955479016372,0.777728841639,-0.177750174733,peak
0.65,left,0.953324212201,0.770743101434,-0.182581110768,peak
0.66,left,0.951188067856,0.763906871293,-0.187281196563,peak
0.67,left,0.94907346897,0.757219212397,-0.191854256573,peak
0.68,left,0.94698319774,0.750678654386,-0.196304543355,peak
0.69,left,0.944919724832,0.744283275517,-0.200636449314,peak
0.7,left,0.94288472107,0.738030773652,-0.204853947418,peak
0.71,left,0.940878640494,0.731918531716,-0.208960108777,peak
0.72,left,0.938900552052,0.725943678489,-0.212956873563,peak
0.73,left,0.93694808266,0.720103143011,-0.216844939649,peak
0.74,left,0.935017511872,0.714393702032,-0.220623809839,peak
0.75,left,0.933104219233,0.708812021677,-0.224292197556,peak
0.76,left,0.931203331362,0.703354693319,-0.227848638043,peak
0.77,left,0.92931029343,0.698018264052,-0.231292029378,peak
0.78,left,0.92742134887,0.692799263817,-0.234622085053,peak
0.79,left,0.925533807342,0.687694229523,-0.237839577819,peak
0.8,left,0.923645863289,0.682699725093,-0.240946138196,peak
0.81,left,0.9217560857,0.6778123581,-0.2439437276,peak
0.82,left,0.919862902193,0.673028794562,-0.24683410763,peak
0.83,left,0.917964236446,0.668345771882,-0.249618464564,peak
0.84,left,0.916057463263,0.663760107726,-0.252297355537,peak
0.85,left,0.914139868437,0.659268703686,-0.254871164751,peak
0.86,left,0.912209419407,0.654868546657,-0.25734087275,peak
0.87,left,0.910265379669,0.65055671043,-0.259708669239,peak
0.88,left,0.908308610369,0.646330356379,-0.26197825399,peak
0.89,left,0.906341678162,0.6421867334,-0.264154944763,peak
0.9,left,0.904368665449,0.638123178821,-0.266245486628,peak
0.91,left,0.902394533047,0.634137120134,-0.268257412913,peak
0.92,left,0.900424322732,0.630226077206,-0.270198245526,peak
0.93,left,0.89846255735,0.626387665438,-0.272074891911,peak
0.94,left,0.896512821933,0.622619598238,-0.273893223694,peak
0.95,left,0.894577512269,0.618919686361,-0.275657825907,peak
0.96,left,0.892657871821,0.615285834118,-0.277372037703,peak
0.97,left,0.890754199947,0.611716034659,-0.279038165288,peak
0.98,left,0.888866035478,0.608208365961,-0.280657669517,peak
0.99,left,0.886992391522,0.604760987797,-0.282231403725,peak
1,left,0.885132121511,0.60137213985,-0.283759981662,peak
1.01,left,0.883284223402,0.59804014022,-0.285244083181,peak
1.02,left,0.881447970259,0.594763382689,-0.28668458757,peak
1.03,left,0.879623080009,0.591540332428,-0.28808274758,peak
