time_after_pulse_ms,comparison_channel,reference_normalized,simulation_normalized,residual,region
0,left,0.401826212093,0.00205262630755,-0.399773585785,rise
0.01,left,0.404656076826,0.00218346879726,-0.402472608029,rise
0.02,left,0.407421963803,0.00232103716638,-0.405100926637,rise
0.03,left,0.410124869749,0.00246441347874,-0.40766045627,rise
0.04,left,0.412771821372,0.0026125664523,-0.41015925492,rise
0.05,left,0.415375524245,0.00276446312592,-0.412611061119,rise
0.06,left,0.417953178627,0.00291912708049,-0.415034051547,rise
0.07,left,0.420525278452,0.00307565789784,-0.417449620554,rise
0.08,left,0.423114299792,0.00323324702173,-0.41988105277,rise
0.09,left,0.425743133213,0.00339119082958,-0.422351942384,rise
0.1,left,0.428433447989,0.00354889749374,-0.424884550495,rise
0.11,left,0.431203759402,0.00370589372837,-0.427497865674,rise
0.12,left,0.434067120962,0.00386183794959,-0.430205283012,rise
0.13,left,0.437029351237,0.00401654324386,-0.433012807993,rise
0.14,left,0.440088637389,0.00417000508112,-0.435918632308,rise
0.15,left,0.443236394985,0.00432242140681,-0.438913973579,rise
0.16,left,0.446459088234,0.00447419805497,-0.44198489018,rise
0.17,left,0.449740837264,0.00462594677472,-0.445114890489,rise
0.18,left,0.453066004789,0.00477848605219,-0.448287518737,rise
0.19,left,0.456420729405,0.00493284152469,-0.45148788788,rise
0.2,left,0.459793370247,0.00509024013072,-0.454703130116,rise
0.21,left,0.463174359458,0.00525210238446,-0.457922257074,rise
0.22,left,0.466555434901,0.00542003684546,-0.461135398055,rise
0.23,left,0.469928433578,0.00559583641276,-0.464332597165,rise
0.24,left,0.473284523248,0.00578147538081,-0.467503047867,rise
0.25,left,0.476614228403,0.00597910377719,-0.470635124626,rise
0.26,left,0.479907844747,0.00619104060443,-0.473716804143,rise
0.27,left,0.483156025737,0.00641977211529,-0.476736253622,rise
0.28,left,0.486350355681,0.00666795026506,-0.479682405416,rise
0.29,left,0.489483343265,0.00693838264193,-0.482544960623,rise
0.3,left,0.49254771076,0.0072340170313,-0.485313693729,rise
0.31,left,0.495535680909,0.00755792711503,-0.487977753794,rise
0.32,left,0.498438695776,0.00791329987723,-0.490525395898,rise
0.33,left,0.501247367872,0.00830342174396,-0.492943946128,rise
0.34,left,0.503951855124,0.00873165772853,-0.495220197396,rise
0.35,left,0.506543111618,0.00920142089905,-0.497341690719,rise
0.36,left,0.509014536314,0.00971613856085,-0.499298397754,rise
0.37,left,0.511363245116,0.0102792215331,-0.501084023583,rise
0.38,left,0.513591093666,0.0108940358753,-0.50269705779,rise
0.39,left,0.515705538127,0.0115638784366,-0.50414165969,rise
0.4,left,0.517719790715,0.0122919609963,-0.505427829719,rise
0.41,left,0.519652108542,0.0130814013056,-0.506570707236,rise
0.42,left,0.521524278702,0.0139352175634,-0.507589061138,rise
0.43,left,0.523359151422,0.0148563268193,-0.508502824603,rise
0.44,left,0.525177775482,0.015847546258,-0.509330229224,rise
0.45,left,0.526997394972,0.0169115960224,-0.51008579895,rise
0.46,left,0.528830869133,0.0180511033427,-0.510779765791,rise
0.47,left,0.5306869806,0.0192686061041,-0.511418374496,rise
0.48,left,0.532571077342,0.0205665518132,-0.512004525528,rise
0.49,left,0.534485964585,0.0219472860652,-0.51253867852,rise
0.5,left,0.536432742586,0.0234130266383,-0.513019715948,rise
0.51,left,0.538411137879,0.0249658262801,-0.513445311598,rise
0.52,left,0.54041952313,0.0266075357941,-0.513811987336,rise
0.53,left,0.542454942897,0.0283397800848,-0.514115162812,rise
0.54,left,0.544512899611,0.0301639501672,-0.514348949444,rise
0.55,left,0.546587002794,0.0320812083649,-0.514505794429,rise
0.56,left,0.548669216615,0.0340925061466,-0.514576710469,rise
0.57,left,0.55075072535,0.0361986086639,-0.514552116687,rise
0.58,left,0.552822594373,0.0384001130324,-0.514422481341,rise
0.59,left,0.55487602799,0.0406974558846,-0.514178572106,rise
0.6,left,0.556902744586,0.043090912087,-0.513811832499,rise
0.61,left,0.558895519454,0.0455805839608,-0.513314935493,rise
0.62,left,0.560848638334,0.0481663877103,-0.512682250624,rise
0.63,left,0.562758418532,0.0508480473929,-0.511910371139,rise
0.64,left,0.564623729784,0.0536250944491,-0.510998635335,rise
0.65,left,0.566445974709,0.0564968658905,-0.509949108819,rise
0.66,left,0.56822861329,0.0594625017915,-0.508766111498,rise
0.67,left,0.569976801081,0.0625209445574,-0.507455856524,rise
0.68,left,0.571696986651,0.0656709400269,-0.506026046624,rise
0.69,left,0.57339612255,0.0689110429918,-0.504485079558,rise
0.7,left,0.57508094763,0.0722396303883,-0.502841317242,rise
0.71,left,0.576757757242,0.0756549195846,-0.501102837657,rise
0.72,left,0.578432353136,0.079154985425,-0.499277367711,rise
0.73,left,0.58010998762,0.0827377726869,-0.497372214933,rise
0.74,left,0.581795447503,0.0864011071497,-0.495394340353,rise
0.75,left,0.583493003144,0.0901427101006,-0.493350293044,rise
0.76,left,0.585205868507,0.0939602166079,-0.491245651899,rise
0.77,left,0.586935648525,0.097851198271,-0.489084450254,rise
0.78,left,0.5886823559,0.101813189536,-0.486869166363,rise
0.79,left,0.590444581629,0.105843709654,-0.484600871975,rise
0.8,left,0.592219476885,0.10994027772,-0.482279199166,rise
0.81,left,0.594003187182,0.114100427317,-0.479902759866,rise
0.82,left,0.595792119671,0.118321719479,-0.477470400192,rise
0.83,left,0.597584613798,0.122601745151,-0.474982868647,rise
0.84,left,0.599382514333,0.126938119048,-0.472444395285,rise
0.85,left,0.601192115641,0.131328473137,-0.469863642504,rise
0.86,left,0.603023745058,0.135770451022,-0.467253294036,rise
0.87,left,0.604889956131,0.140261705611,-0.46462825052,rise
0.88,left,0.606803476722,0.144799905805,-0.462003570917,rise
0.89,left,0.608775763895,0.149382748216,-0.45939301568,rise
0.9,left,0.610815822662,0.154007962089,-0.456807860572,rise
0.91,left,0.612929041683,0.15867330487,-0.454255736813,rise
0.92,left,0.61511656761,0.163376557498,-0.451740010112,rise
0.93,left,0.617375312495,0.168115526465,-0.44925978603,rise
0.94,left,0.619698199673,0.172888051923,-0.44681014775,rise
0.95,left,0.622074871123,0.177692017272,-0.444382853851,rise
0.96,left,0.624493038266,0.182525355218,-0.441967683047,rise
0.97,left,0.626939950757,0.187386049374,-0.439553901384,rise
0.98,left,0.629403791222,0.192272133503,-0.437131657719,rise
0.99,left,0.631875154923,0.197181688619,-0.434693466305,rise
1,left,0.634348027987,0.20211283946,-0.432235188527,rise
1.01,left,0.636819556524,0.207063754003,-0.429755802521,rise
1.02,left,0.639288991905,0.212032647952,-0.427256343953,rise
1.03,left,0.64175649351,0.217017794407,-0.424738699103,rise
1.04,left,0.644221826585,0.222017532005,-0.42220429458,rise
1.05,left,0.646683181152,0.227030263751,-0.419652917401,rise
1.06,left,0.649136896256,0.23205445262,-0.417082443636,rise
1.07,left,0.651578156127,0.237088620766,-0.41448953536,rise
1.08,left,0.654001888351,0.24213134517,-0.411870543181,rise
1.09,left,0.656403611863,0.247181243088,-0.409222368775,rise
1.1,left,0.658780157781,0.25223695251,-0.406543205271,rise
1.11,left,0.661129578415,0.257297118222,-0.403832460193,rise
1.12,left,0.66345006064,0.262360392485,-0.401089668155,rise
1.13,left,0.665738531308,0.267425451946,-0.398313079362,rise
1.14,left,0.667989426126,0.272491020406,-0.39549840572,rise
1.15,left,0.670193934401,0.277555881369,-0.392638053032,rise
1.16,left,0.67234032889,0.282618874585,-0.389721454305,rise
1.17,left,0.674415465655,0.28767888608,-0.386736579576,rise
1.18,left,0.67640655086,0.292734840689,-0.383671710172,rise
1.19,left,0.678302416917,0.297785695308,-0.380516721609,rise
1.2,left,0.680094458056,0.302830429978,-0.377264028078,rise
1.21,left,0.681777271094,0.307868039912,-0.373909231183,rise
1.22,left,0.683348520656,0.31289753056,-0.370450990096,rise
1.23,left,0.684808246397,0.317917915065,-0.366890331332,rise
1.24,left,0.686158447062,0.322928216212,-0.36323023085,rise
1.25,left,0.687402998165,0.327927472562,-0.359475525603,rise
1.26,left,0.688547471886,0.332914744411,-0.355632727475,rise
1.27,left,0.689598918771,0.337889121144,-0.351709797627,rise
1.28,left,0.690565620441,0.342849732129,-0.347715888313,rise
1.29,left,0.69145648371,0.347795754935,-0.343660728776,rise
1.3,left,0.692280317971,0.352726415248,-0.339553902723,rise
1.31,left,0.693045637234,0.357640978925,-0.335404658309,rise
1.32,left,0.693760932142,0.362538738731,-0.33122219341,rise
1.33,left,0.694434970434,0.367419001161,-0.327015969273,rise
1.34,left,0.695077283408,0.3722810796,-0.322796203808,rise
1.35,left,0.695698963547,0.377124294226,-0.318574669321,rise
1.36,left,0.696312994719,0.381947975816,-0.314365018903,rise
1.37,left,0.696933575057,0.386751474081,-0.310182100976,rise
1.38,left,0.69757489749,0.391534171812,-0.306040725679,rise
1.39,left,0.698249752484,0.396295503382,-0.301954249102,rise
1.4,left,0.698967997777,0.401034973315,-0.297933024462,rise
1.41,left,0.699735318559,0.40575216665,-0.293983151909,rise
1.42,left,0.700552608138,0.410446744343,-0.290105863795,rise
1.43,left,0.701415810042,0.41511842614,-0.286297383902,rise
1.44,left,0.702316366727,0.419766968141,-0.282549398586,rise
1.45,left,0.703242754841,0.424392139544,-0.278850615297,rise
1.46,left,0.704182732,0.428993700424,-0.275189031577,rise
1.47,left,0.705125150183,0.433571384385,-0.271553765798,rise
1.48,left,0.706060994178,0.438124892641,-0.267936101536,rise
1.49,left,0.706984079776,0.44265389988,-0.264330179896,rise
1.5,left,0.707891255977,0.44715806295,-0.260733193027,rise
1.51,left,0.708781939858,0.451637026966,-0.257144912892,rise
1.52,left,0.7096578016,0.456090434022,-0.253567367578,rise
1.53,left,0.710523066703,0.460517938062,-0.250005128642,rise
1.54,left,0.711384777704,0.464919219849,-0.246465557855,rise
1.55,left,0.712252645222,0.469294000023,-0.2429586452,rise
1.56,left,0.713138702502,0.473642053408,-0.239496649094,rise
1.57,left,0.714056621781,0.477963218029,-0.236093403751,rise
1.58,left,0.715020537784,0.482257390776,-0.232763147008,rise
1.59,left,0.716043814163,0.486524513837,-0.229519300327,rise
1.6,left,0.717138032696,0.490764560955,-0.226373471741,rise
1.61,left,0.718311911269,0.494977527842,-0.223334383428,rise
1.62,left,0.719570313795,0.499163425885,-0.22040688791,rise
1.63,left,0.720914087808,0.503322280398,-0.21759180741,rise
1.64,left,0.722340690784,0.50745413593,-0.214886554855,rise
1.65,left,0.723844938691,0.511559062705,-0.212285875986,rise
1.66,left,0.725419903319,0.515637156016,-0.209782747303,rise
1.67,left,0.727058135857,0.519688526324,-0.207369609533,rise
1.68,left,0.728752533422,0.523713283859,-0.205039249563,rise
1.69,left,0.730496328873,0.527711528685,-0.202784800188,rise
1.7,left,0.732282599906,0.531683350904,-0.200599249002,rise
1.71,left,0.734103699893,0.535628833295,-0.198474866599,rise
1.72,left,0.73595075112,0.539548053505,-0.196402697615,rise
1.73,left,0.737813581704,0.54344108666,-0.194372495044,rise
1.74,left,0.739681332816,0.547308002672,-0.192373330145,rise
1.75,left,0.741543199011,0.551148860517,-0.190394338494,rise
1.76,left,0.743388752604,0.554963713031,-0.188425039573,rise
1.77,left,0.745208183956,0.558752621999,-0.186455561957,rise
1.78,left,0.746992654203,0.562515666852,-0.184476987351,rise
1.79,left,0.748734120525,0.566252940026,-0.1824811805,rise
1.8,left,0.750424647516,0.569964537938,-0.180460109578,rise
1.81,left,0.752056076174,0.573650552426,-0.178405523748,rise
1.82,left,0.75362018109,0.577311059071,-0.176309122019,rise
1.83,left,0.75510886259,0.580946107251,-0.174162755339,rise
1.84,left,0.756514315556,0.5845557193,-0.171958596256,rise
1.85,left,0.757829088054,0.588139894568,-0.169689193486,rise
1.86,left,0.75904572278,0.591698614109,-0.167347108671,rise
1.87,left,0.760156259265,0.595231848947,-0.164924410318,rise
1.88,left,0.761152217671,0.598739572459,-0.162412645211,rise
1.89,left,0.762024960263,0.60222177192,-0.159803188343,rise
1.9,left,0.762766086305,0.605678455735,-0.15708763057,rise
1.91,left,0.763368291277,0.609109658207,-0.15425863307,rise
1.92,left,0.763827051245,0.612515442077,-0.151311609168,rise
1.93,left,0.76414242124,0.615895894665,-0.148246526575,rise
1.94,left,0.764320202455,0.619251117536,-0.145069084918,rise
1.95,left,0.764372588211,0.622581216616,-0.141791371595,rise
1.96,left,0.764318311507,0.625886299158,-0.138432012349,rise
1.97,left,0.76418191308,0.62916647585,-0.13501543723,rise
1.98,left,0.763992163044,0.632421858994,-0.13157030405,rise
1.99,left,0.763779844476,0.635652551103,-0.128127293373,rise
2,left,0.763574934247,0.638858629315,-0.124716304932,rise
2.01,left,0.763403776805,0.642040136674,-0.121363640131,rise
2.02,left,0.763287311587,0.645197086434,-0.118090225152,rise
2.03,left,0.763240720889,0.648329476397,-0.114911244492,rise
2.04,left,0.763274078927,0.651437303072,-0.111836775855,rise
2.05,left,0.763393740822,0.6545205667,-0.108873174121,rise
2.06,left,0.763604307817,0.657579270995,-0.106025036822,rise
2.07,left,0.763910310701,0.660613429499,-0.103296881202,rise
2.08,left,0.764316812806,0.663623080608,-0.100693732198,rise
2.09,left,0.764829201569,0.666608302392,-0.0982208991769,rise
2.1,left,0.765452516192,0.669569218102,-0.0958832980896,rise
2.11,left,0.766190250181,0.672505987181,-0.093684263,rise
2.12,left,0.767043129758,0.67541878573,-0.0916243440283,rise
2.13,left,0.768008510033,0.678307790817,-0.0897007192164,rise
2.14,left,0.76908009751,0.681173177701,-0.0879069198085,rise
2.15,left,0.770247586753,0.684015122542,-0.0862324642108,rise
2.16,left,0.771496728211,0.686833802645,-0.0846629255665,rise
2.17,left,0.772810281631,0.689629397737,-0.0831808838949,rise
2.18,left,0.774169317266,0.692402094766,-0.0817672225001,rise
2.19,left,0.775554481277,0.69515209294,-0.0804023883368,rise
2.2,left,0.776947644454,0.697879605349,-0.0790680391047,rise
2.21,left,0.778333887626,0.700584854688,-0.0777490329378,rise
2.22,left,0.779703134246,0.703268066444,-0.0764350678016,rise
2.23,left,0.781051318791,0.705929464499,-0.0751218542919,rise
2.24,left,0.782381055585,0.708569265016,-0.0738117905689,rise
2.25,left,0.783700995635,0.711187667659,-0.0725133279759,rise
2.26,left,0.785023600046,0.713784855854,-0.0712387441924,rise
2.27,left,0.786362328082,0.716361010784,-0.0700013172974,rise
2.28,left,0.787729157194,0.718916325885,-0.0688128313094,rise
2.29,left,0.789132653151,0.721451009293,-0.0676816438584,rise
2.3,left,0.790576768087,0.723965279901,-0.0666114881861,rise
2.31,left,0.792060359438,0.72645936807,-0.0656009913685,rise
2.32,left,0.793576857775,0.728933519014,-0.0646433387612,rise
2.33,left,0.795113994062,0.731387993412,-0.0637260006495,rise
2.34,left,0.796654548559,0.733823064839,-0.0628314837194,rise
2.35,left,0.798178594032,0.736239011627,-0.0619395824055,rise
2.36,left,0.799666350419,0.738636101601,-0.0610302488177,rise
2.37,left,0.801100757181,0.741014576356,-0.0600861808242,rise
2.38,left,0.802469435678,0.743374644034,-0.0590947916435,rise
2.39,left,0.803765471076,0.74571648119,-0.0580489898859,rise
2.4,left,0.804986719391,0.748040236681,-0.0569464827101,rise
2.41,left,0.806134405155,0.750346032794,-0.0557883723615,rise
2.42,left,0.807211861458,0.75263396827,-0.0545778931878,rise
2.43,left,0.808223666859,0.754904128569,-0.0533195382897,rise
2.44,left,0.80917539007,0.757156595388,-0.0520187946823,rise
2.45,left,0.810073951345,0.759391446419,-0.050682504926,rise
2.46,left,0.810927752658,0.761608750398,-0.0493190022595,rise
2.47,left,0.811745745968,0.763808564402,-0.0479371815666,rise
2.48,left,0.812535979114,0.765990931917,-0.0465450471971,rise
2.49,left,0.81330467172,0.768155878346,-0.0451487933741,rise
2.5,left,0.8140558679,0.770303404647,-0.0437524632531,rise
2.51,left,0.814791426292,0.772433483404,-0.0423579428881,rise
2.52,left,0.815511599812,0.774546061962,-0.0409655378508,rise
2.53,left,0.816215932067,0.776641069995,-0.0395748620715,rise
2.54,left,0.816903808397,0.778718424861,-0.0381853835359,rise
2.55,left,0.817574945033,0.780778040329,-0.036796904704,rise
2.56,left,0.818230380608,0.782819848699,-0.0354105319082,rise
2.57,left,0.818873556108,0.784843828512,-0.0340297275961,rise
2.58,left,0.819510845087,0.786850019742,-0.032660825345,rise
2.59,left,0.820151471169,0.7888385229,-0.0313129482693,rise
2.6,left,0.820806711358,0.79080949228,-0.0299972190787,rise
2.61,left,0.82148818716,0.792763128074,-0.0287250590858,rise
2.62,left,0.822205763058,0.794699664599,-0.0275060984593,rise
2.63,left,0.822965903667,0.796619355857,-0.0263465478102,rise
2.64,left,0.823770538671,0.79852246394,-0.025248074731,rise
2.65,left,0.824616359637,0.80040925018,-0.0242071094569,rise
2.66,left,0.825495290751,0.802279964124,-0.023215326627,rise
2.67,left,0.826396289602,0.804134830675,-0.0222614589267,rise
2.68,left,0.827307437949,0.805974041997,-0.0213333959513,rise
2.69,left,0.828217731407,0.8077977558,-0.0204199756063,rise
2.7,left,0.829118669722,0.809606089849,-0.0195125798728,rise
2.71,left,0.830005358516,0.811399107359,-0.0186062511575,rise
2.72,left,0.830876740619,0.813176805084,-0.0176999355356,rise
2.73,left,0.831735243551,0.814939114541,-0.01679612901,rise
2.74,left,0.8325862041,0.816685914436,-0.015900289664,rise
2.75,left,0.833436870148,0.818417051067,-0.015019819081,rise
2.76,left,0.834295061275,0.820132364929,-0.0141626963465,rise
2.77,left,0.835168134234,0.821831717711,-0.0133364165228,rise
2.78,left,0.836062192791,0.823515010841,-0.0125471819502,rise
2.79,left,0.836980893739,0.825182190804,-0.0117987029347,rise
2.8,left,0.837924145651,0.826833247312,-0.0110908983392,rise
2.81,left,0.83888760157,0.828468214417,-0.0104193871524,rise
2.82,left,0.839863177054,0.830087175189,-0.00977600186472,rise
2.83,left,0.840840539518,0.831690264762,-0.00915027475614,rise
2.84,left,0.841809538014,0.833277671651,-0.00853186636319,rise
2.85,left,0.842762698808,0.834849639053,-0.00791305975498,rise
2.86,left,0.84369648349,0.836406464277,-0.00729001921388,rise
2.87,left,0.844611077807,0.837948493373,-0.00666258443409,rise
2.88,left,0.84550925809,0.839476108009,-0.00603315008125,rise
2.89,left,0.846394521632,0.840989704765,-0.00540481686632,rise
2.9,left,0.847268866326,0.842489673699,-0.00477919262624,rise
2.91,left,0.848131317578,0.843976381375,-0.00415493620385,rise
2.92,left,0.848977714016,0.845450158188,-0.00352755582776,rise
2.93,left,0.849801199517,0.846911293401,-0.00288990611645,rise
2.94,left,0.850593176815,0.848360042098,-0.00223313471688,rise
2.95,left,0.851344845103,0.849796638598,-0.00154820650538,rise
2.96,left,0.852048714182,0.851221306467,-0.000827407715289,rise
2.97,left,0.852699445145,0.852634264454,-6.51806915847e-05,rise
2.98,left,0.853294244014,0.854035736161,0.00074149214749,rise
2.99,left,0.85383309056,0.855425963576,0.00159287301638,rise
3,left,0.854318588292,0.856805212854,0.00248662456146,rise
3.01,left,0.854755475494,0.858173765008,0.00341828951405,rise
3.02,left,0.855150260837,0.859531896079,0.0043816352417,rise
3.03,left,0.855510934348,0.860879856448,0.00536892210072,rise
3.04,left,0.855846282739,0.862217859151,0.00637157641235,rise
3.05,left,0.856165035707,0.863546080623,0.00738104491592,rise
3.06,left,0.856475341696,0.864864664491,0.00838932279578,rise
3.07,left,0.856784259793,0.866173716244,0.00938945645093,rise
3.08,left,0.857097004157,0.867473288651,0.0103762844936,rise
3.09,left,0.857416427326,0.868763367099,0.0113469397736,rise
3.1,left,0.857742824509,0.870043860705,0.0123010361962,rise
3.11,left,0.858073709951,0.871314600347,0.0132408903953,rise
3.12,left,0.858403885742,0.872575344168,0.0141714584265,rise
3.13,left,0.858726199177,0.873825788949,0.015099589772,rise
3.14,left,0.859032670911,0.875065585735,0.0160329148242,rise
3.15,left,0.859315809257,0.876294360441,0.0169785511847,rise
3.16,left,0.85957024604,0.877511738539,0.0179414924992,rise
3.17,left,0.859794080801,0.878717371826,0.018923291025,rise
3.18,left,0.859988941736,0.879910965271,0.0199220235357,rise
3.19,left,0.860158884524,0.881092298392,0.0209334138687,rise
3.2,left,0.860309005732,0.882261232698,0.0219522269654,rise
3.21,left,0.860443938037,0.883417701737,0.0229737637005,rise
3.22,left,0.860566181135,0.884561691902,0.0239955107674,rise
3.23,left,0.860675085998,0.885693226576,0.0250181405777,rise
3.24,left,0.86076706038,0.886812357003,0.0260452966231,rise
3.25,left,0.860836435519,0.887919157581,0.0270827220618,rise
3.26,left,0.860876452291,0.889013726285,0.0281372739941,rise
3.27,left,0.860880200616,0.890096188628,0.0292159880118,rise
3.28,left,0.860841134264,0.891166702621,0.0303255683573,rise
3.29,left,0.860753149805,0.892225464484,0.031472314679,rise
3.3,left,0.860610929789,0.893272711256,0.0326617814671,rise
3.31,left,0.860410789564,0.894308720041,0.0338979304777,rise
3.32,left,0.860151338115,0.895333807755,0.0351824696405,rise
3.33,left,0.859833626227,0.896348328732,0.0365147025048,rise
3.34,left,0.859461355121,0.897352670004,0.0378913148832,rise
3.35,left,0.85904130354,0.898347247553,0.0393059440138,rise
3.36,left,0.858583380444,0.899332499341,0.0407491188971,rise
3.37,left,0.858100203833,0.900308873223,0.0422086693895,rise
3.38,left,0.857606450116,0.901276813877,0.043670363761,rise
3.39,left,0.857117819728,0.902236749512,0.0451189297842,rise
3.4,left,0.856649859569,0.903189079288,0.0465392197199,rise
3.41,left,0.856217338114,0.904134164874,0.0479168267602,rise
3.42,left,0.855834053799,0.905072327049,0.0492382732502,rise
3.43,left,0.855512330411,0.906003846673,0.0504915162616,rise
3.44,left,0.855262138795,0.906928968737,0.0516668299421,rise
3.45,left,0.855090334985,0.907847907261,0.0527575722755,rise
3.46,left,0.855000148138,0.908760847218,0.0537606990793,rise
3.47,left,0.854991105664,0.909667938831,0.0546768331668,rise
3.48,left,0.855059957001,0.910569287321,0.0555093303197,rise
3.49,left,0.855202343068,0.911464947906,0.0562626048386,rise
3.5,left,0.855413991992,0.912354927881,0.0569409358895,rise
3.51,left,0.855690961001,0.913239188852,0.057548227851,rise
3.52,left,0.856029485769,0.914117646754,0.0580881609848,rise
3.53,left,0.856425710487,0.914990173451,0.0585644629647,rise
3.54,left,0.856875337616,0.915856603046,0.0589812654294,rise
3.55,left,0.857373594215,0.916716743549,0.0593431493339,rise
3.56,left,0.85791551537,0.917570390826,0.0596548754559,rise
3.57,left,0.858496015178,0.918417338664,0.059921323486,rise
3.58,left,0.859109740576,0.919257379999,0.0601476394227,rise
3.59,left,0.859751178881,0.920090302094,0.060339123213,rise
3.6,left,0.860414930526,0.920915888029,0.060500957503,rise
3.61,left,0.861095666707,0.921733928927,0.0606382622205,rise
3.62,left,0.861787941689,0.922544234171,0.0607562924816,rise
