time_after_pulse_ms,comparison_channel,reference_normalized,simulation_normalized,residual,region
0,left,0.401826212093,0.0037327025853,-0.398093509508,rise
0.01,left,0.404656076826,0.00379453759595,-0.40086153923,rise
0.02,left,0.407421963803,0.00386277400536,-0.403559189798,rise
0.03,left,0.410124869749,0.00393804225242,-0.406186827496,rise
0.04,left,0.412771821372,0.00402097117809,-0.408750850194,rise
0.05,left,0.415375524245,0.00411210868021,-0.411263415565,rise
0.06,left,0.417953178627,0.00421183810665,-0.413741340521,rise
0.07,left,0.420525278452,0.0043203685644,-0.416204909888,rise
0.08,left,0.423114299792,0.00443780175696,-0.418676498035,rise
0.09,left,0.425743133213,0.00456422093622,-0.421178912277,rise
0.1,left,0.428433447989,0.00469976948619,-0.423733678503,rise
0.11,left,0.431203759402,0.00484471357563,-0.426359045826,rise
0.12,left,0.434067120962,0.00499949133355,-0.429067629629,rise
0.13,left,0.437029351237,0.00516474903568,-0.431864602202,rise
0.14,left,0.440088637389,0.00534136551058,-0.434747271878,rise
0.15,left,0.443236394985,0.00553047339437,-0.437705921591,rise
0.16,left,0.446459088234,0.00573348298899,-0.440725605246,rise
0.17,left,0.449740837264,0.00595210392423,-0.44378873334,rise
0.18,left,0.453066004789,0.0061883578644,-0.446877646925,rise
0.19,left,0.456420729405,0.00644458264704,-0.449976146758,rise
0.2,left,0.459793370247,0.00672343252785,-0.453069937719,rise
0.21,left,0.463174359458,0.00702787467398,-0.456146484785,rise
0.22,left,0.466555434901,0.00736117800313,-0.459194256898,rise
0.23,left,0.469928433578,0.00772689349299,-0.462201540085,rise
0.24,left,0.473284523248,0.00812882934039,-0.465155693908,rise
0.25,left,0.476614228403,0.0085710260247,-0.468043202379,rise
0.26,left,0.479907844747,0.0090577343642,-0.470850110383,rise
0.27,left,0.483156025737,0.00959339517573,-0.473562630561,rise
0.28,left,0.486350355681,0.0101826182503,-0.47616773743,rise
0.29,left,0.489483343265,0.0108301585596,-0.478653184705,rise
0.3,left,0.49254771076,0.0115408857578,-0.481006825003,rise
0.31,left,0.495535680909,0.0123197462299,-0.483215934679,rise
0.32,left,0.498438695776,0.0131717238578,-0.485266971918,rise
0.33,left,0.501247367872,0.0141018061388,-0.487145561733,rise
0.34,left,0.503951855124,0.0151149548116,-0.488836900313,rise
0.35,left,0.506543111618,0.0162160740771,-0.490327037541,rise
0.36,left,0.509014536314,0.0174099728486,-0.491604563466,rise
0.37,left,0.511363245116,0.01870132545,-0.492661919666,rise
0.38,left,0.513591093666,0.0200946366329,-0.493496457033,rise
0.39,left,0.515705538127,0.0215942117534,-0.494111326373,rise
0.4,left,0.517719790715,0.0232041307284,-0.494515659987,rise
0.41,left,0.519652108542,0.0249282245299,-0.494723884012,rise
0.42,left,0.521524278702,0.0267700525607,-0.494754226141,rise
0.43,left,0.523359151422,0.0287328809677,-0.494626270454,rise
0.44,left,0.525177775482,0.030819662835,-0.494358112647,rise
0.45,left,0.526997394972,0.0330330203455,-0.493964374627,rise
0.46,left,0.528830869133,0.0353752296297,-0.493455639503,rise
0.47,left,0.5306869806,0.0378482103511,-0.492838770249,rise
0.48,left,0.532571077342,0.0404535221611,-0.49211755518,rise
0.49,left,0.534485964585,0.0431923671198,-0.491293597465,rise
0.5,left,0.536432742586,0.0460655947091,-0.490367147877,rise
0.51,left,0.538411137879,0.0490737078366,-0.489337430042,rise
0.52,left,0.54041952313,0.0522168691431,-0.488202653987,rise
0.53,left,0.542454942897,0.0554949052831,-0.486960037614,rise
0.54,left,0.544512899611,0.0589073088686,-0.485605590742,rise
0.55,left,0.546587002794,0.0624532427789,-0.484133760015,rise
0.56,left,0.548669216615,0.0661315514848,-0.482537665131,rise
0.57,left,0.55075072535,0.0699407792823,-0.480809946068,rise
0.58,left,0.552822594373,0.0738791910637,-0.478943403309,rise
0.59,left,0.55487602799,0.0779447912859,-0.476931236705,rise
0.6,left,0.556902744586,0.0821353429896,-0.474767401596,rise
0.61,left,0.558895519454,0.0864483895517,-0.472447129902,rise
0.62,left,0.560848638334,0.0908812738233,-0.469967364511,rise
0.63,left,0.562758418532,0.0954311508236,-0.467327267708,rise
0.64,left,0.564623729784,0.100094998856,-0.464528730928,rise
0.65,left,0.566445974709,0.104869632505,-0.461576342204,rise
0.66,left,0.56822861329,0.109751716273,-0.458476897016,rise
0.67,left,0.569976801081,0.11473777742,-0.455239023661,rise
0.68,left,0.571696986651,0.119824218643,-0.451872768008,rise
0.69,left,0.57339612255,0.125007333681,-0.448388788869,rise
0.7,left,0.57508094763,0.130283326017,-0.444797621614,rise
0.71,left,0.576757757242,0.135648328333,-0.441109428909,rise
0.72,left,0.578432353136,0.141098422589,-0.437333930547,rise
0.73,left,0.58010998762,0.146629659008,-0.433480328612,rise
0.74,left,0.581795447503,0.152238071815,-0.429557375688,rise
0.75,left,0.583493003144,0.157919692781,-0.425573310363,rise
0.76,left,0.585205868507,0.163670562085,-0.421535306422,rise
0.77,left,0.586935648525,0.169486734969,-0.417448913557,rise
0.78,left,0.5886823559,0.175364286731,-0.413318069169,rise
0.79,left,0.590444581629,0.181299320129,-0.4091452615,rise
0.8,left,0.592219476885,0.187287974998,-0.404931501888,rise
0.81,left,0.594003187182,0.193326437583,-0.4006767496,rise
0.82,left,0.595792119671,0.199410949612,-0.396381170059,rise
0.83,left,0.597584613798,0.205537817132,-0.392046796667,rise
0.84,left,0.599382514333,0.211703417484,-0.387679096849,rise
0.85,left,0.601192115641,0.217904204715,-0.383287910926,rise
0.86,left,0.603023745058,0.224136715194,-0.378887029864,rise
0.87,left,0.604889956131,0.230397571158,-0.374492384973,rise
0.88,left,0.606803476722,0.236683476985,-0.370119999737,rise
0.89,left,0.608775763895,0.242991210951,-0.365784552944,rise
0.9,left,0.610815822662,0.249317621544,-0.361498201118,rise
0.91,left,0.612929041683,0.2556596307,-0.357269410983,rise
0.92,left,0.61511656761,0.262014239655,-0.353102327955,rise
0.93,left,0.617375312495,0.268378534947,-0.348996777549,rise
0.94,left,0.619698199673,0.274749695703,-0.344948503971,rise
0.95,left,0.622074871123,0.281125001746,-0.340949869378,rise
0.96,left,0.624493038266,0.287501837204,-0.336991201062,rise
0.97,left,0.626939950757,0.293877687053,-0.333062263704,rise
0.98,left,0.629403791222,0.30025013288,-0.329153658341,rise
0.99,left,0.631875154923,0.306616852841,-0.325258302082,rise
1,left,0.634348027987,0.312975621396,-0.321372406592,rise
1.01,left,0.636819556524,0.319324305307,-0.317495251217,rise
1.02,left,0.639288991905,0.325660860847,-0.313628131058,rise
1.03,left,0.64175649351,0.331983334734,-0.309773158777,rise
1.04,left,0.644221826585,0.338289863461,-0.305931963124,rise
1.05,left,0.646683181152,0.344578666927,-0.302104514225,rise
1.06,left,0.649136896256,0.350848036731,-0.298288859525,rise
1.07,left,0.651578156127,0.357096323379,-0.294481832748,rise
1.08,left,0.654001888351,0.363321930525,-0.290679957827,rise
1.09,left,0.656403611863,0.36952332077,-0.286880291093,rise
1.1,left,0.658780157781,0.375699028093,-0.283081129688,rise
1.11,left,0.661129578415,0.381847667351,-0.279281911064,rise
1.12,left,0.66345006064,0.387967934869,-0.275482125771,rise
1.13,left,0.665738531308,0.394058601828,-0.27167992948,rise
1.14,left,0.667989426126,0.40011850598,-0.267870920146,rise
1.15,left,0.670193934401,0.4061465456,-0.2640473888,rise
1.16,left,0.67234032889,0.412141676021,-0.260198652869,rise
1.17,left,0.674415465655,0.418102905272,-0.256312560383,rise
1.18,left,0.67640655086,0.424029286514,-0.252377264347,rise
1.19,left,0.678302416917,0.429919911373,-0.248382505544,rise
1.2,left,0.680094458056,0.435773910002,-0.244320548054,rise
1.21,left,0.681777271094,0.441590458627,-0.240186812467,rise
1.22,left,0.683348520656,0.447368789334,-0.235979731323,rise
1.23,left,0.684808246397,0.453108195491,-0.231700050906,rise
1.24,left,0.686158447062,0.458808032932,-0.22735041413,rise
1.25,left,0.687402998165,0.464467722918,-0.222935275247,rise
1.26,left,0.688547471886,0.470086759253,-0.218460712633,rise
1.27,left,0.689598918771,0.475664714766,-0.213934204005,rise
1.28,left,0.690565620441,0.481201241322,-0.209364379119,rise
1.29,left,0.69145648371,0.486696062268,-0.204760421442,rise
1.3,left,0.692280317971,0.492148959448,-0.200131358523,rise
1.31,left,0.693045637234,0.497559756653,-0.195485880582,rise
1.32,left,0.693760932142,0.502928303229,-0.190832628913,rise
1.33,left,0.694434970434,0.508254463965,-0.186180506469,rise
1.34,left,0.695077283408,0.513538117244,-0.181539166163,rise
1.35,left,0.695698963547,0.518779156769,-0.176919806778,rise
1.36,left,0.696312994719,0.523977491545,-0.172335503174,rise
1.37,left,0.696933575057,0.529133042969,-0.167800532088,rise
1.38,left,0.69757489749,0.534245741561,-0.16332915593,rise
1.39,left,0.698249752484,0.539315525592,-0.158934226892,rise
1.4,left,0.698967997777,0.544342340708,-0.154625657069,rise
1.41,left,0.699735318559,0.549326140694,-0.150409177864,rise
1.42,left,0.700552608138,0.554266892062,-0.146285716076,rise
1.43,left,0.701415810042,0.559164580123,-0.142251229919,rise
1.44,left,0.702316366727,0.564019210617,-0.138297156109,rise
1.45,left,0.703242754841,0.5688308084,-0.134411946441,rise
1.46,left,0.704182732,0.573599419707,-0.130583312293,rise
1.47,left,0.705125150183,0.578325116528,-0.126800033655,rise
1.48,left,0.706060994178,0.583007994038,-0.123053000139,rise
1.49,left,0.706984079776,0.587648160369,-0.119335919407,rise
1.5,left,0.707891255977,0.592245729129,-0.115645526848,rise
1.51,left,0.708781939858,0.596800820779,-0.111981119079,rise
1.52,left,0.7096578016,0.601313570005,-0.108344231595,rise
1.53,left,0.710523066703,0.605784132821,-0.104738933883,rise
1.54,left,0.711384777704,0.610212686758,-0.101172090946,rise
1.55,left,0.712252645222,0.614599422917,-0.0976532223047,rise
1.56,left,0.713138702502,0.61894453466,-0.094194167842,rise
1.57,left,0.714056621781,0.623248208114,-0.0908084136668,rise
1.58,left,0.715020537784,0.627510617844,-0.08750991994,rise
1.59,left,0.716043814163,0.631731928484,-0.0843118856792,rise
