time_after_pulse_ms,comparison_channel,reference_normalized,simulation_normalized,residual,region
0,left,0.406305663654,0.214008899944,-0.19229676371,peak
0.01,left,0.439427497558,0.239800427356,-0.199627070202,peak
0.02,left,0.473023795116,0.267596366811,-0.205427428305,peak
0.03,left,0.506800149762,0.297393005538,-0.209407144224,peak
0.04,left,0.540461056101,0.32915033271,-0.211310723391,peak
0.05,left,0.573722939217,0.362783906568,-0.210939032649,peak
0.06,left,0.606324589394,0.398155517197,-0.208169072197,peak
0.07,left,0.638034392536,0.43506296471,-0.202971427826,peak
0.08,left,0.668654342935,0.473231965474,-0.19542237746,peak
0.09,left,0.698021255481,0.512316999515,-0.185704255966,peak
0.1,left,0.726006083078,0.551915751152,-0.174090331927,peak
0.11,left,0.752512215141,0.59159339416,-0.160918820981,peak
0.12,left,0.77747318712,0.630908616076,-0.146564571044,peak
0.13,left,0.800849996963,0.669435995012,-0.131414001951,peak
0.14,left,0.822628111203,0.706782543129,-0.115845568074,peak
0.15,left,0.842814061817,0.742597537523,-0.100216524294,peak
0.16,left,0.861431645255,0.776577025126,-0.0848546201285,peak
0.17,left,0.8785182093,0.808466245917,-0.0700519633833,peak
0.18,left,0.894121656574,0.838061409477,-0.0560602470965,peak
0.19,left,0.908298318764,0.865209996405,-0.0430883223593,peak
0.2,left,0.921111506729,0.889809094356,-0.0313024123728,peak
0.21,left,0.932630523906,0.911802153223,-0.0208283706834,peak
0.22,left,0.942929725335,0.931174687701,-0.0117550376344,peak
0.23,left,0.952087127593,0.947949370081,-0.00413775751194,peak
0.24,left,0.960182535036,0.96218085913,0.00199832409379,peak
0.25,left,0.967295519229,0.973950623177,0.00665510394826,peak
0.26,left,0.973503524466,0.98336194157,0.00985841710411,peak
0.27,left,0.978880356767,0.990535210527,0.0116548537598,peak
0.28,left,0.983495349358,0.995603634645,0.0121082852873,peak
0.29,left,0.987413170156,0.998709350205,0.0112961800493,peak
0.3,left,0.990693876106,1,0.00930612389395,peak
0.31,left,0.993393023479,0.999625760144,0.00623273666543,peak
0.32,left,0.995561981636,0.997736804809,0.00217482317338,peak
0.33,left,0.997248353481,0.994481183872,-0.00276716960871,peak
0.34,left,0.998496200762,0.990003081768,-0.00849311899355,peak
0.35,left,0.999346179879,0.984441423376,-0.0149047565031,peak
0.36,left,0.999835839748,0.977928791827,-0.0219070479205,peak
0.37,left,1,0.970590622792,-0.029409377208,peak
0.38,left,0.999871127122,0.962544642061,-0.0373264850606,peak
0.39,left,0.999479764138,0.953900515069,-0.0455792490688,peak
0.4,left,0.998854842843,0.944759676076,-0.0540951667671,peak
0.41,left,0.998023650416,0.935215306087,-0.0628083443291,peak
0.42,left,0.997011621162,0.925352433072,-0.0716591880898,peak
0.43,left,0.995842238691,0.91524813106,-0.0805941076315,peak
0.44,left,0.994536952905,0.90497179696,-0.0895651559448,peak
0.45,left,0.993114958149,0.894585487494,-0.0985294706552,peak
0.46,left,0.991593008096,0.884144301346,-0.10744870675,peak
0.47,left,0.989985344375,0.873696792521,-0.116288551854,peak
0.48,left,0.988303563916,0.8632854031,-0.125018160816,peak
0.49,left,0.986556518853,0.85294690626,-0.133609612593,peak
0.5,left,0.984750525344,0.842712851072,-0.142037674272,peak
0.51,left,0.982889847267,0.832610002048,-0.150279845219,peak
0.52,left,0.980977317489,0.822660768708,-0.15831654878,peak
0.53,left,0.979015137534,0.812883620142,-0.166131517392,peak
0.54,left,0.977005730183,0.803293479722,-0.17371225046,peak
0.55,left,0.974952309488,0.793902097828,-0.18105021166,peak
0.56,left,0.972859138788,0.784718401636,-0.188140737152,peak
0.57,left,0.970731684597,0.775748821356,-0.194982863241,peak
0.58,left,0.968576609301,0.766997593441,-0.20157901586,peak
0.59,left,0.966401431474,0.758467041558,-0.207934389915,peak
0.6,left,0.964213978388,0.750157835628,-0.21405614276,peak
0.61,left,0.962021833854,0.742069228992,-0.219952604862,peak
0.62,left,0.959831782343,0.734199273563,-0.225632508781,peak
0.63,left,0.957649388034,0.726545013531,-0.231104374502,peak
0.64,left,0.955479016372,0.719102658932,-0.23637635744,peak
0.65,left,0.953324212201,0.71186774,-0.241456472202,peak
0.66,left,0.951188067856,0.704835243467,-0.246352824389,peak
0.67,left,0.94907346897,0.697999733002,-0.251073735968,peak
0.68,left,0.94698319774,0.691355455819,-0.255627741922,peak
0.69,left,0.944919724832,0.684896435934,-0.260023288898,peak
0.7,left,0.94288472107,0.678616554436,-0.264268166634,peak
0.71,left,0.940878640494,0.672509618425,-0.268369022069,peak
0.72,left,0.938900552052,0.666569420674,-0.272331131377,peak
0.73,left,0.93694808266,0.66078979108,-0.276158291579,peak
0.74,left,0.935017511872,0.655164640211,-0.279852871661,peak
0.75,left,0.933104219233,0.649687995159,-0.283416224074,peak
0.76,left,0.931203331362,0.644354027831,-0.286849303531,peak
0.77,left,0.92931029343,0.639157076639,-0.290153216792,peak
0.78,left,0.92742134887,0.634091663365,-0.293329685505,peak
0.79,left,0.925533807342,0.629152505578,-0.296381301763,peak
0.8,left,0.923645863289,0.62433452418,-0.299311339109,peak
0.81,left,0.9217560857,0.619632847037,-0.302123238663,peak
